GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ABIL,0,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,11.734,11.714,11.694,11.674000000000001,11.654000000000002,11.634000000000002,11.614000000000003,11.594000000000003
EOL ACACIA,0,10.456,10.787,10.559,10.907,11.406,11.465,11.885,11.671,11.688,11.668000000000001,11.648000000000001,11.628000000000002,11.608000000000002,11.588000000000003,11.568000000000003,11.548000000000004,11.528000000000004
EOL ACARI (RIACHAO I),0,10.042,9.038,9.035,9.251,10.241,10.293,10.669,10.539,10.554,10.534,10.514000000000001,10.494000000000002,10.474000000000002,10.454000000000002,10.434000000000003,10.414000000000003,10.394000000000004
EOL ACAUA,0,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,11.734,11.714,11.694,11.674000000000001,11.654000000000002,11.634000000000002,11.614000000000003,11.594000000000003
EOL ACAUA I,0,10.986,10.064,10.232,10.463,10.917,10.981,11.361,11.238,11.254,11.234,11.214,11.194,11.174000000000001,11.154000000000002,11.134000000000002,11.114000000000003,11.094000000000003
EOL ACAUA II,0,10.986,10.064,10.232,10.463,10.917,10.981,11.361,11.238,11.254,11.234,11.214,11.194,11.174000000000001,11.154000000000002,11.134000000000002,11.114000000000003,11.094000000000003
EOL ACAUA III,0,10.986,10.064,10.232,10.463,10.917,10.981,11.361,11.238,11.254,11.234,11.214,11.194,11.174000000000001,11.154000000000002,11.134000000000002,11.114000000000003,11.094000000000003
EOL AFONSO BEZERRA I,0,10.878,9.942,10.1,10.325,11.542,11.618,12.008,11.89,11.908,11.888,11.868,11.848,11.828000000000001,11.808000000000002,11.788000000000002,11.768000000000002,11.748000000000003
EOL AFONSO BEZERRA II,0,10.878,9.942,10.1,10.325,11.542,11.618,12.008,11.89,11.908,11.888,11.868,11.848,11.828000000000001,11.808000000000002,11.788000000000002,11.768000000000002,11.748000000000003
EOL AFONSO BEZERRA III,0,10.878,9.942,10.1,10.325,11.542,11.618,12.008,11.89,11.908,11.888,11.868,11.848,11.828000000000001,11.808000000000002,11.788000000000002,11.768000000000002,11.748000000000003
EOL AFONSO BEZERRA IV,0,10.878,9.942,10.1,10.325,11.542,11.618,12.008,11.89,11.908,11.888,11.868,11.848,11.828000000000001,11.808000000000002,11.788000000000002,11.768000000000002,11.748000000000003
EOL ALBATROZ,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ALBUQUERQUE (RIACHAO II),0,10.042,9.038,9.035,9.251,10.241,10.293,10.669,10.539,10.554,10.534,10.514000000000001,10.494000000000002,10.474000000000002,10.454000000000002,10.434000000000003,10.414000000000003,10.394000000000004
EOL ALEGRIA I(NEW ENERGY),0,10.878,9.942,10.1,10.325,11.438,11.511,11.896,11.777,11.795,11.775,11.755,11.735000000000001,11.715000000000002,11.695000000000002,11.675000000000002,11.655000000000003,11.635000000000003
EOL ALEGRIA II(NEW ENERGY),0,10.878,9.942,10.1,10.325,11.438,11.511,11.896,11.777,11.795,11.775,11.755,11.735000000000001,11.715000000000002,11.695000000000002,11.675000000000002,11.655000000000003,11.635000000000003
EOL ALTO DOS VENTOS II A,0,0,0,0,0,10.923,10.989,11.404,11.281,11.298,11.278,11.258000000000001,11.238000000000001,11.218000000000002,11.198000000000002,11.178000000000003,11.158000000000003,11.138000000000003
EOL ALTO DOS VENTOS II B,0,0,0,0,0,10.923,10.989,11.404,11.281,11.298,11.278,11.258000000000001,11.238000000000001,11.218000000000002,11.198000000000002,11.178000000000003,11.158000000000003,11.138000000000003
EOL ALVORADA,0,10.554,10.856,10.635,10.984,11.481,11.541,11.963,11.752,11.769,11.749,11.729000000000001,11.709000000000001,11.689000000000002,11.669000000000002,11.649000000000003,11.629000000000003,11.609000000000004
EOL AMESCLA,0,10.165,10.561,10.326,10.674,11.391,11.45,11.87,11.654,11.671,11.651,11.631,11.611,11.591000000000001,11.571000000000002,11.551000000000002,11.531000000000002,11.511000000000003
EOL AMETISTA,0,10.554,10.856,10.635,10.984,11.481,11.541,11.963,11.752,11.769,11.749,11.729000000000001,11.709000000000001,11.689000000000002,11.669000000000002,11.649000000000003,11.629000000000003,11.609000000000004
EOL AMPARO,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ANEMOI (RIACHAO IV),0,10.042,9.038,9.035,9.251,10.241,10.293,10.669,10.539,10.554,10.534,10.514000000000001,10.494000000000002,10.474000000000002,10.454000000000002,10.434000000000003,10.414000000000003,10.394000000000004
EOL ANEMUS WIND 1,0,10.97,10.027,10.188,10.418,10.917,10.981,11.361,11.238,11.254,11.234,11.214,11.194,11.174000000000001,11.154000000000002,11.134000000000002,11.114000000000003,11.094000000000003
EOL ANEMUS WIND 2,0,10.97,10.027,10.188,10.418,10.917,10.981,11.361,11.238,11.254,11.234,11.214,11.194,11.174000000000001,11.154000000000002,11.134000000000002,11.114000000000003,11.094000000000003
EOL ANEMUS WIND 3,0,10.97,10.027,10.188,10.418,10.917,10.981,11.361,11.238,11.254,11.234,11.214,11.194,11.174000000000001,11.154000000000002,11.134000000000002,11.114000000000003,11.094000000000003
EOL ANGELIM,0,10.165,10.561,10.326,10.674,11.359,11.417,11.835,11.619,11.636,11.616,11.596,11.576,11.556000000000001,11.536000000000001,11.516000000000002,11.496000000000002,11.476000000000003
EOL ANGICAL,0,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,11.734,11.714,11.694,11.674000000000001,11.654000000000002,11.634000000000002,11.614000000000003,11.594000000000003
EOL ANGICAL 2,0,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,11.734,11.714,11.694,11.674000000000001,11.654000000000002,11.634000000000002,11.614000000000003,11.594000000000003
EOL ANGICO,0,10.456,10.787,10.559,10.907,11.406,11.465,11.885,11.671,11.688,11.668000000000001,11.648000000000001,11.628000000000002,11.608000000000002,11.588000000000003,11.568000000000003,11.548000000000004,11.528000000000004
EOL ANGICOS I,0,10.878,9.942,10.1,10.325,11.542,11.618,12.008,11.89,11.908,11.888,11.868,11.848,11.828000000000001,11.808000000000002,11.788000000000002,11.768000000000002,11.748000000000003
EOL ANGICOS II,0,10.878,9.942,10.1,10.325,11.542,11.618,12.008,11.89,11.908,11.888,11.868,11.848,11.828000000000001,11.808000000000002,11.788000000000002,11.768000000000002,11.748000000000003
EOL APELIOTES(RIACHAO VI),0,10.042,9.038,9.035,9.251,10.241,10.293,10.669,10.539,10.554,10.534,10.514000000000001,10.494000000000002,10.474000000000002,10.454000000000002,10.434000000000003,10.414000000000003,10.394000000000004
EOL AQUIBATA,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARAPAPA,0,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,11.734,11.714,11.694,11.674000000000001,11.654000000000002,11.634000000000002,11.614000000000003,11.594000000000003
EOL ARARINHA AZUL,0,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,11.734,11.714,11.694,11.674000000000001,11.654000000000002,11.634000000000002,11.614000000000003,11.594000000000003
EOL ARATUA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARENA (RIACHAO VII),0,10.042,9.038,9.035,9.251,10.241,10.293,10.669,10.539,10.554,10.534,10.514000000000001,10.494000000000002,10.474000000000002,10.454000000000002,10.434000000000003,10.414000000000003,10.394000000000004
EOL ARIZONA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AROEIRA,0,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,11.175,11.155000000000001,11.135000000000002,11.115000000000002,11.095000000000002,11.075000000000003,11.055000000000003,11.035000000000004
EOL AROEIRA 1,0,10.81,10.428,10.283,10.536,10.993,11.039,11.445,11.275,11.292,11.272,11.252,11.232000000000001,11.212000000000002,11.192000000000002,11.172000000000002,11.152000000000003,11.132000000000003
EOL AROEIRA 2,0,10.81,10.428,10.283,10.536,10.993,11.039,11.445,11.275,11.292,11.272,11.252,11.232000000000001,11.212000000000002,11.192000000000002,11.172000000000002,11.152000000000003,11.132000000000003
EOL AROEIRA 3,0,10.81,10.428,10.283,10.536,10.993,11.039,11.445,11.275,11.292,11.272,11.252,11.232000000000001,11.212000000000002,11.192000000000002,11.172000000000002,11.152000000000003,11.132000000000003
