Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
30951; AGUA AZUL - 440;;  6,503;  1,787;  4,145;  5,354;;;  5,354;
1206; AG.LINDAS230;; 10,144;  7,801;  8,973;  8,640;;;  8,640;
251; ACU II - 230;; 11,924; 21,566; 16,745; 16,413;;; 16,413;
11265; ACU III - 230;; 11,724; 20,914; 16,319; 15,987;;; 15,987;
11565; ACU III - 500;; 11,591; 20,285; 15,938; 15,606;;; 15,606;
7747; ABDON BATISTA - 230;;  8,028;  0,000;  4,014;  5,354;;;  5,354;
7744; ABDON BATISTA - 525;;  7,457;  0,000;  3,728;  5,354;;;  5,354;
9537; ABUNA - 230;;  2,800;  0,000;  1,400;  5,354;;;  5,354;
559; ACAILANDIA - 500;; 10,955; 15,014; 12,985; 12,652;;; 12,652;
55412; ACARAU II – 230;; 10,626; 17,687; 14,157; 13,824;;; 13,824;
12907; ACARAT CE - 230;; 10,630; 17,645; 14,138; 13,805;;; 13,805;
12902; ACARAT-CE500;; 10,656; 17,557; 14,106; 13,774;;; 13,774;
4475; ACESITA - 230;;  8,190;  6,659;  7,424;  7,091;;;  7,091;
3729; ADRIANOPOLIS - 345;;  8,556;  5,119;  6,837;  6,505;;;  6,505;
3728; ADRIANOPOLIS - 500;;  8,794;  4,917;  6,856;  6,523;;;  6,523;
1637; AIMORES - 230;; 10,388;  8,113;  9,251;  8,918;;;  8,918;
11760; ALAGOAS 2 - 230;;  8,198; 14,569; 11,384; 11,051;;; 11,051;
9002; ALEGRETE2 - 230;;  6,981;  0,000;  3,490;  5,354;;;  5,354;
56095; ALEX - 230;; 11,799; 21,868; 16,833; 16,501;;; 16,501;
362; ALTAMIRA - 230;;  9,914; 13,942; 11,928; 11,595;;; 11,595;
7758; ANASTACIO - 230;;  7,827;  1,925;  4,876;  5,354;;;  5,354;
2770; ANDIRA LESTE - 230;;  7,154;  0,493;  3,824;  5,354;;;  5,354;
540; ANGELIM - 500;; 10,190; 18,403; 14,296; 13,964;;; 13,964;
240; ANGELIM - 230;; 10,044; 18,432; 14,238; 13,905;;; 13,905;
3745; ANGRA - 500;;  9,638;  5,241;  7,439;  7,107;;;  7,107;
1172; ANHANGUERA GO - 230;;  9,212;  5,194;  7,203;  6,870;;;  6,870;
2901; ANHANGUERA SP - 230;;  3,704;  0,000;  1,852;  5,354;;;  5,354;
2900; ANHANGUERA - 345;;  4,043;  0,000;  2,021;  5,354;;;  5,354;
2957; APARECIDA - 230;;  8,077;  3,618;  5,847;  5,515;;;  5,515;
2758; ALTA PAULISTA - 400;;  9,019;  2,558;  5,789;  5,456;;;  5,456;
6601; APUCARANA - 230;;  6,752;  0,000;  3,376;  5,354;;;  5,354;
58771; LAGOA BARRO - 230;; 11,618; 16,660; 14,139; 13,806;;; 13,806;
11219; AQUIRAZ - 230;;  9,624; 18,709; 14,166; 13,834;;; 13,834;
1522; ARACUAI - 230;; 12,779; 10,420; 11,600; 11,267;;; 11,267;
11242; ARAPIRACA III - 230;;  6,415; 14,655; 10,535; 10,202;;; 10,202;
5203; ARARAQUARA 2 - 440;;  8,476;  3,158;  5,817;  5,484;;;  5,484;
5202; ARARAQUARA 2 - 500;;  8,947;  3,561;  6,254;  5,921;;;  5,921;
2630; ARARAQUARA - 440;;  8,022;  2,738;  5,380;  5,354;;;  5,354;
