BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    5,370
1206; AG.LINDAS230;    8,630
251; ACU II - 230;   16,265
11265; ACU III - 230;   15,838
11565; ACU III - 500;   15,456
7747; ABDON BATISTA - 230;    5,370
7744; ABDON BATISTA - 525;    5,370
9537; ABUNA - 230;    5,370
559; ACAILANDIA - 500;   12,617
55412; ACARAU II – 230;   13,718
12907; ACARAT CE - 230;   13,700
12902; ACARAT-CE500;   13,670
4475; ACESITA - 230;    7,068
3729; ADRIANOPOLIS - 345;    7,091
3728; ADRIANOPOLIS - 500;    7,329
1637; AIMORES - 230;    8,856
11760; ALAGOAS 2 - 230;   10,817
9002; ALEGRETE2 - 230;    5,370
56095; ALEX - 230;   16,352
362; ALTAMIRA - 230;   11,618
7758; ANASTACIO - 230;    5,370
2770; ANDIRA LESTE - 230;    5,370
540; ANGELIM - 500;   13,784
240; ANGELIM - 230;   13,726
3745; ANGRA - 500;    7,877
1172; ANHANGUERA GO - 230;    6,980
2901; ANHANGUERA SP - 230;    5,370
2900; ANHANGUERA - 345;    5,370
2957; APARECIDA - 230;    6,218
2758; ALTA PAULISTA - 400;    6,136
6601; APUCARANA - 230;    5,370
58771; LAGOA BARRO - 230;   13,651
11219; AQUIRAZ - 230;   13,667
1522; ARACUAI - 230;   10,777
11242; ARAPIRACA III - 230;    9,994
5203; ARARAQUARA 2 - 440;    6,331
5202; ARARAQUARA 2 - 500;    6,822
2630; ARARAQUARA - 440;    5,852
3852; ARARAQUARA - 500;    6,555
2673; ARARAS SP - 440;    5,370
38906; ARAXA 3 - 345;    8,069
12203; ARCOVERDE II - 230;   13,891
7749; AREIA - 230;    5,370
7748; AREIA - 525;    5,370
39813; ARINOS 2 - 500;   10,208
9520; ARIQUEMES - 230;    5,370
302; MOXOTO - 230;   14,847
2624; ASSIS - 440;    5,457
4282; ASSIS - 525;    5,370
2626; ASSIS 2 - 230;    5,370
2677; ATIBAIA 2 - 345;    5,370
7923; ATLANTIDA 2 - 230;    5,370
2786; AVARE - 230;    5,370
2617; AGUA VERMELHA - 500;    7,485
2618; AGUA VERMELHA - 440;    7,207
3947; BARRO ALTO - 230;   10,431
3605; BARRO BRANCO - 345;    7,380
4297; B. DOS COQUEIROS - 230;    9,131
229; B.ESPERANCA - 230;   12,844
4288; B. FLUMINENSE - 500;    7,504
7304; BARRA GRANDE - 230;    5,370
6608; BAIXO IGUACU PR - 230;    5,370
11050; B.JESUS II - 230;   12,508
3236; BARRA PEIXE - 230;    6,204
13103; BACAB - MA - 500;   13,007
9010; BAGE 2 - 230;    5,370
2733; BAGUACU - 440;    5,903
1645; BAGUARI - 230;    8,912
2920; B. SANTISTA - 230;    5,370
2919; B. SANTISTA - 345;    5,370
10410; BALBINA - 230;   10,085
215; BALSAS - 230;   12,604
222; BANABUIU - 230;   14,702
3909; BANDEIRANTE GO - 345;    8,137
2934; BANDEIRANTE SP - 345;    5,370
1480; BARBACENA - 345;    6,879
11286; BARREIRAS II - 230;   10,768
286; BARREIRAS - 230;   10,419
1482; BARREIRO - 345;    7,507
846; BARREIRAS - 500;   11,858
6627; BATEIAS - 230;    5,370
3696; BATEIAS 3 - 500;    5,370
6628; BATEIAS - 525;    5,370
2628; BAURU SP - 440;    5,370
1612; BARAO DE COCAIS 3 - 230;    7,137
1485; B.DESPACHO - 500;    8,507
529; B.ESPERANCA - 500;   12,964
26454; BETIM 6 -345;    7,719
7740; BAIXO IGUACU SC - 230;    5,370
7741; BIGUACU--525;    5,370
2638; BOM JARDIM - 440;    5,370
385; B.J.LAPA II - 230;   11,320
585; BJLAPAII - 500;   11,185
285; B.J.LAPA - 230;   11,318
35351; BRASILIA LESTE - 500;    9,239
7734; BLUMENAU - 230;    5,370
7733; BLUMENAU - 525;    5,370
220; BOM NOME - 230;   15,069
243; BONGI - 230;   12,143
2777; BOTUCATU - 230;    5,370
3936; BRASILIA GERAL - 230;    7,779
3920; BRAS. SUL - 230;    8,131
3919; BRAS. SUL -345;    8,666
3300; BRASNORTE - 230;    5,817
1600; BRAUNA - 230;    8,524
205; BROT.MACAUBAS - 230;   12,451
376; BRUMADO II - 230;    9,076
12318; BURITIRAMA - 500;   12,775
38913; HELIO VALGAS MG - 345;   10,071
9266; CRUZ ALTA 2 - 230;    5,370
4481; CANA BRAVA - 230;   10,976
6615; C.COMPRIDO - 230;    5,370
270; CIC.DANTAS - 230;   13,621
11461; CAMPO FORMOSO - 230;   13,430
9020; C.INDUSTRIAL - 230;    5,370
236; COELHO NETO - 230;   10,952
11253; CURRAIS NOVOS II - 230;   15,638
3720; C. PAULISTA - 500;    7,601
38871; CACU - 230;    9,131
2649; CABREUVA - 230;    5,370
2647; CABREUVA - 440;    5,370
58008; CAETES II - 230;   13,891
51457; CAMAQUA 3 - 230;    5,370
574; CAMACARI - 500;   11,376
284; CAMACARI IV - 230;   10,751
584; CAMACARI IV - 500;   11,332
9030; CAMAQUA - 230;    5,370
3701; CAMPINAS - 345;    5,370
3700; CAMPINAS - 500;    5,478
38951; CAMPOS 2 - 500;    8,272
9015; CAMPO BOM - 230;    5,370
3785; CAMPOS - 345;    8,216
38873; CANARANA CMT - 230;    5,370
9283; CANDELARIA 2 - 230;    5,370
9040; CANDIOTA 2 - 230;    5,370
7753; CANDIOTA 2 - 525;    5,370
50209; CANDIOTA - 230;    5,370
9045; CANOA 1 - 230;    5,370
9050; CANOAS 2 - 230;    5,370
7778; CANOINHA - 230;    5,370
50215; CAPIVARI-230;    5,370
50212; CAPIVARI-525;    5,370
2622; CAPIVARA - 440;    5,836
1202; CARAJAS GO - 230;    6,768
916; CARAJAS PA - 230;   11,643
2966; CARBOCLORO - 230;    5,370
6624; CASCAVEL - 230;    5,370
44900; CASCAVEL NORT - 230;    5,370
6625; CASCAVEL OESTE - 230;    5,370
6626; CASCAVOE - 525;    5,370
6762; CAMPO ASSOBIO - 230;    5,370
235; CASTANHA - 230;   10,217
51704; CASTERTECH - 230;    5,370
7023; CASTRO NORTE - 230;    5,370
272; CATU - 230;   10,291
218; CAIUPE - 230;   13,474
9062; CAXIAS SUL 2 - 230;    5,370
9065; CAXIAS 5 -230;    5,370
9066; CAXIAS 6 - 230;    5,370
46948; CAXIAS - 230;    5,370
46947; CAXIAS NORTE - 525;    5,370
9060; CAXIAS NORTE - 230;    5,370
7751; CAXIAS RS - 525;    5,370
4532; CBA - 230;    5,370
2672; CBA TERM - 440;    5,370
7299; CBA LESTE - 230;    5,370
7300; CBA LESTE - 525;    5,370
