BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
 2840; AGUA AZUL - 138                                                      ;   18,124;         ;         ;         
2840; AGUA AZUL - 138;   18,124;;;
30951; AGUA AZUL - 440                                                      ;   17,817;         ;         ;         
30951; AGUA AZUL - 440;   17,817;;;
 1206; AG.LINDAS230                                                         ;   13,749;         ;         ;         
1206; AG.LINDAS230;   13,749;;;
 1943; ANGRA AMPLA - 138                                                    ;   14,932;         ;         ;         
1943; ANGRA AMPLA - 138;   14,932;;;
  151; ACU II - 138                                                         ;    7,998;         ;         ;         
151; ACU II - 138;    7,998;;;
  251; ACU II - 230                                                         ;    7,998;         ;         ;         
251; ACU II - 230;    7,998;;;
11265; ACU III - 230                                                        ;    7,998;         ;         ;         
11265; ACU III - 230;    7,998;;;
11565; ACU III - 500                                                        ;    7,998;         ;         ;         
11565; ACU III - 500;    7,998;;;
  600; ABAIXADORA - 69                                                      ;    7,998;         ;         ;         
600; ABAIXADORA - 69;    7,998;;;
 7747; ABDON BATISTA - 230                                                  ;   18,436;         ;         ;         
7747; ABDON BATISTA - 230;   18,436;;;
 7744; ABDON BATISTA - 525                                                  ;   18,698;         ;         ;         
7744; ABDON BATISTA - 525;   18,698;;;
 9590; ABUNA - 13,8                                                         ;   23,167;         ;         ;         
9590; ABUNA - 13,8;   23,167;;;
 9636; ABUNA - 138                                                          ;   23,167;         ;         ;         
9636; ABUNA - 138;   23,167;;;
 9537; ABUNA - 230                                                          ;   23,167;         ;         ;         
9537; ABUNA - 230;   23,167;;;
  559; ACAILANDIA - 500                                                     ;    9,762;         ;         ;         
559; ACAILANDIA - 500;    9,762;;;
55412; ACARAU II – 230                                                      ;    8,661;         ;         ;         
55412; ACARAU II – 230;    8,661;;;
12907; ACARAT CE - 230                                                      ;    8,679;         ;         ;         
12907; ACARAT CE - 230;    8,679;;;
12902; ACARAT-CE500                                                         ;    8,709;         ;         ;         
12902; ACARAT-CE500;    8,709;;;
 4475; ACESITA - 230                                                        ;   15,311;         ;         ;         
4475; ACESITA - 230;   15,311;;;
 3155; EMPLAL - 138                                                         ;   15,741;         ;         ;         
3155; EMPLAL - 138;   15,741;;;
 3730; ADRIANOPOLIS - 138                                                   ;   15,345;         ;         ;         
3730; ADRIANOPOLIS - 138;   15,345;;;
 3729; ADRIANOPOLIS - 345                                                   ;   15,288;         ;         ;         
3729; ADRIANOPOLIS - 345;   15,288;;;
 3728; ADRIANOPOLIS - 500                                                   ;   15,050;         ;         ;         
3728; ADRIANOPOLIS - 500;   15,050;;;
 3031; AGUAI - 138                                                          ;   17,325;         ;         ;         
3031; AGUAI - 138;   17,325;;;
 1637; AIMORES - 230                                                        ;   13,522;         ;         ;         
1637; AIMORES - 230;   13,522;;;
 2336; AJINOMOTO VAL - 138                                                  ;   16,161;         ;         ;         
2336; AJINOMOTO VAL - 138;   16,161;;;
18761; ALAGOINHA 2 - 69                                                     ;   11,562;         ;         ;         
18761; ALAGOINHA 2 - 69;   11,562;;;
11760; ALAGOAS 2 - 230                                                      ;   11,562;         ;         ;         
11760; ALAGOAS 2 - 230;   11,562;;;
 7591; ALEGRETE2 - 69                                                       ;   19,900;         ;         ;         
7591; ALEGRETE2 - 69;   19,900;;;
 9002; ALEGRETE2 - 230                                                      ;   19,900;         ;         ;         
9002; ALEGRETE2 - 230;   19,900;;;
56095; ALEX - 230                                                           ;    7,998;         ;         ;         
56095; ALEX - 230;    7,998;;;
  862; ALTAMIRA - 69                                                        ;   10,761;         ;         ;         
862; ALTAMIRA - 69;   10,761;;;
  362; ALTAMIRA - 230                                                       ;   10,761;         ;         ;         
362; ALTAMIRA - 230;   10,761;;;
 2219; AMPARO - 138                                                         ;   17,938;         ;         ;         
2219; AMPARO - 138;   17,938;;;
46950; ANASTACIO - 138                                                      ;   17,244;         ;         ;         
46950; ANASTACIO - 138;   17,244;;;
 7758; ANASTACIO - 230                                                      ;   17,375;         ;         ;         
7758; ANASTACIO - 230;   17,375;;;
 2770; ANDIRA LESTE - 230                                                   ;   18,236;         ;         ;         
2770; ANDIRA LESTE - 230;   18,236;;;
 6834; ANDIRA LESTE - 138                                                   ;   18,398;         ;         ;         
6834; ANDIRA LESTE - 138;   18,398;;;
 3132; ANDRADINA - 138                                                      ;   15,765;         ;         ;         
3132; ANDRADINA - 138;   15,765;;;
  540; ANGELIM - 500                                                        ;    8,595;         ;         ;         
540; ANGELIM - 500;    8,595;;;
  640; ANGELIM - 69                                                         ;    8,656;         ;         ;         
640; ANGELIM - 69;    8,656;;;
  240; ANGELIM - 230                                                        ;    8,653;         ;         ;         
240; ANGELIM - 230;    8,653;;;
 3746; ANGRA 1 - 138                                                        ;   14,773;         ;         ;         
3746; ANGRA 1 - 138;   14,773;;;
 3745; ANGRA - 500                                                          ;   14,502;         ;         ;         
3745; ANGRA - 500;   14,502;;;
 1185; ANHANGUERA - 69                                                      ;   15,399;         ;         ;         
1185; ANHANGUERA - 69;   15,399;;;
 1171; ANHANGUERA - 138                                                     ;   15,418;         ;         ;         
1171; ANHANGUERA - 138;   15,418;;;
 1172; ANHANGUERA GO - 230                                                  ;   15,399;         ;         ;         
1172; ANHANGUERA GO - 230;   15,399;;;
 2901; ANHANGUERA SP - 230                                                  ;   20,520;         ;         ;         
2901; ANHANGUERA SP - 230;   20,520;;;
