GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
AAA BARRA,0,0,0,0,8.995,9.424,9.377,9.674,9.592,9.605,9.585,9.565000000000001,9.545000000000002,9.525000000000002,9.505000000000003,9.485000000000003,9.465000000000003,9.445000000000004
EOL ABIL,0,10.528,10.863,10.503,10.863,11.116,11.111,11.489,11.194,11.211,11.191,11.171000000000001,11.151000000000002,11.131000000000002,11.111000000000002,11.091000000000003,11.071000000000003,11.051000000000004
EOL ACACIA,0,10.456,10.793,10.431,10.786,11.03,11.022,11.397,11.101,11.117,11.097000000000001,11.077000000000002,11.057000000000002,11.037000000000003,11.017000000000003,10.997000000000003,10.977000000000004,10.957000000000004
EOL ACARI (RIACHAO I),0,10.042,10.812,11.742,12.877,14.508,14.596,15.097,14.932,14.954,14.934000000000001,14.914000000000001,14.894000000000002,14.874000000000002,14.854000000000003,14.834000000000003,14.814000000000004,14.794000000000004
EOL ACAUA,0,10.528,10.863,10.503,10.863,11.116,11.111,11.489,11.194,11.211,11.191,11.171000000000001,11.151000000000002,11.131000000000002,11.111000000000002,11.091000000000003,11.071000000000003,11.051000000000004
EOL ACAUA I,0,10.986,11.816,12.935,14.08,15.374,15.479,15.94,15.787,15.81,15.790000000000001,15.770000000000001,15.750000000000002,15.730000000000002,15.710000000000003,15.690000000000003,15.670000000000003,15.650000000000004
EOL ACAUA II,0,10.986,11.816,12.935,14.08,15.374,15.479,15.94,15.787,15.81,15.790000000000001,15.770000000000001,15.750000000000002,15.730000000000002,15.710000000000003,15.690000000000003,15.670000000000003,15.650000000000004
EOL ACAUA III,0,10.986,11.816,12.935,14.08,15.374,15.479,15.94,15.787,15.81,15.790000000000001,15.770000000000001,15.750000000000002,15.730000000000002,15.710000000000003,15.690000000000003,15.670000000000003,15.650000000000004
EOL AFONSO BEZERRA I,0,10.878,11.646,12.723,13.834,16.002,16.119,16.565,16.419,16.443,16.423000000000002,16.403000000000002,16.383000000000003,16.363000000000003,16.343000000000004,16.323000000000004,16.303000000000004,16.283000000000005
EOL AFONSO BEZERRA II,0,10.878,11.646,12.723,13.834,16.002,16.119,16.565,16.419,16.443,16.423000000000002,16.403000000000002,16.383000000000003,16.363000000000003,16.343000000000004,16.323000000000004,16.303000000000004,16.283000000000005
