Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
30951; AGUA AZUL - 440;;  6,380;;  6,380;  6,356;;;  6,356;
1206; AG.LINDAS230;;  9,459;;  9,459;  9,435;;;  9,435;
251; ACU II - 230;; 11,527;; 11,527; 11,504;;; 11,504;
11265; ACU III - 230;; 11,341;; 11,341; 11,317;;; 11,317;
11565; ACU III - 500;; 11,162;; 11,162; 11,138;;; 11,138;
7747; ABDON BATISTA - 230;;  7,991;;  7,991;  7,967;;;  7,967;
7744; ABDON BATISTA - 525;;  7,436;;  7,436;  7,413;;;  7,413;
9537; ABUNA - 230;;  2,967;;  2,967;  5,178;;;  5,178;
559; ACAILANDIA - 500;; 10,557;; 10,557; 10,533;;; 10,533;
55412; ACARAU II – 230;; 10,256;; 10,256; 10,233;;; 10,233;
12907; ACARAT CE - 230;; 10,260;; 10,260; 10,237;;; 10,237;
12902; ACARAT-CE500;; 10,284;; 10,284; 10,260;;; 10,260;
4475; ACESITA - 230;;  7,910;;  7,910;  7,886;;;  7,886;
3729; ADRIANOPOLIS - 345;;  8,308;;  8,308;  8,284;;;  8,284;
3728; ADRIANOPOLIS - 500;;  8,543;;  8,543;  8,519;;;  8,519;
1637; AIMORES - 230;; 10,020;; 10,020;  9,996;;;  9,996;
11760; ALAGOAS 2 - 230;;  7,913;;  7,913;  7,889;;;  7,889;
9002; ALEGRETE2 - 230;;  7,054;;  7,054;  7,030;;;  7,030;
56095; ALEX - 230;; 11,393;; 11,393; 11,369;;; 11,369;
362; ALTAMIRA - 230;;  9,598;;  9,598;  9,574;;;  9,574;
7758; ANASTACIO - 230;;  7,645;;  7,645;  7,621;;;  7,621;
2770; ANDIRA LESTE - 230;;  7,010;;  7,010;  6,986;;;  6,986;
540; ANGELIM - 500;;  9,810;;  9,810;  9,786;;;  9,786;
240; ANGELIM - 230;;  9,670;;  9,670;  9,647;;;  9,647;
3745; ANGRA - 500;;  9,344;;  9,344;  9,320;;;  9,320;
1172; ANHANGUERA GO - 230;;  8,941;;  8,941;  8,917;;;  8,917;
2901; ANHANGUERA SP - 230;;  3,684;;  3,684;  5,178;;;  5,178;
2900; ANHANGUERA - 345;;  4,021;;  4,021;  5,178;;;  5,178;
2957; APARECIDA - 230;;  7,889;;  7,889;  7,865;;;  7,865;
2758; ALTA PAULISTA - 400;;  8,734;;  8,734;  8,710;;;  8,710;
6601; APUCARANA - 230;;  6,676;;  6,676;  6,652;;;  6,652;
58771; LAGOA BARRO - 230;; 11,161;; 11,161; 11,137;;; 11,137;
11219; AQUIRAZ - 230;;  9,319;;  9,319;  9,295;;;  9,295;
1522; ARACUAI - 230;; 12,312;; 12,312; 12,288;;; 12,288;
