BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    6,928
1206; AG.LINDAS230;   10,065
251; ACU II - 230;   11,784
11265; ACU III - 230;   11,581
11565; ACU III - 500;   11,447
7747; ABDON BATISTA - 230;    8,182
7744; ABDON BATISTA - 525;    7,650
9537; ABUNA - 230;    5,367
559; ACAILANDIA - 500;   10,878
55412; ACARAU II – 230;   10,493
12907; ACARAT CE - 230;   10,498
12902; ACARAT-CE500;   10,526
4475; ACESITA - 230;    8,182
3729; ADRIANOPOLIS - 345;    8,877
3728; ADRIANOPOLIS - 500;    9,243
1637; AIMORES - 230;   10,353
11760; ALAGOAS 2 - 230;    8,013
9002; ALEGRETE2 - 230;    7,070
56095; ALEX - 230;   11,648
362; ALTAMIRA - 230;    9,855
7758; ANASTACIO - 230;    7,943
2770; ANDIRA LESTE - 230;    7,445
540; ANGELIM - 500;   10,034
240; ANGELIM - 230;    9,888
3745; ANGRA - 500;   10,070
1172; ANHANGUERA GO - 230;    9,175
2901; ANHANGUERA SP - 230;    5,367
2900; ANHANGUERA - 345;    5,367
2957; APARECIDA - 230;    8,448
2758; ALTA PAULISTA - 400;    9,371
6601; APUCARANA - 230;    6,989
58771; LAGOA BARRO - 230;   11,469
11219; AQUIRAZ - 230;    9,443
1522; ARACUAI - 230;   12,328
11242; ARAPIRACA III - 230;    6,237
5203; ARARAQUARA 2 - 440;    8,965
5202; ARARAQUARA 2 - 500;    9,473
2630; ARARAQUARA - 440;    8,483
3852; ARARAQUARA - 500;    9,233
2673; ARARAS SP - 440;    7,518
38906; ARAXA 3 - 345;   10,338
12203; ARCOVERDE II - 230;   10,063
7749; AREIA - 230;    7,826
7748; AREIA - 525;    8,003
39813; ARINOS 2 - 500;   11,753
9520; ARIQUEMES - 230;    5,367
302; MOXOTO - 230;   11,192
2624; ASSIS - 440;    8,638
4282; ASSIS - 525;    8,362
2626; ASSIS 2 - 230;    8,244
2677; ATIBAIA 2 - 345;    5,976
7923; ATLANTIDA 2 - 230;    6,825
2786; AVARE - 230;    5,557
2617; AGUA VERMELHA - 500;   10,279
2618; AGUA VERMELHA - 440;   10,150
3947; BARRO ALTO - 230;   11,966
3605; BARRO BRANCO - 345;    8,953
4297; B. DOS COQUEIROS - 230;   12,235
229; B.ESPERANCA - 230;   10,132
4288; B. FLUMINENSE - 500;    9,662
7304; BARRA GRANDE - 230;    8,620
6608; BAIXO IGUACU PR - 230;    9,012
11050; B.JESUS II - 230;   10,367
3236; BARRA PEIXE - 230;    8,983
13103; BACAB - MA - 500;   10,546
9010; BAGE 2 - 230;    7,455
2733; BAGUACU - 440;    8,854
1645; BAGUARI - 230;   10,253
2920; B. SANTISTA - 230;    5,367
2919; B. SANTISTA - 345;    5,367
10410; BALBINA - 230;    7,937
215; BALSAS - 230;   10,778
222; BANABUIU - 230;   10,349
3909; BANDEIRANTE GO - 345;   10,068
2934; BANDEIRANTE SP - 345;    5,367
1480; BARBACENA - 345;    8,625
11286; BARREIRAS II - 230;   10,012
286; BARREIRAS - 230;    9,559
1482; BARREIRO - 345;    9,207
846; BARREIRAS - 500;   11,476
6627; BATEIAS - 230;    6,896
3696; BATEIAS 3 - 500;    7,411
6628; BATEIAS - 525;    7,519
2628; BAURU SP - 440;    7,811
1612; BARAO DE COCAIS 3 - 230;    8,478
1485; B.DESPACHO - 500;   10,257
529; B.ESPERANCA - 500;   10,994
26454; BETIM 6 -345;    9,468
7740; BAIXO IGUACU SC - 230;    6,128
7741; BIGUACU--525;    6,998
2638; BOM JARDIM - 440;    7,146
385; B.J.LAPA II - 230;   11,549
585; BJLAPAII - 500;   11,609
285; B.J.LAPA - 230;   11,549
