BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
 2840; AGUA AZUL - 138                                                      ;   17,225;         ;         ;         
2840; AGUA AZUL - 138;   17,225;;;
30951; AGUA AZUL - 440                                                      ;   16,932;         ;         ;         
30951; AGUA AZUL - 440;   16,932;;;
 1206; AG.LINDAS230                                                         ;   13,794;         ;         ;         
1206; AG.LINDAS230;   13,794;;;
 1943; ANGRA AMPLA - 138                                                    ;   14,362;         ;         ;         
1943; ANGRA AMPLA - 138;   14,362;;;
  151; ACU II - 138                                                         ;   12,076;         ;         ;         
151; ACU II - 138;   12,076;;;
  251; ACU II - 230                                                         ;   12,076;         ;         ;         
251; ACU II - 230;   12,076;;;
11265; ACU III - 230                                                        ;   12,279;         ;         ;         
11265; ACU III - 230;   12,279;;;
11565; ACU III - 500                                                        ;   12,413;         ;         ;         
11565; ACU III - 500;   12,413;;;
  600; ABAIXADORA - 69                                                      ;   13,051;         ;         ;         
600; ABAIXADORA - 69;   13,051;;;
 7747; ABDON BATISTA - 230                                                  ;   15,678;         ;         ;         
7747; ABDON BATISTA - 230;   15,678;;;
 7744; ABDON BATISTA - 525                                                  ;   16,209;         ;         ;         
7744; ABDON BATISTA - 525;   16,209;;;
 9590; ABUNA - 13,8                                                         ;   21,438;         ;         ;         
9590; ABUNA - 13,8;   21,438;;;
 9636; ABUNA - 138                                                          ;   21,438;         ;         ;         
9636; ABUNA - 138;   21,438;;;
 9537; ABUNA - 230                                                          ;   21,438;         ;         ;         
9537; ABUNA - 230;   21,438;;;
  559; ACAILANDIA - 500                                                     ;   12,982;         ;         ;         
559; ACAILANDIA - 500;   12,982;;;
55412; ACARAU II – 230                                                      ;   13,367;         ;         ;         
55412; ACARAU II – 230;   13,367;;;
12907; ACARAT CE - 230                                                      ;   13,361;         ;         ;         
12907; ACARAT CE - 230;   13,361;;;
12902; ACARAT-CE500                                                         ;   13,334;         ;         ;         
12902; ACARAT-CE500;   13,334;;;
 4475; ACESITA - 230                                                        ;   15,678;         ;         ;         
4475; ACESITA - 230;   15,678;;;
 3155; EMPLAL - 138                                                         ;   14,040;         ;         ;         
3155; EMPLAL - 138;   14,040;;;
 3730; ADRIANOPOLIS - 138                                                   ;   15,041;         ;         ;         
3730; ADRIANOPOLIS - 138;   15,041;;;
 3729; ADRIANOPOLIS - 345                                                   ;   14,982;         ;         ;         
3729; ADRIANOPOLIS - 345;   14,982;;;
 3728; ADRIANOPOLIS - 500                                                   ;   14,617;         ;         ;         
3728; ADRIANOPOLIS - 500;   14,617;;;
 3031; AGUAI - 138                                                          ;   16,373;         ;         ;         
3031; AGUAI - 138;   16,373;;;
 1637; AIMORES - 230                                                        ;   13,507;         ;         ;         
1637; AIMORES - 230;   13,507;;;
 2336; AJINOMOTO VAL - 138                                                  ;   14,492;         ;         ;         
2336; AJINOMOTO VAL - 138;   14,492;;;
18761; ALAGOINHA 2 - 69                                                     ;   15,847;         ;         ;         
18761; ALAGOINHA 2 - 69;   15,847;;;
11760; ALAGOAS 2 - 230                                                      ;   15,847;         ;         ;         
