GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
AAA BARRA,0,0,0,0,9.86,10.64,10.68,11.06,10.993,11.008,10.988,10.968,10.948,10.928,10.908000000000001,10.888000000000002,10.868000000000002,10.848000000000003
EOL ABIL,0,10.528,10.847,10.616,10.999,11.487,11.548,11.973,11.755,11.772,11.752,11.732000000000001,11.712000000000002,11.692000000000002,11.672000000000002,11.652000000000003,11.632000000000003,11.612000000000004
EOL ACACIA,0,10.456,10.787,10.559,10.941,11.426,11.486,11.907,11.689,11.706,11.686,11.666,11.646,11.626000000000001,11.606000000000002,11.586000000000002,11.566000000000003,11.546000000000003
EOL ACARI (RIACHAO I),0,10.042,9.038,9.035,9.255,10.234,10.287,10.664,10.529,10.545,10.525,10.505,10.485000000000001,10.465000000000002,10.445000000000002,10.425000000000002,10.405000000000003,10.385000000000003
EOL ACAUA,0,10.528,10.847,10.616,10.999,11.487,11.548,11.973,11.755,11.772,11.752,11.732000000000001,11.712000000000002,11.692000000000002,11.672000000000002,11.652000000000003,11.632000000000003,11.612000000000004
EOL ACAUA I,0,10.986,10.064,10.232,10.465,10.909,10.974,11.354,11.227,11.244,11.224,11.204,11.184000000000001,11.164000000000001,11.144000000000002,11.124000000000002,11.104000000000003,11.084000000000003
EOL ACAUA II,0,10.986,10.064,10.232,10.465,10.909,10.974,11.354,11.227,11.244,11.224,11.204,11.184000000000001,11.164000000000001,11.144000000000002,11.124000000000002,11.104000000000003,11.084000000000003
EOL ACAUA III,0,10.986,10.064,10.232,10.465,10.909,10.974,11.354,11.227,11.244,11.224,11.204,11.184000000000001,11.164000000000001,11.144000000000002,11.124000000000002,11.104000000000003,11.084000000000003
EOL AFONSO BEZERRA I,0,10.878,9.942,10.1,10.327,11.534,11.61,12.001,11.879,11.897,11.877,11.857000000000001,11.837000000000002,11.817000000000002,11.797000000000002,11.777000000000003,11.757000000000003,11.737000000000004
EOL AFONSO BEZERRA II,0,10.878,9.942,10.1,10.327,11.534,11.61,12.001,11.879,11.897,11.877,11.857000000000001,11.837000000000002,11.817000000000002,11.797000000000002,11.777000000000003,11.757000000000003,11.737000000000004
EOL AFONSO BEZERRA III,0,10.878,9.942,10.1,10.327,11.534,11.61,12.001,11.879,11.897,11.877,11.857000000000001,11.837000000000002,11.817000000000002,11.797000000000002,11.777000000000003,11.757000000000003,11.737000000000004
EOL AFONSO BEZERRA IV,0,10.878,9.942,10.1,10.327,11.534,11.61,12.001,11.879,11.897,11.877,11.857000000000001,11.837000000000002,11.817000000000002,11.797000000000002,11.777000000000003,11.757000000000003,11.737000000000004
EOL ALBATROZ,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ALBUQUERQUE (RIACHAO II),0,10.042,9.038,9.035,9.255,10.234,10.287,10.664,10.529,10.545,10.525,10.505,10.485000000000001,10.465000000000002,10.445000000000002,10.425000000000002,10.405000000000003,10.385000000000003
EOL ALEGRIA I(NEW ENERGY),0,10.878,9.942,10.1,10.327,11.43,11.504,11.889,11.766,11.784,11.764000000000001,11.744000000000002,11.724000000000002,11.704000000000002,11.684000000000003,11.664000000000003,11.644000000000004,11.624000000000004
EOL ALEGRIA II(NEW ENERGY),0,10.878,9.942,10.1,10.327,11.43,11.504,11.889,11.766,11.784,11.764000000000001,11.744000000000002,11.724000000000002,11.704000000000002,11.684000000000003,11.664000000000003,11.644000000000004,11.624000000000004
EOL ALTO DOS VENTOS II A,0,0,0,0,0,10.915,10.983,11.398,11.272,11.288,11.268,11.248000000000001,11.228000000000002,11.208000000000002,11.188000000000002,11.168000000000003,11.148000000000003,11.128000000000004
EOL ALTO DOS VENTOS II B,0,0,0,0,0,10.915,10.983,11.398,11.272,11.288,11.268,11.248000000000001,11.228000000000002,11.208000000000002,11.188000000000002,11.168000000000003,11.148000000000003,11.128000000000004
EOL ALVORADA,0,10.554,10.856,10.635,11.016,11.499,11.56,11.985,11.769,11.786,11.766,11.746,11.726,11.706000000000001,11.686000000000002,11.666000000000002,11.646000000000003,11.626000000000003
EOL AMESCLA,0,10.165,10.561,10.326,10.708,11.411,11.472,11.893,11.673,11.69,11.67,11.65,11.63,11.610000000000001,11.590000000000002,11.570000000000002,11.550000000000002,11.530000000000003
