BARRA;NOME;TUST-RB
542; TRES IRMAOS - 440;    6,647
8344; ABAIARA - 230;   12,873
9739; ABDON BATISTA - 230;    5,278
9738; ABDON BATISTA - 525;    4,966
6930; ABUNA - 230;    7,039
6700; ACAILANDIA - 500;   11,889
5923; ACARAT CE - 230;   12,546
5318; ACARAT-CE500;   12,486
5486; ACARAU II – 230;   12,568
1596; ACESITA - 230;    4,963
5461; ACU II - 230;   13,828
5351; ACU III - 230;   13,876
5350; ACU III - 500;   13,542
140; ADRIANOPOLIS - 345;    5,049
106; ADRIANOPOLIS - 500;    5,266
2987; AG.LINDAS230;    7,802
453; AGUA AZUL - 440;    4,963
4043; AIMORES - 230;    6,976
6000; ALAGOAS 2 - 230;    8,747
1186; ALEGRETE2 - 230;    5,363
8163; ALEX - 230;   13,957
6521; ALTAMIRA - 230;    9,712
668; ALTA PAULISTA - 400;    6,086
1078; ANASTACIO - 230;    4,963
44594; ANEMUS - 230;   14,066
5100; ANGELIM - 500;   11,771
5101; ANGELIM - 230;   11,527
105; ANGRA - 500;    5,528
760; ANHANGUERA GO - 230;    6,349
431; ANHANGUERA SP - 230;    4,963
439; ANHANGUERA - 345;    4,963
458; APARECIDA - 230;    4,963
878; APUCARANA - 230;    4,963
5381; AQUIRAZ - 230;   11,975
4070; ARACUAI - 230;   10,721
6081; ARAPIRACA III - 230;    7,267
559; ARARAQUARA - 440;    5,172
101; ARARAQUARA - 500;    6,065
99; ARARAQUARA - 525;    6,065
589; ARARAS SP - 440;    4,963
7058; ARARAQUARA 2 - 440;    5,707
7057; ARARAQUARA 2 - 500;    6,017
5092; ARCOVERDE II - 230;   11,673
934; AREIA - 230;    4,963
933; AREIA - 525;    5,115
4349; ARINOS 2 - 500;   11,020
6880; ARIQUEMES - 230;    6,874
45680; ASOLO 2 - 230;    8,588
552; ASSIS - 440;    5,552
556; ASSIS - 525;    5,552
551; ASSIS 2 - 230;    4,963
697; ATIBAIA 2 - 345;    4,963
1330; ATLANTIDA 2 - 230;    4,963
629; AVARE - 230;    4,963
3150; AVARE NOVA - 230;    4,963
536; AGUA VERMELHA - 440;    6,700
535; AGUA VERMELHA - 500;    7,074
451; AVILLAR - 230;    4,963
9892; ANDIRA LESTE - 230;    4,963
229; BARRO ALTO - 230;    9,036
4040; BARRO BRANCO - 345;    5,886
9444; B. DOS COQUEIROS - 230;    8,683
5511; B.ESPERANCA - 230;   11,304
5510; B.ESPERANCA - 500;   11,959
227; BRASILIA GERAL - 230;    7,013
574; BOM JARDIM - 440;    4,963
7181; B.JESUS II - 230;   11,283
3699; BRASILIA LESTE - 500;    8,808
5401; BOM NOME - 230;   12,578
4502; BARRA PEIXE - 230;    7,396
228; BRAS. SUL - 230;    7,458
219; BRAS. SUL -345;    8,040
5684; BACAB - MA - 500;   11,914
1188; BAGE 2 - 230;    5,096
478; BAGUACU - 440;    5,699
1495; BAGUARI - 230;    6,963
9354; BAIXO IGUACU PR - 230;    4,963
472; B. SANTISTA - 230;    4,963
471; B. SANTISTA - 345;    4,963
8501; BALBINA - 230;    9,926
5391; BALSAS - 230;   11,794
5421; BANABUIU - 230;   12,950
226; BANDEIRANTE GO - 230;    6,713
218; BANDEIRANTE GO - 345;    7,625
492; BANDEIRANTE SP - 345;    4,963
308; BARBACENA - 345;    5,092
6315; BARREIRAS II - 230;   11,242
6361; BARREIRAS - 230;   10,955
6360; BARREIRAS - 500;   11,377
313; BARREIRO - 345;    6,077
112; BATEIAS - 500;    4,963
113; BATEIAS 2 - 500;    4,963
814; BATEIAS - 230;    4,963
895; BATEIAS - 525;    4,963
114; BATEIAS 3 - 500;    4,963
561; BAURU SP - 440;    4,963
9004; BARAO DE COCAIS 3 - 230;    5,402
4050; B.DESPACHO - 500;    7,022
4337; BETIM 6 -345;    6,463
9626; B. FLUMINENSE - 500;    5,328
936; BARRA GRANDE - 230;    5,629
947; BAIXO IGUACU SC - 230;    4,963
946; BIGUACU--525;    4,963
6358; B.J.LAPA II - 230;   11,226
6349; BJLAPAII - 500;   11,092
6351; B.J.LAPA - 230;   11,248
939; BLUMENAU - 230;    4,963
938; BLUMENAU - 525;    4,963
5152; BONGI - 230;    9,994
625; BOTUCATU - 230;    4,963
7734; BRACEL - 440;    4,963
4868; BRASNORTE - 230;    8,184
9051; BRAUNA - 230;    6,262
6334; BROT.MACAUBAS - 230;   12,198
5941; BRUMADO II - 230;    6,017
6075; BURITIRAMA - 500;   12,076
5701; CIC.DANTAS - 230;   10,488
756; CACHOEIRA DOURADA - 230;    8,728
4512; C. MAGALHAES - 230;    7,612
5525; COELHO NETO - 230;    9,561
5262; CURRAIS NOVOS II - 230;   14,066
104; C. PAULISTA - 500;    5,337
7054; C.PORTO VELHO - 230;    7,871
7055; C.PORTO VELHO - 500;   13,685
8551; CRISTIANO ROCHA - 230;    9,586
590; CABREUVA - 230;    4,963
584; CABREUVA - 440;    4,963
9458; CACU - 230;    8,683
5098; CAETES II - 230;   11,710
41414; CAIACA-SC - 230;    4,963
10218; CRUZ ALTA 2 - 230;    5,093
5750; CAMACARI - 500;    9,703
5756; CAMACARI IV - 230;    8,923
5752; CAMACARI IV - 500;    9,698
9569; CAMAQUA 3 - 230;    4,963
1194; CAMAQUA - 230;    4,963
123; CAMPINAS - 345;    4,963
103; CAMPINAS - 500;    5,061
117; CAMPOS 2 - 500;    6,123
1198; CAMPO BOM - 230;    4,963
147; CAMPOS - 345;    6,289
4684; CANARANA CMT - 230;    5,784
9590; CANDELARIA 2 - 230;    5,285
9952; CANDIOTA 2 - 230;    5,160
9951; CANDIOTA 2 - 525;    4,963
9785; CANDIOTA - 230;    5,707
9786; CANDIOTA - 525;    5,707
1190; CANOA 1 - 230;    4,963
1248; CANOAS 2 - 230;    4,963
943; CANOINHA - 230;    4,963
1037; CAPIVARI-230;    4,963
1036; CAPIVARI-525;    4,963
549; CAPIVARA - 440;    5,864
3714; CARAJAS GO - 230;    6,047
6407; CARAJAS PA - 230;   10,835
477; CARBOCLORO - 230;    4,963
839; CASCAVEL - 230;    4,963
9538; CASCAVEL NORT - 230;    4,963
2458; CASCAVEL OESTE - 230;    4,963
896; CASCAVOE - 525;    5,099
10355; CASSILANDIA - 230;    6,702
2353; CAMPO ASSOBIO - 230;    4,963
6489; CASTANHA - 230;    8,836
9278; CASTERTECH - 230;    4,963
10138; CASTRO NORTE - 230;    4,963
5782; CATU - 230;    8,311
5651; CAIUPE - 230;   12,163
1200; CAXIAS SUL 2 - 230;    4,963
1192; CAXIAS 5 -230;    4,963
1386; CAXIAS 6 - 230;    4,963
965; CAXIAS - 230;    4,963
964; CAXIAS RS - 525;    5,008
10216; CAXIAS NORTE - 230;    4,963
10215; CAXIAS NORTE - 525;    5,059
607; CBA - 230;    4,963
608; CBA TERM - 440;    4,963
603; CBA 2 - 440;    4,963
9543; CBA LESTE - 230;    4,963
9542; CBA LESTE - 525;    4,963
9697; CURITIBA NORT - 230;    4,963
623; CAPAO BONITO - 230;    4,963
3964; CANA BRAVA - 230;   10,375
816; C.COMPRIDO - 230;    4,963
6132; CEAMIRIM - 230;   13,236
6130; CEA.MIRIM II - 500;   13,279
427; CENTRO - 230;    4,963
9731; CERRO CHATO - 230;    5,702
2035; CERQUILHO 3 - 230;    4,963
970; GARABI 2 - 500;    5,296
971; GARABI 1 - 500;    5,296
6107; CAMPO FORMOSO - 230;   12,819
1043; RIVERA - 230;    5,553
5222; CAMPINA GRANDE II - 230;   12,112
1025; CAMPO GRANDE II - 230;    5,945
5202; CAMPINA GRANDE III - 230;   12,217
5200; CAMPINA GRANDE III - 500;   12,672
5303; CHAPADA 1 PI - 230;   13,357
6631; CHAPADA 2 PI - 230;   13,367
5305; CHAPADA 3 PI - 230;   13,522
1089; CHAPADAO - 230;    6,702
5685; CHAPADINHA II - 230;    9,885
10276; CHARQUEADAS 3 - 230;    4,963
951; CHARQUEADAS (SE) - 230;    4,963
615; CHAVANTES - 230;    4,963
7784; HELIO VALGAS MG - 345;    9,536
815; C.IND. CURITIBA - 230;    4,963
1258; C.INDUSTRIAL - 230;    4,963
4495; CLAUDIA - 500;    8,739
5751; CAMACARI II - 230;    8,842
954; C.MOURAO - 230;    4,963
956; CAMPOS NOVOS - 230;    5,442
955; CAMPOS NOVOS - 525;    5,057
789; CODEMI GO- 230;    9,932
4465; COLIDER - 500;    8,739
7300; COLINAS - 500;   11,764
9607; COMPERJ - 345;    5,432
5621; SE COREMAS II - 230;   12,484
1018; CORUMBA 2 - 30;    4,963
220; CORUMBA - 345;    7,803
5802; COTEGIPE - 230;    8,471
5216; COTEMINAS - 230;   11,892
4532; COXIPO - 230;    7,332
27; C. PAULISTA 2 - 500;    5,337
319; CONSE. PENA - 230;    6,794
8319; CRATO 2 - 230;   12,480
9104; U.CUBATAO - 230;    4,963
9105; CUBATAO - 230;    4,963
4515; CUIABA - 230;    7,406
4514; CUIABA - 500;    7,414
960; CURITIBA - 230;    4,963
959; CURITIBA - 525;    4,963
6641; CURRAL NOVO PIAUI - 230;   13,441
6640; CURRAL NOVO PIAUI - 500;   12,925
44812; VEREDA - 345;    9,366
5471; DELM. GOUVEIA - 230;   11,175
5804; D.PITUACU - 230;    8,156
420; DOMENICO RANGONI - 345;    4,963
4892; DARDANELOS - 230;    8,411
5730; DER.OLD 1- 230;    9,410
945; DESTERRO - 230;    4,963
1223; DONA FRANCISCA - 230;    5,908
818; D. INDUSTRIAL SJP - 230;    4,963
10101; DOURADOS 2 - 230;    5,440
1086; DOURADOS - 230;    5,365
5681; E. MARTIN - 230;   11,924
410; EDGARD SOUZA - 230;    4,963
