BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
2338; DOIS CORREGOS - 138;    8,952;    9,061;;
543; TRES IRMAOS - 138;    7,845;    7,785;;
542; TRES IRMAOS - 440;    7,773;    7,699;;
1903; TRES LAGOAS 1 - 138;    7,908;    7,863;;
8344; ABAIARA - 230;    4,768;    4,222;;
6203; ABAIXADORA - 69;    5,060;    4,539;;
9739; ABDON BATISTA - 230;    8,751;    9,345;;
9738; ABDON BATISTA - 525;    8,913;    9,502;;
6931; ABUNA - 138;    7,583;    6,923;;
6930; ABUNA - 230;    7,583;    6,923;;
6700; ACAILANDIA - 500;    5,243;    4,679;;
5923; ACARAT CE - 230;    4,925;    4,305;;
5318; ACARAT-CE500;    4,954;    4,337;;
5486; ACARAU II – 230;    4,915;    4,294;;
1596; ACESITA - 230;    8,658;    8,569;;
5463; ACU II - 69;    4,307;    4,009;;
5468; ACU II - 138;    4,451;    4,009;;
5461; ACU II - 230;    4,307;    4,009;;
5351; ACU III - 230;    4,284;    4,009;;
5350; ACU III - 500;    4,445;    4,009;;
173; ADRIANOPOLIS - 138;    8,525;    8,430;;
140; ADRIANOPOLIS - 345;    8,544;    8,453;;
106; ADRIANOPOLIS - 500;    8,440;    8,374;;
2974; AGUAS LINDAS - 69;    7,216;    6,860;;
2987; AG.LINDAS230;    7,216;    6,860;;
5106; ANGELIM - 13,8;    5,418;    4,881;;
3801; AGUAI - 138;    8,770;    8,816;;
452; AGUA AZUL - 138;    9,105;    9,199;;
453; AGUA AZUL - 440;    9,089;    9,181;;
4043; AIMORES - 230;    7,614;    7,345;;
3934; AJINOMOTO BIO - 138;    9,813;   10,083;;
5796; ALAGOINHA 2 - 69;    6,759;    6,603;;
6000; ALAGOAS 2 - 230;    6,759;    6,603;;
1185; ALEGRETE2 - 69;    8,853;    9,698;;
1186; ALEGRETE2 - 230;    8,856;    9,707;;
8163; ALEX - 230;    4,244;    4,009;;
6523; ALTAMIRA - 69;    6,293;    5,846;;
6521; ALTAMIRA - 230;    6,293;    5,846;;
668; ALTA PAULISTA - 400;    8,043;    8,033;;
2336; AMPARO - 138;    8,940;    9,017;;
1079; ANASTACIO - 138;    8,616;    8,750;;
1078; ANASTACIO - 230;    8,608;    8,739;;
3840; AVANTI N.CORT - 138;    7,903;    7,857;;
3882; ANDRADINA - 138;    7,905;    7,856;;
44594; ANEMUS - 230;    4,192;    4,009;;
5100; ANGELIM - 500;    5,300;    4,763;;
5103; ANGELIM - 69;    5,418;    4,881;;
5101; ANGELIM - 230;    5,417;    4,881;;
185; ANGRA 1 - 138;    8,388;    8,313;;
105; ANGRA - 500;    8,313;    8,233;;
1773; ANGRA AMPLA - 138;    8,425;    8,353;;
762; ANHANGUERA - 69;    7,917;    7,795;;
761; ANHANGUERA - 138;    7,908;    7,784;;
760; ANHANGUERA GO - 230;    7,917;    7,795;;
444; ANHANGUERA - 88;    9,309;    9,428;;
431; ANHANGUERA SP - 230;    9,716;    9,929;;
439; ANHANGUERA - 345;    9,309;    9,428;;
459; APARECIDA - 88;    8,750;    8,775;;
458; APARECIDA - 230;    8,750;    8,775;;
879; APUCARANA - 138;    9,115;    9,473;;
878; APUCARANA - 230;    9,115;    9,474;;
5383; AQUIRAZ II - 69;    5,201;    4,651;;
5381; AQUIRAZ - 230;    5,201;    4,651;;
2296; ARACATUBA - 138;    8,215;    8,207;;
4081; ARACUAI 2 - 138;    5,783;    5,257;;
4070; ARACUAI - 230;    5,806;    5,282;;
6083; ARAPIRACA III - 69;    7,473;    7,257;;
6081; ARAPIRACA III - 230;    7,473;    7,257;;
3802; ARARAS 1 - 138;    8,765;    8,827;;
3803; ARARAS 2 - 138;    8,774;    8,839;;
560; ARARAQUARA CTP - 138;    8,471;    8,493;;
559; ARARAQUARA - 440;    8,485;    8,514;;
101; ARARAQUARA - 500;    8,054;    8,030;;
99; ARARAQUARA - 525;    8,054;    8,030;;
589; ARARAS SP - 440;    8,829;    8,901;;
7058; ARARAQUARA 2 - 440;    8,226;    8,218;;
7057; ARARAQUARA 2 - 500;    8,077;    8,051;;
7411; ARAXA 3 - 138;    7,421;    7,202;;
7410; ARAXA 3 - 345;    7,390;    7,167;;
5093; ARCOVERDE II - 69;    5,347;    4,785;;
5092; ARCOVERDE II - 230;    5,347;    4,785;;
9336; AREIA - 13,8;    9,092;    9,591;;
823; AREIA - 138;    9,093;    9,593;;
934; AREIA - 230;    9,079;    9,574;;
933; AREIA - 525;    8,687;    9,147;;
4349; ARINOS 2 - 500;    5,662;    5,143;;
6881; ARIQUEMES - 69;    7,663;    7,137;;
6880; ARIQUEMES - 230;    7,663;    7,137;;
