BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    5,349
1206; AG.LINDAS230;    8,627
251; ACU II - 230;   16,402
11265; ACU III - 230;   15,976
11565; ACU III - 500;   15,595
7747; ABDON BATISTA - 230;    5,349
7744; ABDON BATISTA - 525;    5,349
9537; ABUNA - 230;    5,349
559; ACAILANDIA - 500;   12,641
55412; ACARAU II – 230;   13,813
12907; ACARAT CE - 230;   13,794
12902; ACARAT-CE500;   13,763
4475; ACESITA - 230;    7,092
3729; ADRIANOPOLIS - 345;    6,493
3728; ADRIANOPOLIS - 500;    6,509
1637; AIMORES - 230;    8,913
11760; ALAGOAS 2 - 230;   11,046
9002; ALEGRETE2 - 230;    5,349
56095; ALEX - 230;   16,489
362; ALTAMIRA - 230;   11,583
7758; ANASTACIO - 230;    5,349
2770; ANDIRA LESTE - 230;    5,349
540; ANGELIM - 500;   13,956
240; ANGELIM - 230;   13,897
3745; ANGRA - 500;    7,091
1172; ANHANGUERA GO - 230;    6,854
2901; ANHANGUERA SP - 230;    5,349
2900; ANHANGUERA - 345;    5,349
2957; APARECIDA - 230;    5,498
2758; ALTA PAULISTA - 400;    5,434
6601; APUCARANA - 230;    5,349
58771; LAGOA BARRO - 230;   13,799
11219; AQUIRAZ - 230;   13,823
1522; ARACUAI - 230;   11,271
11242; ARAPIRACA III - 230;   10,196
5203; ARARAQUARA 2 - 440;    5,466
5202; ARARAQUARA 2 - 500;    5,903
2630; ARARAQUARA - 440;    5,349
3852; ARARAQUARA - 500;    5,812
2673; ARARAS SP - 440;    5,349
38906; ARAXA 3 - 345;    7,694
12203; ARCOVERDE II - 230;   14,062
7749; AREIA - 230;    5,349
7748; AREIA - 525;    5,349
39813; ARINOS 2 - 500;   10,636
9520; ARIQUEMES - 230;    5,349
302; MOXOTO - 230;   15,025
2624; ASSIS - 440;    5,349
4282; ASSIS - 525;    5,349
2626; ASSIS 2 - 230;    5,349
2677; ATIBAIA 2 - 345;    5,349
7923; ATLANTIDA 2 - 230;    5,349
2786; AVARE - 230;    5,349
2617; AGUA VERMELHA - 500;    7,015
2618; AGUA VERMELHA - 440;    6,539
3947; BARRO ALTO - 230;   10,425
3605; BARRO BRANCO - 345;    7,098
4297; B. DOS COQUEIROS - 230;    8,730
229; B.ESPERANCA - 230;   12,940
4288; B. FLUMINENSE - 500;    6,721
7304; BARRA GRANDE - 230;    5,349
6608; BAIXO IGUACU PR - 230;    5,349
11050; B.JESUS II - 230;   12,669
3236; BARRA PEIXE - 230;    6,060
13103; BACAB - MA - 500;   13,072
9010; BAGE 2 - 230;    5,349
2733; BAGUACU - 440;    5,349
1645; BAGUARI - 230;    9,211
2920; B. SANTISTA - 230;    5,349
2919; B. SANTISTA - 345;    5,349
10410; BALBINA - 230;   10,078
215; BALSAS - 230;   12,740
222; BANABUIU - 230;   14,855
3909; BANDEIRANTE GO - 345;    8,066
2934; BANDEIRANTE SP - 345;    5,349
1480; BARBACENA - 345;    6,463
11286; BARREIRAS II - 230;   10,929
286; BARREIRAS - 230;   10,584
1482; BARREIRO - 345;    7,268
846; BARREIRAS - 500;   12,014
6627; BATEIAS - 230;    5,349
3696; BATEIAS 3 - 500;    5,349
6628; BATEIAS - 525;    5,349
2628; BAURU SP - 440;    5,349
