Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
30951; AGUA AZUL - 440;;  6,956;  2,665;  4,810;  5,372;;;  5,372;
1206; AG.LINDAS230;; 10,092;  7,682;  8,887;  8,630;;;  8,630;
251; ACU II - 230;; 11,805; 21,265; 16,535; 16,278;;; 16,278;
11265; ACU III - 230;; 11,602; 20,612; 16,107; 15,850;;; 15,850;
11565; ACU III - 500;; 11,468; 19,982; 15,725; 15,468;;; 15,468;
7747; ABDON BATISTA - 230;;  8,213;  0,160;  4,186;  5,372;;;  5,372;
7744; ABDON BATISTA - 525;;  7,682;  0,166;  3,924;  5,372;;;  5,372;
9537; ABUNA - 230;;  2,490;  0,000;  1,245;  5,372;;;  5,372;
559; ACAILANDIA - 500;; 10,899; 14,865; 12,882; 12,625;;; 12,625;
55412; ACARAU II – 230;; 10,515; 17,453; 13,984; 13,727;;; 13,727;
12907; ACARAT CE - 230;; 10,520; 17,411; 13,965; 13,708;;; 13,708;
12902; ACARAT-CE500;; 10,548; 17,324; 13,936; 13,679;;; 13,679;
4475; ACESITA - 230;;  8,190;  6,481;  7,335;  7,078;;;  7,078;
3729; ADRIANOPOLIS - 345;;  8,898;  5,801;  7,349;  7,092;;;  7,092;
3728; ADRIANOPOLIS - 500;;  9,267;  5,904;  7,585;  7,328;;;  7,328;
1637; AIMORES - 230;; 10,372;  7,868;  9,120;  8,863;;;  8,863;
11760; ALAGOAS 2 - 230;;  8,033; 14,134; 11,084; 10,827;;; 10,827;
9002; ALEGRETE2 - 230;;  7,102;  0,000;  3,551;  5,372;;;  5,372;
56095; ALEX - 230;; 11,670; 21,572; 16,621; 16,364;;; 16,364;
362; ALTAMIRA - 230;;  9,877; 13,883; 11,880; 11,623;;; 11,623;
7758; ANASTACIO - 230;;  7,981;  2,511;  5,246;  5,372;;;  5,372;
2770; ANDIRA LESTE - 230;;  7,478;  1,293;  4,386;  5,372;;;  5,372;
540; ANGELIM - 500;; 10,055; 18,049; 14,052; 13,795;;; 13,795;
240; ANGELIM - 230;;  9,909; 18,079; 13,994; 13,737;;; 13,737;
3745; ANGRA - 500;; 10,096;  6,170;  8,133;  7,876;;;  7,876;
1172; ANHANGUERA GO - 230;;  9,204;  5,259;  7,232;  6,975;;;  6,975;
2901; ANHANGUERA SP - 230;;  4,123;  0,081;  2,102;  5,372;;;  5,372;
2900; ANHANGUERA - 345;;  4,466;  0,152;  2,309;  5,372;;;  5,372;
2957; APARECIDA - 230;;  8,475;  4,466;  6,470;  6,213;;;  6,213;
2758; ALTA PAULISTA - 400;;  9,406;  3,357;  6,382;  6,125;;;  6,125;
6601; APUCARANA - 230;;  7,021;  0,561;  3,791;  5,372;;;  5,372;
58771; LAGOA BARRO - 230;; 11,490; 16,350; 13,920; 13,663;;; 13,663;
11219; AQUIRAZ - 230;;  9,464; 18,402; 13,933; 13,676;;; 13,676;
1522; ARACUAI - 230;; 12,347;  9,759; 11,053; 10,796;;; 10,796;
11242; ARAPIRACA III - 230;;  6,258; 14,259; 10,258; 10,001;;; 10,001;
5203; ARARAQUARA 2 - 440;;  8,994;  4,169;  6,581;  6,324;;;  6,324;
5202; ARARAQUARA 2 - 500;;  9,500;  4,647;  7,074;  6,817;;;  6,817;
2630; ARARAQUARA - 440;;  8,513;  3,690;  6,101;  5,844;;;  5,844;
3852; ARARAQUARA - 500;;  9,261;  4,352;  6,806;  6,549;;;  6,549;
2673; ARARAS SP - 440;;  7,547;  2,974;  5,261;  5,372;;;  5,372;
38906; ARAXA 3 - 345;; 10,358;  6,296;  8,327;  8,070;;;  8,070;
12203; ARCOVERDE II - 230;; 10,084; 18,235; 14,160; 13,903;;; 13,903;
7749; AREIA - 230;;  7,857;  0,352;  4,105;  5,372;;;  5,372;
7748; AREIA - 525;;  8,035;  0,675;  4,355;  5,372;;;  5,372;
39813; ARINOS 2 - 500;; 11,770;  9,177; 10,474; 10,217;;; 10,217;
9520; ARIQUEMES - 230;;  3,520;  0,000;  1,760;  5,372;;;  5,372;
302; MOXOTO - 230;; 11,213; 19,022; 15,117; 14,860;;; 14,860;
2624; ASSIS - 440;;  8,671;  2,735;  5,703;  5,446;;;  5,446;
4282; ASSIS - 525;;  8,393;  2,239;  5,316;  5,372;;;  5,372;
2626; ASSIS 2 - 230;;  8,278;  2,129;  5,204;  5,372;;;  5,372;
2677; ATIBAIA 2 - 345;;  6,004;  1,709;  3,857;  5,372;;;  5,372;
7923; ATLANTIDA 2 - 230;;  6,856;  0,000;  3,428;  5,372;;;  5,372;
2786; AVARE - 230;;  5,591;  0,314;  2,953;  5,372;;;  5,372;
2617; AGUA VERMELHA - 500;; 10,308;  5,165;  7,737;  7,480;;;  7,480;
2618; AGUA VERMELHA - 440;; 10,181;  4,734;  7,457;  7,200;;;  7,200;
3947; BARRO ALTO - 230;; 11,998;  9,376; 10,687; 10,430;;; 10,430;
3605; BARRO BRANCO - 345;;  8,954;  6,341;  7,647;  7,390;;;  7,390;
4297; B. DOS COQUEIROS - 230;; 12,266;  6,502;  9,384;  9,127;;;  9,127;
229; B.ESPERANCA - 230;; 10,154; 16,062; 13,108; 12,851;;; 12,851;
4288; B. FLUMINENSE - 500;;  9,688;  5,830;  7,759;  7,502;;;  7,502;
7304; BARRA GRANDE - 230;;  8,652;  0,321;  4,486;  5,372;;;  5,372;
6608; BAIXO IGUACU PR - 230;;  9,044;  1,217;  5,131;  5,372;;;  5,372;
11050; B.JESUS II - 230;; 10,388; 15,165; 12,776; 12,519;;; 12,519;
3236; BARRA PEIXE - 230;;  9,022;  3,873;  6,447;  6,190;;;  6,190;
13103; BACAB - MA - 500;; 10,568; 15,976; 13,272; 13,015;;; 13,015;
9010; BAGE 2 - 230;;  7,487;  0,000;  3,743;  5,372;;;  5,372;
2733; BAGUACU - 440;;  8,887;  3,414;  6,150;  5,893;;;  5,893;
1645; BAGUARI - 230;; 10,269;  8,088;  9,179;  8,922;;;  8,922;
2920; B. SANTISTA - 230;;  4,902;  0,316;  2,609;  5,372;;;  5,372;
2919; B. SANTISTA - 345;;  5,269;  0,571;  2,920;  5,372;;;  5,372;
10410; BALBINA - 230;;  7,959; 12,731; 10,345; 10,088;;; 10,088;
215; BALSAS - 230;; 10,799; 14,945; 12,872; 12,615;;; 12,615;
222; BANABUIU - 230;; 10,370; 19,568; 14,969; 14,712;;; 14,712;
3909; BANDEIRANTE GO - 345;; 10,094;  6,693;  8,393;  8,136;;;  8,136;
2934; BANDEIRANTE SP - 345;;  4,271;  0,000;  2,135;  5,372;;;  5,372;
1480; BARBACENA - 345;;  8,632;  5,650;  7,141;  6,884;;;  6,884;
11286; BARREIRAS II - 230;; 10,033; 12,036; 11,035; 10,778;;; 10,778;
286; BARREIRAS - 230;;  9,581; 11,790; 10,685; 10,428;;; 10,428;
1482; BARREIRO - 345;;  9,164;  6,408;  7,786;  7,529;;;  7,529;
846; BARREIRAS - 500;; 11,496; 12,756; 12,126; 11,869;;; 11,869;
6627; BATEIAS - 230;;  6,927;  0,086;  3,507;  5,372;;;  5,372;
3696; BATEIAS 3 - 500;;  7,442;  0,872;  4,157;  5,372;;;  5,372;
6628; BATEIAS - 525;;  7,550;  0,596;  4,073;  5,372;;;  5,372;
2628; BAURU SP - 440;;  7,843;  2,655;  5,249;  5,372;;;  5,372;
1612; BARAO DE COCAIS 3 - 230;;  8,465;  6,352;  7,409;  7,152;;;  7,152;
1485; B.DESPACHO - 500;; 10,263;  7,286;  8,775;  8,518;;;  8,518;
529; B.ESPERANCA - 500;; 11,016; 15,444; 13,230; 12,973;;; 12,973;
26454; BETIM 6 -345;;  9,416;  6,585;  8,000;  7,743;;;  7,743;
7740; BAIXO IGUACU SC - 230;;  6,160;  0,000;  3,080;  5,372;;;  5,372;
7741; BIGUACU--525;;  7,029;  0,000;  3,515;  5,372;;;  5,372;
2638; BOM JARDIM - 440;;  7,174;  2,803;  4,989;  5,372;;;  5,372;
385; B.J.LAPA II - 230;; 11,570; 11,624; 11,597; 11,340;;; 11,340;
585; BJLAPAII - 500;; 11,631; 11,293; 11,462; 11,205;;; 11,205;
285; B.J.LAPA - 230;; 11,570; 11,622; 11,596; 11,339;;; 11,339;
35351; BRASILIA LESTE - 500;; 10,697;  8,305;  9,501;  9,244;;;  9,244;
7734; BLUMENAU - 230;;  6,376;  0,000;  3,188;  5,372;;;  5,372;
7733; BLUMENAU - 525;;  7,016;  0,000;  3,508;  5,372;;;  5,372;
220; BOM NOME - 230;; 11,192; 19,485; 15,339; 15,081;;; 15,081;
243; BONGI - 230;;  7,899; 16,917; 12,408; 12,151;;; 12,151;
2777; BOTUCATU - 230;;  5,826;  0,785;  3,306;  5,372;;;  5,372;
3936; BRASILIA GERAL - 230;;  9,263;  6,809;  8,036;  7,779;;;  7,779;
3920; BRAS. SUL - 230;;  9,672;  7,106;  8,389;  8,132;;;  8,132;
3919; BRAS. SUL -345;; 10,199;  7,652;  8,925;  8,668;;;  8,668;
3300; BRASNORTE - 230;;  9,301;  2,803;  6,052;  5,795;;;  5,795;
1600; BRAUNA - 230;;  9,953;  7,633;  8,793;  8,536;;;  8,536;
205; BROT.MACAUBAS - 230;; 11,981; 13,470; 12,726; 12,469;;; 12,469;
376; BRUMADO II - 230;;  8,690; 10,002;  9,346;  9,089;;;  9,089;
12318; BURITIRAMA - 500;; 11,654; 14,438; 13,046; 12,789;;; 12,789;
38913; HELIO VALGAS MG - 345;; 11,935;  8,750; 10,343; 10,086;;; 10,086;
9266; CRUZ ALTA 2 - 230;;  7,446;  0,000;  3,723;  5,372;;;  5,372;
4481; CANA BRAVA - 230;; 12,248; 10,226; 11,237; 10,980;;; 10,980;
6615; C.COMPRIDO - 230;;  6,726;  0,000;  3,363;  5,372;;;  5,372;
270; CIC.DANTAS - 230;;  9,885; 17,894; 13,890; 13,633;;; 13,633;
11461; CAMPO FORMOSO - 230;; 11,418; 15,988; 13,703; 13,446;;; 13,446;
9020; C.INDUSTRIAL - 230;;  6,984;  0,000;  3,492;  5,372;;;  5,372;
236; COELHO NETO - 230;;  8,179; 14,249; 11,214; 10,957;;; 10,957;
11253; CURRAIS NOVOS II - 230;; 11,073; 20,740; 15,907; 15,650;;; 15,650;
3720; C. PAULISTA - 500;;  9,851;  5,861;  7,856;  7,599;;;  7,599;
38871; CACU - 230;; 12,266;  6,502;  9,384;  9,127;;;  9,127;
2649; CABREUVA - 230;;  5,544;  1,302;  3,423;  5,372;;;  5,372;
2647; CABREUVA - 440;;  6,616;  2,201;  4,409;  5,372;;;  5,372;
58008; CAETES II - 230;; 10,084; 18,235; 14,160; 13,903;;; 13,903;
51457; CAMAQUA 3 - 230;;  7,253;  0,000;  3,627;  5,372;;;  5,372;
574; CAMACARI - 500;;  9,196; 14,093; 11,644; 11,387;;; 11,387;
284; CAMACARI IV - 230;;  8,397; 13,639; 11,018; 10,761;;; 10,761;
584; CAMACARI IV - 500;;  9,160; 14,040; 11,600; 11,343;;; 11,343;
9030; CAMAQUA - 230;;  7,103;  0,000;  3,552;  5,372;;;  5,372;
3701; CAMPINAS - 345;;  6,832;  2,256;  4,544;  5,372;;;  5,372;
3700; CAMPINAS - 500;;  8,179;  3,275;  5,727;  5,470;;;  5,470;
38951; CAMPOS 2 - 500;;  9,865;  7,202;  8,534;  8,277;;;  8,277;
9015; CAMPO BOM - 230;;  6,246;  0,000;  3,123;  5,372;;;  5,372;
3785; CAMPOS - 345;; 10,074;  6,880;  8,477;  8,220;;;  8,220;
38873; CANARANA CMT - 230;;  6,629;  4,467;  5,548;  5,372;;;  5,372;
9283; CANDELARIA 2 - 230;;  7,886;  0,000;  3,943;  5,372;;;  5,372;
9040; CANDIOTA 2 - 230;;  7,786;  0,000;  3,893;  5,372;;;  5,372;
7753; CANDIOTA 2 - 525;;  7,754;  0,000;  3,877;  5,372;;;  5,372;
50209; CANDIOTA - 230;;  7,787;  0,000;  3,893;  5,372;;;  5,372;
9045; CANOA 1 - 230;;  6,761;  0,000;  3,380;  5,372;;;  5,372;
9050; CANOAS 2 - 230;;  7,581;  0,000;  3,791;  5,372;;;  5,372;
7778; CANOINHA - 230;;  5,496;  0,000;  2,748;  5,372;;;  5,372;
50215; CAPIVARI-230;;  7,254;  0,000;  3,627;  5,372;;;  5,372;
50212; CAPIVARI-525;;  7,390;  0,000;  3,695;  5,372;;;  5,372;
2622; CAPIVARA - 440;;  9,132;  3,031;  6,082;  5,825;;;  5,825;
1202; CARAJAS GO - 230;;  9,138;  4,898;  7,018;  6,761;;;  6,761;
916; CARAJAS PA - 230;; 10,135; 13,678; 11,906; 11,649;;; 11,649;
2966; CARBOCLORO - 230;;  4,775;  0,212;  2,493;  5,372;;;  5,372;
6624; CASCAVEL - 230;;  7,643;  0,623;  4,133;  5,372;;;  5,372;
44900; CASCAVEL NORT - 230;;  7,548;  0,555;  4,051;  5,372;;;  5,372;
6625; CASCAVEL OESTE - 230;;  7,877;  0,816;  4,347;  5,372;;;  5,372;
6626; CASCAVOE - 525;;  8,247;  1,290;  4,768;  5,372;;;  5,372;
6762; CAMPO ASSOBIO - 230;;  6,364;  0,000;  3,182;  5,372;;;  5,372;
235; CASTANHA - 230;;  8,251; 12,705; 10,478; 10,221;;; 10,221;
51704; CASTERTECH - 230;;  6,657;  0,000;  3,328;  5,372;;;  5,372;
7023; CASTRO NORTE - 230;;  6,363;  0,000;  3,181;  5,372;;;  5,372;
272; CATU - 230;;  7,833; 13,283; 10,558; 10,301;;; 10,301;
218; CAIUPE - 230;;  9,348; 18,131; 13,739; 13,482;;; 13,482;
9062; CAXIAS SUL 2 - 230;;  6,648;  0,000;  3,324;  5,372;;;  5,372;
9065; CAXIAS 5 -230;;  6,724;  0,000;  3,362;  5,372;;;  5,372;
9066; CAXIAS 6 - 230;;  6,676;  0,000;  3,338;  5,372;;;  5,372;
46948; CAXIAS - 230;;  7,030;  0,000;  3,515;  5,372;;;  5,372;
46947; CAXIAS NORTE - 525;;  7,425;  0,000;  3,713;  5,372;;;  5,372;
9060; CAXIAS NORTE - 230;;  6,832;  0,000;  3,416;  5,372;;;  5,372;
7751; CAXIAS RS - 525;;  7,321;  0,000;  3,661;  5,372;;;  5,372;
4532; CBA - 230;;  5,544;  1,302;  3,423;  5,372;;;  5,372;
2672; CBA TERM - 440;;  5,965;  1,451;  3,708;  5,372;;;  5,372;
7299; CBA LESTE - 230;;  7,003;  0,007;  3,505;  5,372;;;  5,372;
7300; CBA LESTE - 525;;  7,436;  0,426;  3,931;  5,372;;;  5,372;
44655; CURITIBA NORT - 230;;  6,572;  0,000;  3,286;  5,372;;;  5,372;
2802; CAPAO BONITO - 230;;  3,697;  0,000;  1,848;  5,372;;;  5,372;
1153; CACHOEIRA DOURADA - 230;; 11,498;  6,299;  8,899;  8,642;;;  8,642;
2941; TR.CENTRO 1 - 230;;  3,518;  0,000;  1,759;  5,372;;;  5,372;
2942; TR.CENTRO 2 - 230;;  3,518;  0,000;  1,759;  5,372;;;  5,372;
2943; CENTRO - 230;;  3,206;  0,000;  1,603;  5,372;;;  5,372;
44906; CERQUILHO 3 - 230;;  4,710;  0,000;  2,355;  5,372;;;  5,372;
39850; CAMPO GRANDE II - 230;;  8,769;  3,008;  5,888;  5,631;;;  5,631;
11244; CAMPINA GRANDE II - 230;; 10,100; 19,027; 14,563; 14,306;;; 14,306;
12244; CAMPINA GRANDE III - 230;; 10,293; 19,187; 14,740; 14,483;;; 14,483;
544; CAMPINA GRANDE III - 500;; 10,700; 19,138; 14,919; 14,662;;; 14,662;
58208; CHAPADA 1 PI - 230;; 11,583; 17,638; 14,611; 14,354;;; 14,354;
58217; CHAPADA 2 PI - 230;; 11,499; 17,961; 14,730; 14,473;;; 14,473;
58227; CHAPADA 3 PI - 230;; 11,645; 18,370; 15,007; 14,750;;; 14,750;
13020; CHAPADINHA II - 230;;  8,525; 14,470; 11,497; 11,240;;; 11,240;
38853; CHAPADAO - 230;; 10,017;  4,310;  7,164;  6,907;;;  6,907;
7882; CHARQUEADAS 3 - 230;;  7,167;  0,000;  3,583;  5,372;;;  5,372;
7780; CHARQUEADAS (SE) - 230;;  6,975;  0,000;  3,488;  5,372;;;  5,372;
2773; CHAVANTES - 230;;  6,916;  0,950;  3,933;  5,372;;;  5,372;
6617; C.IND. CURITIBA - 230;;  6,628;  0,000;  3,314;  5,372;;;  5,372;
4582; CLAUDIA - 500;; 12,028;  5,897;  8,962;  8,705;;;  8,705;
274; CAMACARI II - 230;;  8,422; 13,598; 11,010; 10,753;;; 10,753;
7776; C.MOURAO - 230;;  7,838;  0,316;  4,077;  5,372;;;  5,372;
11246; CEAMIRIM - 230;; 10,923; 20,035; 15,479; 15,222;;; 15,222;
11546; CEA.MIRIM II - 500;; 11,095; 19,784; 15,440; 15,183;;; 15,183;
12201; CURRAL NOVO PIAUI - 230;; 11,739; 17,388; 14,563; 14,306;;; 14,306;
12501; CURRAL NOVO PIAUI - 500;; 11,642; 16,970; 14,306; 14,049;;; 14,049;
7723; CAMPOS NOVOS - 230;;  8,549;  0,314;  4,431;  5,372;;;  5,372;
7736; CAMPOS NOVOS - 525;;  7,862;  0,186;  4,024;  5,372;;;  5,372;
40663; CODEMI GO- 230;; 12,081;  9,994; 11,038; 10,781;;; 10,781;
5201; C.PORTO VELHO - 500;; 19,691; 10,330; 15,010; 14,753;;; 14,753;
7850; CERRO CHATO - 230;;  7,669;  0,000;  3,834;  5,372;;;  5,372;
5199; C.PORTO VELHO - 230;;  3,688;  0,000;  1,844;  5,372;;;  5,372;
41172; COLIDER - 500;; 12,028;  5,897;  8,962;  8,705;;;  8,705;
591; COLINAS - 500;; 11,124; 14,014; 12,569; 12,312;;; 12,312;
4320; COMPERJ - 345;;  9,030;  5,895;  7,462;  7,205;;;  7,205;
7917; ENSEAD-SC2 - 30;;  5,867;  0,000;  2,934;  5,372;;;  5,372;
233; SE COREMAS II - 230;; 10,271; 19,037; 14,654; 14,397;;; 14,397;
3908; CORUMBA - 345;; 10,541;  7,001;  8,771;  8,514;;;  8,514;
38851; CORUMBA 2 - 30;;  7,849;  2,413;  5,131;  5,372;;;  5,372;
279; COTEGIPE - 230;;  8,119; 13,384; 10,752; 10,495;;; 10,495;
11033; COTEMINAS - 230;;  9,910; 18,815; 14,363; 14,106;;; 14,106;
3276; COXIPO - 230;;  7,849;  2,381;  5,115;  5,372;;;  5,372;
1616; CONSE. PENA - 230;; 10,132;  7,871;  9,001;  8,744;;;  8,744;
11217; CRATO 2 - 230;; 10,858; 18,159; 14,509; 14,252;;; 14,252;
10405; CRISTIANO ROCHA - 230;;  7,651; 12,338;  9,995;  9,738;;;  9,738;
