GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
AAA BARRA_UFV,0,0,0,0,9.021,9.447,9.402,9.7,9.617,9.631,9.611,9.591000000000001,9.571000000000002,9.551000000000002,9.531000000000002,9.511000000000003,9.491000000000003,9.471000000000004
EOL ABIL,0,10.528,10.863,10.503,10.875,11.123,11.117,11.496,11.201,11.217,11.197000000000001,11.177000000000001,11.157000000000002,11.137000000000002,11.117000000000003,11.097000000000003,11.077000000000004,11.057000000000004
EOL ACACIA,0,10.456,10.793,10.431,10.798,11.036,11.029,11.404,11.107,11.123,11.103,11.083,11.063,11.043000000000001,11.023000000000001,11.003000000000002,10.983000000000002,10.963000000000003
EOL ACARI (RIACHAO I),0,10.042,10.812,11.742,12.873,14.498,14.586,15.087,14.922,14.944,14.924000000000001,14.904000000000002,14.884000000000002,14.864000000000003,14.844000000000003,14.824000000000003,14.804000000000004,14.784000000000004
EOL ACAUA,0,10.528,10.863,10.503,10.875,11.123,11.117,11.496,11.201,11.217,11.197000000000001,11.177000000000001,11.157000000000002,11.137000000000002,11.117000000000003,11.097000000000003,11.077000000000004,11.057000000000004
EOL ACAUA I,0,10.986,11.816,12.935,14.075,15.364,15.469,15.929,15.776,15.799,15.779,15.759,15.739,15.719000000000001,15.699000000000002,15.679000000000002,15.659000000000002,15.639000000000003
EOL ACAUA II,0,10.986,11.816,12.935,14.075,15.364,15.469,15.929,15.776,15.799,15.779,15.759,15.739,15.719000000000001,15.699000000000002,15.679000000000002,15.659000000000002,15.639000000000003
EOL ACAUA III,0,10.986,11.816,12.935,14.075,15.364,15.469,15.929,15.776,15.799,15.779,15.759,15.739,15.719000000000001,15.699000000000002,15.679000000000002,15.659000000000002,15.639000000000003
EOL AFONSO BEZERRA I,0,10.878,11.646,12.723,13.828,15.991,16.108,16.554,16.408,16.431,16.411,16.391000000000002,16.371000000000002,16.351000000000003,16.331000000000003,16.311000000000003,16.291000000000004,16.271000000000004
EOL AFONSO BEZERRA II,0,10.878,11.646,12.723,13.828,15.991,16.108,16.554,16.408,16.431,16.411,16.391000000000002,16.371000000000002,16.351000000000003,16.331000000000003,16.311000000000003,16.291000000000004,16.271000000000004
EOL AFONSO BEZERRA III,0,10.878,11.646,12.723,13.828,15.991,16.108,16.554,16.408,16.431,16.411,16.391000000000002,16.371000000000002,16.351000000000003,16.331000000000003,16.311000000000003,16.291000000000004,16.271000000000004
EOL AFONSO BEZERRA IV,0,10.878,11.646,12.723,13.828,15.991,16.108,16.554,16.408,16.431,16.411,16.391000000000002,16.371000000000002,16.351000000000003,16.331000000000003,16.311000000000003,16.291000000000004,16.271000000000004
EOL ALBATROZ,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ALBUQUERQUE (RIACHAO II),0,10.042,10.812,11.742,12.873,14.498,14.586,15.087,14.922,14.944,14.924000000000001,14.904000000000002,14.884000000000002,14.864000000000003,14.844000000000003,14.824000000000003,14.804000000000004,14.784000000000004
EOL ALEGRIA I(NEW ENERGY),0,10.878,11.646,12.723,13.828,15.85,15.963,16.402,16.254,16.278,16.258,16.238,16.218,16.198,16.178,16.158,16.138,16.118000000000002
EOL ALEGRIA II(NEW ENERGY),0,10.878,11.646,12.723,13.828,15.85,15.963,16.402,16.254,16.278,16.258,16.238,16.218,16.198,16.178,16.158,16.138,16.118000000000002
EOL ALTO DOS VENTOS II A,0,0,0,0,0,15.013,15.112,15.651,15.495,15.517,15.497,15.477,15.457,15.437000000000001,15.417000000000002,15.397000000000002,15.377000000000002,15.357000000000003
EOL ALTO DOS VENTOS II B,0,0,0,0,0,15.013,15.112,15.651,15.495,15.517,15.497,15.477,15.457,15.437000000000001,15.417000000000002,15.397000000000002,15.377000000000002,15.357000000000003
EOL ALVORADA,0,10.554,10.886,10.546,10.926,11.176,11.171,11.553,11.261,11.277,11.257,11.237,11.217,11.197000000000001,11.177000000000001,11.157000000000002,11.137000000000002,11.117000000000003
EOL AMESCLA,0,10.165,10.516,10.112,10.451,10.964,10.956,11.327,11.027,11.043,11.023,11.003,10.983,10.963000000000001,10.943000000000001,10.923000000000002,10.903000000000002,10.883000000000003
EOL AMETISTA,0,10.554,10.886,10.546,10.926,11.176,11.171,11.553,11.261,11.277,11.257,11.237,11.217,11.197000000000001,11.177000000000001,11.157000000000002,11.137000000000002,11.117000000000003
EOL AMPARO,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ANEMOI (RIACHAO IV),0,10.042,10.812,11.742,12.873,14.498,14.586,15.087,14.922,14.944,14.924000000000001,14.904000000000002,14.884000000000002,14.864000000000003,14.844000000000003,14.824000000000003,14.804000000000004,14.784000000000004
EOL ANEMUS WIND 1,0,10.97,11.795,12.917,14.066,15.364,15.469,15.929,15.776,15.799,15.779,15.759,15.739,15.719000000000001,15.699000000000002,15.679000000000002,15.659000000000002,15.639000000000003
EOL ANEMUS WIND 2,0,10.97,11.795,12.917,14.066,15.364,15.469,15.929,15.776,15.799,15.779,15.759,15.739,15.719000000000001,15.699000000000002,15.679000000000002,15.659000000000002,15.639000000000003
EOL ANEMUS WIND 3,0,10.97,11.795,12.917,14.066,15.364,15.469,15.929,15.776,15.799,15.779,15.759,15.739,15.719000000000001,15.699000000000002,15.679000000000002,15.659000000000002,15.639000000000003
EOL ANGELIM,0,10.165,10.516,10.112,10.451,10.92,10.911,11.28,10.98,10.996,10.976,10.956000000000001,10.936000000000002,10.916000000000002,10.896000000000003,10.876000000000003,10.856000000000003,10.836000000000004
