BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
2338; DOIS CORREGOS - 138;    8,377;    8,409;;
543; TRES IRMAOS - 138;    7,106;    6,935;;
542; TRES IRMAOS - 440;    7,025;    6,838;;
1903; TRES LAGOAS 1 - 138;    7,167;    7,013;;
8344; ABAIARA - 230;    7,198;    6,901;;
6203; ABAIXADORA - 69;    7,191;    6,874;;
9739; ABDON BATISTA - 230;    7,330;    7,934;;
9738; ABDON BATISTA - 525;    7,580;    8,177;;
6931; ABUNA - 138;    6,436;    5,468;;
6930; ABUNA - 230;    6,436;    5,468;;
6700; ACAILANDIA - 500;    6,855;    6,447;;
5923; ACARAT CE - 230;    7,008;    6,596;;
5318; ACARAT-CE500;    7,014;    6,602;;
5486; ACARAU II – 230;    7,004;    6,591;;
1596; ACESITA - 230;    8,978;    8,876;;
5463; ACU II - 69;    6,606;    6,140;;
5468; ACU II - 138;    6,682;    6,231;;
5461; ACU II - 230;    6,606;    6,140;;
5351; ACU III - 230;    6,577;    6,105;;
5350; ACU III - 500;    6,660;    6,196;;
173; ADRIANOPOLIS - 138;    8,350;    8,192;;
140; ADRIANOPOLIS - 345;    8,370;    8,217;;
106; ADRIANOPOLIS - 500;    8,194;    8,068;;
2974; AGUAS LINDAS - 69;    7,433;    7,034;;
2987; AG.LINDAS230;    7,433;    7,034;;
5106; ANGELIM - 13,8;    7,680;    7,362;;
3801; AGUAI - 138;    8,306;    8,281;;
452; AGUA AZUL - 138;    8,634;    8,659;;
453; AGUA AZUL - 440;    8,624;    8,647;;
4043; AIMORES - 230;    7,743;    7,429;;
3934; AJINOMOTO BIO - 138;    9,224;    9,431;;
5796; ALAGOINHA 2 - 69;    8,850;    8,976;;
6000; ALAGOAS 2 - 230;    8,850;    8,976;;
1185; ALEGRETE2 - 69;    7,252;    8,146;;
1186; ALEGRETE2 - 230;    7,261;    8,161;;
8163; ALEX - 230;    6,614;    6,176;;
6523; ALTAMIRA - 69;    7,939;    7,671;;
6521; ALTAMIRA - 230;    7,939;    7,671;;
668; ALTA PAULISTA - 400;    7,287;    7,173;;
2336; AMPARO - 138;    8,463;    8,471;;
1079; ANASTACIO - 138;    7,982;    8,027;;
1078; ANASTACIO - 230;    7,973;    8,014;;
3840; AVANTI N.CORT - 138;    7,162;    7,006;;
3882; ANDRADINA - 138;    7,170;    7,013;;
44594; ANEMUS - 230;    6,560;    6,085;;
5100; ANGELIM - 500;    7,499;    7,176;;
5103; ANGELIM - 69;    7,680;    7,362;;
5101; ANGELIM - 230;    7,680;    7,362;;
185; ANGRA 1 - 138;    8,097;    7,957;;
105; ANGRA - 500;    7,996;    7,848;;
1773; ANGRA AMPLA - 138;    8,148;    8,011;;
762; ANHANGUERA - 69;    7,633;    7,451;;
761; ANHANGUERA - 138;    7,632;    7,449;;
760; ANHANGUERA GO - 230;    7,633;    7,451;;
444; ANHANGUERA - 88;    8,793;    8,842;;
431; ANHANGUERA SP - 230;    9,253;    9,408;;
439; ANHANGUERA - 345;    8,793;    8,842;;
459; APARECIDA - 88;    8,361;    8,325;;
458; APARECIDA - 230;    8,361;    8,324;;
879; APUCARANA - 138;    8,243;    8,565;;
878; APUCARANA - 230;    8,248;    8,570;;
5383; AQUIRAZ II - 69;    7,504;    7,190;;
5381; AQUIRAZ - 230;    7,504;    7,190;;
2296; ARACATUBA - 138;    7,549;    7,443;;
4081; ARACUAI 2 - 138;    5,849;    5,277;;
4070; ARACUAI - 230;    5,875;    5,305;;
6083; ARAPIRACA III - 69;    9,811;    9,830;;
6081; ARAPIRACA III - 230;    9,811;    9,830;;
3802; ARARAS 1 - 138;    8,259;    8,248;;
3803; ARARAS 2 - 138;    8,269;    8,259;;
560; ARARAQUARA CTP - 138;    7,931;    7,874;;
559; ARARAQUARA - 440;    7,922;    7,870;;
101; ARARAQUARA - 500;    7,472;    7,371;;
99; ARARAQUARA - 525;    7,472;    7,371;;
589; ARARAS SP - 440;    8,323;    8,321;;
7058; ARARAQUARA 2 - 440;    7,639;    7,548;;
7057; ARARAQUARA 2 - 500;    7,463;    7,353;;
7411; ARAXA 3 - 138;    7,150;    6,854;;
7410; ARAXA 3 - 345;    7,113;    6,812;;
5093; ARCOVERDE II - 69;    7,618;    7,275;;
5092; ARCOVERDE II - 230;    7,618;    7,275;;
9336; AREIA - 13,8;    7,897;    8,388;;
823; AREIA - 138;    7,898;    8,390;;
934; AREIA - 230;    7,890;    8,377;;
933; AREIA - 525;    7,461;    7,910;;
4349; ARINOS 2 - 500;    5,959;    5,403;;
6881; ARIQUEMES - 69;    6,628;    5,837;;
