CONCESSIONÁRIA;Cód. ANEEL;Cód. ONS;BARRA;NOME;PONTO DE CONEXÃO;TUST RB Ponta;TUST RB Fora Ponta;TUST FR Ponta;TUST FR Fora Ponta;MUST RB Ponta;MUST RB Fora Ponta
AMAZONAS ENERGIA;7019;60;8512;J.TEIX-AM138; JORG.TEIXEIRA - 138;  8,289;  8,091;       ;       ;262,1;273,0
AMAZONAS ENERGIA;7019;60;8751;LECHUG-AM138; LECHUGA - 138;  8,171;  7,960;       ;       ;193,9;202,0
AMAZONAS ENERGIA;7019;60;8523;MANAU2-AM069; MANAUS - 69;  8,458;  8,300;       ;       ;340,8;355,0
AMAZONAS ENERGIA;7019;60;8532;MAUA 3-AM138; MAUA III - 138;  8,335;  8,141;       ;       ;520,3;542,0
AMAZONAS ENERGIA;7019;60;8544;P.FIGU-AM013; PR.FIGUEIREDO - 13,8;  8,003;  7,773;       ;       ;14,50;15,10
AMAZONAS ENERGIA;7019;60;8332;PARINTIN-138; PARINTINS - 138;  7,339;  7,004;       ;       ;34,20;32,50
AMAZONAS ENERGIA;7019;60;8451;SILVES-AM138; SILVES - 138;  7,323;  6,994;       ;       ;46,90;43,00
CEA;31;61;8271;LARANJ-AP069; LARANJAL - 69;  6,747;  6,343;       ;       ; 2,39; 2,40
CEA;31;61;8281;MACAP1-AP069; MACAPA - 69;  6,887;  6,491;       ;       ;190,4;190,4
CEEE-D;5707;23;1331;ATLAN2-RS069; ATLANTIDA 2 - 69;  8,254;  9,069;       ;       ;80,00;80,00
CEEE-D;5707;23;1189;BAGE2--RS069; BAGE2 - 69;  7,476;  8,218;       ;       ;60,00;60,00
CEEE-D;5707;23;9570;CAMAQ3-RS069; CAMAQUA 3 - 69;  7,767;  8,517;       ;       ;18,00;20,00
CEEE-D;5707;23;1195;CAMAQU-RS069; CAMAQUA - 69;  7,770;  8,522;       ;       ;60,00;70,00
CEEE-D;5707;23;1038;CAPIVA-RS138; CAPIVARI SUL - 138;  8,077;  8,847;       ;       ; 6,00;20,00
CEEE-D;5707;23;1203;CHARQU-RS069; CHARQUEADAS - 69;  7,950;  8,702;       ;       ;23,20;23,20
CEEE-D;5707;23;9241;ELDORA-RS023; ELDORADO SUL - 23;  8,052;  8,827;       ;       ;21,00;23,00
CEEE-D;5707;23;1209;GRAVA2-RS069; GRAVATAI2 - 69;  8,086;  8,871;       ;       ;97,50;106,6
CEEE-D;5707;23;1197;GUAIB2-RS069; GUAIBA 2 - 69;  7,842;  8,577;       ;       ;45,00;45,00
CEEE-D;5707;23;1232;OSORI2-RS069; OSORIO 2 - 69;  7,816;  8,591;       ;       ;80,00;80,00
CEEE-D;5707;23;9247;PAL12--RS069; JARDIM BOTANICO - 69;  8,502;  9,363;       ;       ;60,00;60,00
CEEE-D;5707;23;9246;PAL13A-RS013; PORTOALEGRE13 - 13,8;  8,611;  9,454;       ;       ;55,00;55,00
CEEE-D;5707;23;9245;PALE10-RS013; PORTOALEGRE10 - 13,8;  8,570;  9,447;       ;       ;30,00;30,00
CEEE-D;5707;23;9234;PALE1A-RS069; PORTO ALEGRE 1 - 69;  8,331;  9,167;       ;       ;50,00;50,00
CEEE-D;5707;23;9243;PALE4A-RS013; PORTOALEGRE 4 - 13,8;  8,451;  9,312;       ;       ;80,00;80,00
CEEE-D;5707;23;9244;PALEG6-RS013; PORTOALEGRE6 - 13,8;  8,417;  9,251;       ;       ;30,00;30,00
CEEE-D;5707;23;1352;PALEG9-RS013; PORTO ALEGRE9 - 13,8;  8,187;  8,998;       ;       ;25,00;30,00
CEEE-D;5707;23;1269;PALG10-RS069; PORTOALEGRE10 - 69;  8,511;  9,373;       ;       ;60,00;60,00
CEEE-D;5707;23;1262;PALGR6-RS069; PORTOALEGRE6 - 69;  8,480;  9,334;       ;       ;65,00;70,00
CEEE-D;5707;23;1271;PALGR8-RS069; PORTO ALEGRE8 - 69;  8,278;  9,102;       ;       ;60,00;60,00
CEEE-D;5707;23;1266;PALGR9-RS069; PORTO ALEGRE9 - 69;  8,256;  9,079;       ;       ; 9,70;10,20
CEEE-D;5707;23;1240;PELOT3-RS138; PELOTAS3 - 138;  7,571;  8,317;       ;       ;130,0;140,0
CEEE-D;5707;23;1238;PMEDIC-RS138; P.MEDICI - 138;  7,155;  7,858;       ;       ;30,00;40,00
CEEE-D;5707;23;1245;QUINTA-RS069; QUINTA - 69;  7,531;  8,249;       ;       ;80,00;80,00
CEEE-D;5707;23;1247;QUINTA-RS138; QUINTA - 138;  7,539;  8,263;       ;       ;30,00;35,00
CEEE-D;5707;23;9303;RESTIN-RS069; RESTINGA - 69;  8,648;  9,488;       ;       ;80,00;80,00
CEEE-D;5707;23;9559;SJERUT-RS069; N.S. JERONIMO - 69;  7,950;  8,702;       ;       ; 5,00; 5,00
CEEE-D;5707;23;9823;SVPAL2-RS138; S V PALMAR 2 - 138;  7,221;  7,895;       ;       ;15,00;40,00
CEEE-D;5707;23;9694;TORRE2-RS069; TORRES 2- 69;  8,285;  9,108;       ;       ;20,00;22,00
CEEE-D;5707;23;9264;VIAMA3-RS069; VIAMAO 3 - 69;  8,306;  9,113;       ;       ;80,00;80,00
CELESC-DIS;5697;25;948;BIGUAC-SC138; BIGUACU - 138;  8,198;  8,919;       ;       ;425,0;487,0
CELESC-DIS;5697;25;940;BLUMEN-SC138; BLUMENAU - 138;  8,272;  8,968;       ;       ;309,0;381,0
CELESC-DIS;5697;25;2725;CANOIN-SC138; CANOINHAS ESU - 138;  8,777;  9,478;       ;       ;250,0;280,0
CELESC-DIS;5697;25;958;CNOVOE-SC138; C.NOVOS - 138;  7,261;  7,868;       ;       ;268,0;290,0
CELESC-DIS;5697;25;2706;DESTER-SC138; DESTERRO - 138;  8,545;  9,343;       ;       ;123,0;140,0
CELESC-DIS;5697;25;2749;FORQUI-SC069; FORQUILHINHA - 69;  8,150;  8,951;       ;       ;56,00;72,00
CELESC-DIS;5697;25;9534;GASPA2-SC138; GASPAR-2-138;  8,385;  9,248;       ;       ;301,0;379,0
CELESC-DIS;5697;25;2780;INDAIA-SC138; INDAIAL - 138;  8,373;  9,223;       ;       ;147,0;190,0
CELESC-DIS;5697;25;10071;ITAJA2-SC138; ITAJAI 2 - 138;  8,272;  8,974;       ;       ;195,0;230,0
CELESC-DIS;5697;25;2775;ITAJFZ-SC138; ITAJAI - 138;  8,260;  8,965;       ;       ;375,0;321,0
CELESC-DIS;5697;25;2783;JARAGU-SC138; JARAGUA DO SUL - 138;  8,382;  9,092;       ;       ;133,0;179,0
