Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
30951; AGUA AZUL - 440;;  6,467;;  6,467;  6,448;;;  6,448;
1206; AG.LINDAS230;;  9,457;;  9,457;  9,439;;;  9,439;
251; ACU II - 230;; 11,447;; 11,447; 11,428;;; 11,428;
11265; ACU III - 230;; 11,266;; 11,266; 11,248;;; 11,248;
11565; ACU III - 500;; 11,092;; 11,092; 11,074;;; 11,074;
7747; ABDON BATISTA - 230;;  8,273;;  8,273;  8,255;;;  8,255;
7744; ABDON BATISTA - 525;;  7,694;;  7,694;  7,676;;;  7,676;
9537; ABUNA - 230;;  3,275;;  3,275;  5,180;;;  5,180;
559; ACAILANDIA - 500;; 10,533;; 10,533; 10,515;;; 10,515;
55412; ACARAU II – 230;; 10,239;; 10,239; 10,221;;; 10,221;
12907; ACARAT CE - 230;; 10,243;; 10,243; 10,225;;; 10,225;
12902; ACARAT-CE500;; 10,265;; 10,265; 10,246;;; 10,246;
4475; ACESITA - 230;;  7,887;;  7,887;  7,869;;;  7,869;
3729; ADRIANOPOLIS - 345;;  8,333;;  8,333;  8,314;;;  8,314;
3728; ADRIANOPOLIS - 500;;  8,582;;  8,582;  8,564;;;  8,564;
1637; AIMORES - 230;;  9,969;;  9,969;  9,951;;;  9,951;
11760; ALAGOAS 2 - 230;;  7,889;;  7,889;  7,870;;;  7,870;
9002; ALEGRETE2 - 230;;  7,413;;  7,413;  7,395;;;  7,395;
56095; ALEX - 230;; 11,320;; 11,320; 11,301;;; 11,301;
362; ALTAMIRA - 230;;  9,622;;  9,622;  9,604;;;  9,604;
7758; ANASTACIO - 230;;  7,711;;  7,711;  7,693;;;  7,693;
2770; ANDIRA LESTE - 230;;  7,134;;  7,134;  7,115;;;  7,115;
540; ANGELIM - 500;;  9,751;;  9,751;  9,733;;;  9,733;
240; ANGELIM - 230;;  9,613;;  9,613;  9,595;;;  9,595;
3745; ANGRA - 500;;  9,361;;  9,361;  9,342;;;  9,342;
1172; ANHANGUERA GO - 230;;  8,989;;  8,989;  8,971;;;  8,971;
2901; ANHANGUERA SP - 230;;  3,848;;  3,848;  5,180;;;  5,180;
2900; ANHANGUERA - 345;;  4,195;;  4,195;  5,180;;;  5,180;
2957; APARECIDA - 230;;  7,980;;  7,980;  7,962;;;  7,962;
2758; ALTA PAULISTA - 400;;  8,781;;  8,781;  8,763;;;  8,763;
6601; APUCARANA - 230;;  6,839;;  6,839;  6,821;;;  6,821;
58771; LAGOA BARRO - 230;; 11,150;; 11,150; 11,132;;; 11,132;
