BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    6,907
1206; AG.LINDAS230;   10,049
251; ACU II - 230;   11,781
11265; ACU III - 230;   11,578
11565; ACU III - 500;   11,444
7747; ABDON BATISTA - 230;    8,158
7744; ABDON BATISTA - 525;    7,627
9537; ABUNA - 230;    5,362
559; ACAILANDIA - 500;   10,871
55412; ACARAU II – 230;   10,488
12907; ACARAT CE - 230;   10,493
12902; ACARAT-CE500;   10,521
4475; ACESITA - 230;    8,182
3729; ADRIANOPOLIS - 345;    8,865
3728; ADRIANOPOLIS - 500;    9,228
1637; AIMORES - 230;   10,345
11760; ALAGOAS 2 - 230;    8,012
9002; ALEGRETE2 - 230;    7,047
56095; ALEX - 230;   11,645
362; ALTAMIRA - 230;    9,847
7758; ANASTACIO - 230;    7,913
2770; ANDIRA LESTE - 230;    7,418
540; ANGELIM - 500;   10,033
240; ANGELIM - 230;    9,887
3745; ANGRA - 500;   10,053
1172; ANHANGUERA GO - 230;    9,154
2901; ANHANGUERA SP - 230;    5,362
2900; ANHANGUERA - 345;    5,362
2957; APARECIDA - 230;    8,429
2758; ALTA PAULISTA - 400;    9,344
6601; APUCARANA - 230;    6,965
58771; LAGOA BARRO - 230;   11,466
11219; AQUIRAZ - 230;    9,439
1522; ARACUAI - 230;   12,334
11242; ARAPIRACA III - 230;    6,236
5203; ARARAQUARA 2 - 440;    8,944
5202; ARARAQUARA 2 - 500;    9,452
2630; ARARAQUARA - 440;    8,461
3852; ARARAQUARA - 500;    9,212
2673; ARARAS SP - 440;    7,497
38906; ARAXA 3 - 345;   10,324
12203; ARCOVERDE II - 230;   10,062
7749; AREIA - 230;    7,802
7748; AREIA - 525;    7,979
39813; ARINOS 2 - 500;   11,746
9520; ARIQUEMES - 230;    5,362
302; MOXOTO - 230;   11,191
2624; ASSIS - 440;    8,613
4282; ASSIS - 525;    8,338
2626; ASSIS 2 - 230;    8,218
2677; ATIBAIA 2 - 345;    5,955
7923; ATLANTIDA 2 - 230;    6,801
2786; AVARE - 230;    5,530
2617; AGUA VERMELHA - 500;   10,257
2618; AGUA VERMELHA - 440;   10,126
3947; BARRO ALTO - 230;   11,945
3605; BARRO BRANCO - 345;    8,953
