NÚMERO;NOME;TIPO;MUSTg;TUSTg;MUSTc-P;TUSTcP;MUSTc-FP;TUSTc-FP;EUSTg;EUSTc-P;EUSTc-FP;SM
;;; (MW); (R$/kW.mês); (MW); (R$/kW.mês); (MW); (R$/kW.mês); (1000R$/ano); (1000R$/ano); (1000R$/ano)
30251;#1ABL--SP138; ;;7,487;;16,357;;;;;;2
30256;#1AIRL-SP138; ;;7,007;;16,836;;;;;;2
30222;#1ASCH-SP138; ;;7,421;;16,423;;;;;;2
30244;#1ASCP-SP138; ;;7,007;;16,837;;;;;;2
30219;#1ASCS-SP138; ;;7,464;;16,379;;;;;;2
30143;#1BRAS-SP138; ;;7,007;;16,836;;;;;;2
2530;#1COSM-SP138; ;;7,487;;16,357;;;;;;2
30208;#1CRIS-SP138; ;;7,221;;16,622;;;;;;2
30214;#1ITAP-SP138; ;;7,221;;16,622;;;;;;2
30278;#1LIND-SP138; ;;7,221;;16,622;;;;;;2
30260;#1ORIO-SP138; ;;7,007;;16,836;;;;;;2
30265;#1PAU3-SP138; ;;7,007;;16,837;;;;;;2
30286;#1PIR2-SP138; ;;7,559;;16,284;;;;;;2
30269;#1PLAS-SP138; ;;7,007;;16,836;;;;;;2
30276;#1POLY-SP138; ;;7,487;;16,357;;;;;;2
30216;#1PRAD-SP138; ;;7,221;;16,622;;;;;;2
2391;#1REPL-SP138; ;;7,007;;16,836;;;;;;2
30254;#1RHOD-SP138; ;;7,007;;16,836;;;;;;2
30274;#1SANT-SP138; ;;7,487;;16,357;;;;;;2
30247;#1SYNG-SP138; ;;7,007;;16,836;;;;;;2
29983;#1USES-SP138; ;;7,487;;16,357;;;;;;2
30262;#1WMPA-SP138; ;;7,007;;16,836;;;;;;2
30252;#2ABL--SP138; ;;7,487;;16,357;;;;;;2
30257;#2AIRL-SP138; ;;7,007;;16,836;;;;;;2
30223;#2ASCH-SP138; ;;7,719;;16,124;;;;;;2
30245;#2ASCP-SP138; ;;7,007;;16,836;;;;;;2
30220;#2ASCS-SP138; ;;7,464;;16,379;;;;;;2
30142;#2BRAS-SP138; ;;7,007;;16,836;;;;;;2
30273;#2COSM-SP138; ;;7,487;;16,357;;;;;;2
30209;#2CRIS-SP138; ;;7,221;;16,622;;;;;;2
30271;#2INTP-SP138; ;;7,487;;16,357;;;;;;2
30215;#2ITAP-SP138; ;;7,221;;16,622;;;;;;2
30279;#2LIND-SP138; ;;7,221;;16,622;;;;;;2
30261;#2ORIO-SP138; ;;7,007;;16,836;;;;;;2
30266;#2PAU3-SP138; ;;7,007;;16,836;;;;;;2
30287;#2PIR2-SP138; ;;7,557;;16,287;;;;;;2
30270;#2PLAS-SP138; ;;7,487;;16,357;;;;;;2
30277;#2POLY-SP138; ;;7,487;;16,357;;;;;;2
30217;#2PRAD-SP138; ;;7,221;;16,622;;;;;;2
30255;#2RHOD-SP138; ;;7,007;;16,836;;;;;;2
30275;#2SABT-SP138; ;;7,487;;16,357;;;;;;2
30248;#2SYNG-SP138; ;;7,487;;16,357;;;;;;2
30272;#2USES-SP138; ;;7,487;;16,357;;;;;;2
30263;#2WMPA-SP138; ;;7,007;;16,836;;;;;;2
28516;#GALVA-RJ138; ;;9,521;;14,322;;;;;;2
28428;#ROSTR-RJ069; ;;9,550;;14,294;;;;;;2
7312;14JULH-RS230; ;;7,108;;16,735;;;;;;1
7313;14JULHUHE013;B;98,0;7,108;;16,735;;;8359,36;;;1
35025;2.VEND-ES069; ;;9,599;;14,245;;;;;;2
2084;2MARIA-SP034; ;;7,217;,8;16,626;;;;154,47;;2
6931;2VIZIN-PR138; ;;8,853;56,0;14,991;;;;10073,88;;1
33130;3LAG2--SP138; ;;9,792;16,0;14,051;;;;2699,50;;2
1412;3MAIO--MT138; ;;10,983;;12,860;;;;;;2
19582;3MAIO-PCH013;U;;;;12,860;;;;;;2
2294;3PONTE-SP138; ;;7,221;19,0;16,622;;;;3793,80;;2
7152;4BARRA-PR069; ;;6,389;55,2;17,454;;;;11561,79;;1
30068;79_331-SP138; ;;7,719;;16,124;;;;;;2
30069;79_332-SP138; ;;7,719;;16,124;;;;;;2
25808;7QUEDA-MT138; ;;8,150;;15,694;;;;;;2
25809;7QUEDAPCH013;U;;;;15,694;;;;;;2
1334;A-BOA1-MT138; ;;7,397;34,8;16,446;;;;6867,86;;2
22051;A.AZUL-SP088; ;;6,907;166,3;16,936;;;;33798,00;;2
2840;A.AZUL-SP138; ;;6,614;;17,230;;;;;;2
30951;A.AZUL-SP440; ;;6,907;;16,936;;;;;;2
56772;A.BEZ1EOL034;B;28,8;11,894;;11,949;;;4114,91;;;3
56773;A.BEZ2EOL034;B;28,8;11,894;;11,949;;;4114,91;;;3
56774;A.BEZ3EOL034;B;28,8;11,894;;11,949;;;4114,91;;;3
56775;A.BEZ4EOL034;B;16,5;11,894;;11,949;;;2352,20;;;3
56258;A.BRAN-RN230; ;;11,259;;12,584;;;;;;3
56255;A.BRANEOL034;B;27,3;11,259;;12,584;;;3684,54;;;3
59514;A.CAE1EOL034;B;27,0;11,793;;12,050;;;3819,59;;;3
59515;A.CAE2EOL034;B;36,0;11,793;;12,050;;;5093,26;;;3
59516;A.CAE3EOL034;B;36,0;11,793;;12,050;;;5093,26;;;3
59517;A.CAE4EOL034;B;22,5;11,793;;12,050;;;3184,17;;;3
35134;A.CLAU-ES069; ;;9,548;13,6;14,295;;;;2326,10;;2
26207;A.GU2-PCH006;D;;;;15,946;;;;;;2
1242;A.LIND-GO069; ;;10,049;60,0;13,794;;;;9925,36;;2
1206;A.LIND-GO230; ;;10,049;;13,794;;;;;;2
2522;A.MOG--SP138;U;;;;14,292;;;;;;2
29900;A.MOG-UTE013;U;;;5,3;14,292;;;;908,96;;2
1943;A.REIS-RJ138; ;;9,482;41,3;14,362;;;;7109,07;;2
59518;A.TAN1EOL034;B;27,0;11,793;;12,050;;;3819,59;;;3
59519;A.TAN2EOL034;B;18,0;11,793;;12,050;;;2547,34;;;3
59520;A.TAN3EOL034;B;13,5;11,793;;12,050;;;1910,50;;;3
60037;A.VERMUFV034; ;;9,994;;13,850;;;;;;2
151;A?U2---RN138; ;;11,781;14,5;12,062;;;;2098,85;;3
251;A?U2---RN230; ;;11,781;;12,062;;;;;;3
11265;A?U3---RN230;B;1095,6;11,578;;12,265;;;152218,80;;;3
11565;A?U3---RN500;B;576,5;11,444;;12,400;;;79164,64;;;3
6783;AALEG2-PR138; ;;7,314;;16,530;;;;;;1
6791;AALEG2UTE006;U;;;1,0;16,530;;;;198,36;;1
6811;AALEGR-PR138;U;;;2,5;16,530;;;;495,89;;1
43864;AALEGR-SC138; ;;8,219;;15,625;;;;;;1
50333;AALEGRPCH013;U;;;;15,625;;;;;;1
45065;AALEGRUTE013;U;;;4,5;16,530;;;;892,60;;1
7243;AALFLO-PR138; ;;7,150;;16,693;;;;;;1
7244;AALFLOUTE013;U;;;1,5;16,693;;;;300,48;;1
1994;ABADIA-RJ069; ;;9,901;,0;13,942;;;;5,02;;2
58845;ABAIAR-CE230; ;;11,091;;12,753;;;;;;3
600;ABAIXA-BA069; ;;10,808;7,9;13,036;;;;1240,32;;3
590;ABAIXB-SE069; ;;10,808;;13,036;;;;;;3
30152;ABBRAS-SP138; ;;7,343;7,4;16,501;;;;1455,74;;2
50244;ABDON2-RS525; ;;7,628;;16,215;;;;;;1
7747;ABDONB-SC230; ;;8,158;;15,686;;;;;;1
7744;ABDONB-SC525; ;;7,627;;16,217;;;;;;1
59359;ABIL I-BA230; ;;11,783;;12,061;;;;;;3
59354;ABIL--EOL034;B;23,1;11,783;;12,061;;;3267,57;;;3
59501;ABILII-BA230; ;;11,749;;12,094;;;;;;3
30253;ABL----SP138; ;;7,487;4,4;16,357;;;;873,44;;2
6445;ABLLUZ-SC138; ;;8,618;10,5;15,225;;;;1916,55;;1
4009;ABONIT-SP088; ;;8,149;;15,695;;;;;;2
37730;ABONITUTE013;U;;;4,5;15,695;;;;847,52;;2
4131;ABRAN1-RJ138; ;;9,194;64,5;14,649;;;;11338,49;;2
25740;ABRANCPCH034;D;;;;15,686;;;;;;2
25815;ABRAV-PCH034;U;;;;15,686;;;;;;2
38055;ABRTAP-RJ138; ;;9,192;;14,651;;;;;;2
9590;ABUNA--RO013; ;;5,362;;21,484;;;;;;2
9636;ABUNA--RO138; ;;5,362;19,5;21,484;;;;5034,95;;2
9537;ABUNA--RO230; ;;5,362;;21,484;;;;;;2
60140;AC-10-UFV034;B;38,9;14,579;;9,264;;;6798,66;;;2
60145;AC-15-UFV034;B;48,6;14,579;;9,264;;;8499,20;;;2
60146;AC-16-UFV034;B;38,9;14,579;;9,264;;;6798,66;;;2
60147;AC-17-UFV034;B;48,6;14,579;;9,264;;;8499,20;;;2
60148;AC-18-UFV034;B;38,9;14,579;;9,264;;;6798,66;;;2
60149;AC-19-UFV034;B;38,9;14,579;;9,264;;;6798,66;;;2
