GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
AAA BARRA_UFV,0,0,0,0,9.895,10.672,10.713,11.094,11.026,11.042,11.022,11.002,10.982000000000001,10.962000000000002,10.942000000000002,10.922000000000002,10.902000000000003,10.882000000000003
EOL ABIL,0,10.528,10.847,10.616,11.015,11.497,11.56,11.985,11.766,11.783,11.763,11.743,11.723,11.703000000000001,11.683000000000002,11.663000000000002,11.643000000000002,11.623000000000003
EOL ACACIA,0,10.456,10.787,10.559,10.956,11.436,11.498,11.92,11.7,11.717,11.697000000000001,11.677000000000001,11.657000000000002,11.637000000000002,11.617000000000003,11.597000000000003,11.577000000000004,11.557000000000004
EOL ACARI (RIACHAO I),0,10.042,9.038,9.035,9.258,10.233,10.286,10.663,10.527,10.542,10.522,10.502,10.482000000000001,10.462000000000002,10.442000000000002,10.422000000000002,10.402000000000003,10.382000000000003
EOL ACAUA,0,10.528,10.847,10.616,11.015,11.497,11.56,11.985,11.766,11.783,11.763,11.743,11.723,11.703000000000001,11.683000000000002,11.663000000000002,11.643000000000002,11.623000000000003
EOL ACAUA I,0,10.986,10.064,10.232,10.467,10.908,10.973,11.353,11.225,11.241,11.221,11.201,11.181000000000001,11.161000000000001,11.141000000000002,11.121000000000002,11.101000000000003,11.081000000000003
EOL ACAUA II,0,10.986,10.064,10.232,10.467,10.908,10.973,11.353,11.225,11.241,11.221,11.201,11.181000000000001,11.161000000000001,11.141000000000002,11.121000000000002,11.101000000000003,11.081000000000003
EOL ACAUA III,0,10.986,10.064,10.232,10.467,10.908,10.973,11.353,11.225,11.241,11.221,11.201,11.181000000000001,11.161000000000001,11.141000000000002,11.121000000000002,11.101000000000003,11.081000000000003
EOL AFONSO BEZERRA I,0,10.878,9.942,10.1,10.329,11.533,11.609,12.0,11.877,11.894,11.874,11.854000000000001,11.834000000000001,11.814000000000002,11.794000000000002,11.774000000000003,11.754000000000003,11.734000000000004
EOL AFONSO BEZERRA II,0,10.878,9.942,10.1,10.329,11.533,11.609,12.0,11.877,11.894,11.874,11.854000000000001,11.834000000000001,11.814000000000002,11.794000000000002,11.774000000000003,11.754000000000003,11.734000000000004
EOL AFONSO BEZERRA III,0,10.878,9.942,10.1,10.329,11.533,11.609,12.0,11.877,11.894,11.874,11.854000000000001,11.834000000000001,11.814000000000002,11.794000000000002,11.774000000000003,11.754000000000003,11.734000000000004
EOL AFONSO BEZERRA IV,0,10.878,9.942,10.1,10.329,11.533,11.609,12.0,11.877,11.894,11.874,11.854000000000001,11.834000000000001,11.814000000000002,11.794000000000002,11.774000000000003,11.754000000000003,11.734000000000004
EOL ALBATROZ,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ALBUQUERQUE (RIACHAO II),0,10.042,9.038,9.035,9.258,10.233,10.286,10.663,10.527,10.542,10.522,10.502,10.482000000000001,10.462000000000002,10.442000000000002,10.422000000000002,10.402000000000003,10.382000000000003
EOL ALEGRIA I(NEW ENERGY),0,10.878,9.942,10.1,10.329,11.428,11.502,11.888,11.764,11.781,11.761000000000001,11.741000000000001,11.721000000000002,11.701000000000002,11.681000000000003,11.661000000000003,11.641000000000004,11.621000000000004
EOL ALEGRIA II(NEW ENERGY),0,10.878,9.942,10.1,10.329,11.428,11.502,11.888,11.764,11.781,11.761000000000001,11.741000000000001,11.721000000000002,11.701000000000002,11.681000000000003,11.661000000000003,11.641000000000004,11.621000000000004
EOL ALTO DOS VENTOS II A,0,0,0,0,0,10.914,10.982,11.397,11.269,11.286,11.266,11.246,11.226,11.206000000000001,11.186000000000002,11.166000000000002,11.146000000000003,11.126000000000003
EOL ALTO DOS VENTOS II B,0,0,0,0,0,10.914,10.982,11.397,11.269,11.286,11.266,11.246,11.226,11.206000000000001,11.186000000000002,11.166000000000002,11.146000000000003,11.126000000000003
EOL ALVORADA,0,10.554,10.856,10.635,11.031,11.509,11.571,11.997,11.779,11.796,11.776,11.756,11.736,11.716000000000001,11.696000000000002,11.676000000000002,11.656000000000002,11.636000000000003
EOL AMESCLA,0,10.165,10.561,10.326,10.725,11.422,11.484,11.906,11.684,11.701,11.681000000000001,11.661000000000001,11.641000000000002,11.621000000000002,11.601000000000003,11.581000000000003,11.561000000000003,11.541000000000004
