BARRA;NOME;TUST-RB
542; TRES IRMAOS - 440;    6,747
8344; ABAIARA - 230;   12,835
9739; ABDON BATISTA - 230;    5,317
9738; ABDON BATISTA - 525;    5,006
6930; ABUNA - 230;    7,066
6700; ACAILANDIA - 500;   11,868
5923; ACARAT CE - 230;   12,519
5318; ACARAT-CE500;   12,459
5486; ACARAU II – 230;   12,540
1596; ACESITA - 230;    4,958
5461; ACU II - 230;   13,797
5351; ACU III - 230;   13,844
5350; ACU III - 500;   13,510
140; ADRIANOPOLIS - 345;    5,078
106; ADRIANOPOLIS - 500;    5,304
2987; AG.LINDAS230;    7,798
453; AGUA AZUL - 440;    4,958
4043; AIMORES - 230;    6,969
6000; ALAGOAS 2 - 230;    8,715
1186; ALEGRETE2 - 230;    5,402
8163; ALEX - 230;   13,925
6521; ALTAMIRA - 230;    9,698
668; ALTA PAULISTA - 400;    6,173
1078; ANASTACIO - 230;    4,998
44594; ANEMUS - 230;   14,034
5100; ANGELIM - 500;   11,738
5101; ANGELIM - 230;   11,494
105; ANGRA - 500;    5,570
760; ANHANGUERA GO - 230;    6,379
431; ANHANGUERA SP - 230;    4,958
439; ANHANGUERA - 345;    4,958
458; APARECIDA - 230;    4,958
878; APUCARANA - 230;    4,958
5381; AQUIRAZ - 230;   11,944
4070; ARACUAI - 230;   10,665
6081; ARAPIRACA III - 230;    7,234
559; ARARAQUARA - 440;    5,265
101; ARARAQUARA - 500;    6,136
99; ARARAQUARA - 525;    6,135
589; ARARAS SP - 440;    4,958
7058; ARARAQUARA 2 - 440;    5,789
7057; ARARAQUARA 2 - 500;    6,088
5092; ARCOVERDE II - 230;   11,639
934; AREIA - 230;    4,958
933; AREIA - 525;    5,154
4349; ARINOS 2 - 500;   10,985
6880; ARIQUEMES - 230;    6,906
45680; ASOLO 2 - 230;    8,615
552; ASSIS - 440;    5,630
556; ASSIS - 525;    5,623
551; ASSIS 2 - 230;    4,958
697; ATIBAIA 2 - 345;    4,958
1330; ATLANTIDA 2 - 230;    4,958
629; AVARE - 230;    4,958
3150; AVARE NOVA - 230;    4,958
536; AGUA VERMELHA - 440;    6,868
535; AGUA VERMELHA - 500;    7,179
451; AVILLAR - 230;    4,958
9892; ANDIRA LESTE - 230;    4,958
229; BARRO ALTO - 230;    9,021
4040; BARRO BRANCO - 345;    5,888
9444; B. DOS COQUEIROS - 230;    8,756
5511; B.ESPERANCA - 230;   11,280
5510; B.ESPERANCA - 500;   11,935
227; BRASILIA GERAL - 230;    7,019
574; BOM JARDIM - 440;    4,958
7181; B.JESUS II - 230;   11,254
3699; BRASILIA LESTE - 500;    8,799
5401; BOM NOME - 230;   12,541
4502; BARRA PEIXE - 230;    7,441
228; BRAS. SUL - 230;    7,464
219; BRAS. SUL -345;    8,043
5684; BACAB - MA - 500;   11,889
1188; BAGE 2 - 230;    5,136
478; BAGUACU - 440;    5,795
1495; BAGUARI - 230;    6,951
9354; BAIXO IGUACU PR - 230;    4,958
472; B. SANTISTA - 230;    4,958
471; B. SANTISTA - 345;    4,958
8501; BALBINA - 230;    9,911
5391; BALSAS - 230;   11,769
5421; BANABUIU - 230;   12,919
226; BANDEIRANTE GO - 230;    6,739
218; BANDEIRANTE GO - 345;    7,639
492; BANDEIRANTE SP - 345;    4,958
308; BARBACENA - 345;    5,108
6315; BARREIRAS II - 230;   11,210
6361; BARREIRAS - 230;   10,923
6360; BARREIRAS - 500;   11,347
313; BARREIRO - 345;    6,047
112; BATEIAS - 500;    4,958
113; BATEIAS 2 - 500;    4,958
814; BATEIAS - 230;    4,958
895; BATEIAS - 525;    4,958
114; BATEIAS 3 - 500;    4,958
561; BAURU SP - 440;    4,984
9004; BARAO DE COCAIS 3 - 230;    5,378
4050; B.DESPACHO - 500;    7,028
4337; BETIM 6 -345;    6,426
9626; B. FLUMINENSE - 500;    5,369
936; BARRA GRANDE - 230;    5,668
947; BAIXO IGUACU SC - 230;    4,958
946; BIGUACU--525;    4,958
6358; B.J.LAPA II - 230;   11,176
6349; BJLAPAII - 500;   11,042
6351; B.J.LAPA - 230;   11,199
939; BLUMENAU - 230;    4,958
938; BLUMENAU - 525;    4,958
5152; BONGI - 230;    9,961
625; BOTUCATU - 230;    4,958
7734; BRACEL - 440;    4,958
4868; BRASNORTE - 230;    8,230
9051; BRAUNA - 230;    6,243
6334; BROT.MACAUBAS - 230;   12,152
5941; BRUMADO II - 230;    5,983
6075; BURITIRAMA - 500;   12,042
5701; CIC.DANTAS - 230;   10,455
756; CACHOEIRA DOURADA - 230;    8,752
4512; C. MAGALHAES - 230;    7,652
5525; COELHO NETO - 230;    9,536
5262; CURRAIS NOVOS II - 230;   14,034
104; C. PAULISTA - 500;    5,386
7054; C.PORTO VELHO - 230;    7,897
7055; C.PORTO VELHO - 500;   13,742
8551; CRISTIANO ROCHA - 230;    9,572
590; CABREUVA - 230;    4,958
584; CABREUVA - 440;    4,958
9458; CACU - 230;    8,756
5098; CAETES II - 230;   11,676
41414; CAIACA-SC - 230;    4,958
10218; CRUZ ALTA 2 - 230;    5,133
5750; CAMACARI - 500;    9,671
5756; CAMACARI IV - 230;    8,891
5752; CAMACARI IV - 500;    9,666
9569; CAMAQUA 3 - 230;    4,958
1194; CAMAQUA - 230;    4,958
123; CAMPINAS - 345;    4,958
103; CAMPINAS - 500;    5,127
117; CAMPOS 2 - 500;    6,138
1198; CAMPO BOM - 230;    4,958
147; CAMPOS - 345;    6,298
4684; CANARANA CMT - 230;    5,809
9590; CANDELARIA 2 - 230;    5,325
9952; CANDIOTA 2 - 230;    5,200
9951; CANDIOTA 2 - 525;    4,985
9785; CANDIOTA - 230;    5,747
9786; CANDIOTA - 525;    5,747
1190; CANOA 1 - 230;    4,958
1248; CANOAS 2 - 230;    4,958
943; CANOINHA - 230;    4,958
1037; CAPIVARI-230;    4,958
1036; CAPIVARI-525;    4,958
549; CAPIVARA - 440;    5,943
3714; CARAJAS GO - 230;    6,093
6407; CARAJAS PA - 230;   10,816
477; CARBOCLORO - 230;    4,958
839; CASCAVEL - 230;    4,958
9538; CASCAVEL NORT - 230;    4,958
2458; CASCAVEL OESTE - 230;    4,958
896; CASCAVOE - 525;    5,162
10355; CASSILANDIA - 230;    6,784
2353; CAMPO ASSOBIO - 230;    4,958
6489; CASTANHA - 230;    8,819
9278; CASTERTECH - 230;    4,958
10138; CASTRO NORTE - 230;    4,958
5782; CATU - 230;    8,279
5651; CAIUPE - 230;   12,133
1200; CAXIAS SUL 2 - 230;    4,958
1192; CAXIAS 5 -230;    4,958
1386; CAXIAS 6 - 230;    4,958
965; CAXIAS - 230;    4,958
964; CAXIAS RS - 525;    5,048
10216; CAXIAS NORTE - 230;    4,958
10215; CAXIAS NORTE - 525;    5,098
607; CBA - 230;    4,958
608; CBA TERM - 440;    4,958
603; CBA 2 - 440;    4,958
9543; CBA LESTE - 230;    4,958
9542; CBA LESTE - 525;    4,958
9697; CURITIBA NORT - 230;    4,958
623; CAPAO BONITO - 230;    4,958
3964; CANA BRAVA - 230;   10,359
816; C.COMPRIDO - 230;    4,958
6132; CEAMIRIM - 230;   13,203
6130; CEA.MIRIM II - 500;   13,246
427; CENTRO - 230;    4,958
9731; CERRO CHATO - 230;    5,742
2035; CERQUILHO 3 - 230;    4,958
970; GARABI 2 - 500;    5,335
971; GARABI 1 - 500;    5,335
6107; CAMPO FORMOSO - 230;   12,782
1043; RIVERA - 230;    5,593
5222; CAMPINA GRANDE II - 230;   12,079
1025; CAMPO GRANDE II - 230;    6,026
5202; CAMPINA GRANDE III - 230;   12,184
5200; CAMPINA GRANDE III - 500;   12,639
5303; CHAPADA 1 PI - 230;   13,324
6631; CHAPADA 2 PI - 230;   13,334
5305; CHAPADA 3 PI - 230;   13,490
1089; CHAPADAO - 230;    6,784
5685; CHAPADINHA II - 230;    9,860
10276; CHARQUEADAS 3 - 230;    4,958
951; CHARQUEADAS (SE) - 230;    4,958
615; CHAVANTES - 230;    4,958
7784; HELIO VALGAS MG - 345;    9,500
815; C.IND. CURITIBA - 230;    4,958
1258; C.INDUSTRIAL - 230;    4,958
4495; CLAUDIA - 500;    8,792
5751; CAMACARI II - 230;    8,810
954; C.MOURAO - 230;    4,958
956; CAMPOS NOVOS - 230;    5,482
955; CAMPOS NOVOS - 525;    5,097
789; CODEMI GO- 230;    9,916
4465; COLIDER - 500;    8,792
7300; COLINAS - 500;   11,742
9607; COMPERJ - 345;    5,455
5621; SE COREMAS II - 230;   12,451
1018; CORUMBA 2 - 30;    4,958
220; CORUMBA - 345;    7,823
5802; COTEGIPE - 230;    8,439
5216; COTEMINAS - 230;   11,859
4532; COXIPO - 230;    7,381
27; C. PAULISTA 2 - 500;    5,386
319; CONSE. PENA - 230;    6,786
8319; CRATO 2 - 230;   12,448
9104; U.CUBATAO - 230;    4,958
9105; CUBATAO - 230;    4,958
4515; CUIABA - 230;    7,455
4514; CUIABA - 500;    7,465
960; CURITIBA - 230;    4,958
959; CURITIBA - 525;    4,958
6641; CURRAL NOVO PIAUI - 230;   13,408
6640; CURRAL NOVO PIAUI - 500;   12,893
44812; VEREDA - 345;    9,331
5471; DELM. GOUVEIA - 230;   11,145
5804; D.PITUACU - 230;    8,124
420; DOMENICO RANGONI - 345;    4,958
4892; DARDANELOS - 230;    8,456
5730; DER.OLD 1- 230;    9,377
945; DESTERRO - 230;    4,958
1223; DONA FRANCISCA - 230;    5,948
818; D. INDUSTRIAL SJP - 230;    4,958
10101; DOURADOS 2 - 230;    5,516
1086; DOURADOS - 230;    5,439
5681; E. MARTIN - 230;   11,894
410; EDGARD SOUZA - 230;    4,958
3018; EDEIA - 230;    8,477
1212; ELDORADO - 230;    4,958
5872; EMBASA - 230;    8,166
320; EMBORCACAO - 500;    7,808
582; EMBU-GUACU - 345;    4,958
581; EMBU-GUACU - 440;    4,958
6001; ENCRUZO - 230;    9,364
41413; ENSEAD-SC2 - 30;    4,958
3012; ESTREITO - 345;    6,374
3010; ESTREITO - 500;    6,453
5972; EUNAPOLI - 230;    5,356
6131; EXTREMOZ II - 230;   12,840
610; F.DIAS - 440;    5,096
609; F.DIAS - 500;    5,549
60; F.IGUACU - 765;    5,123
962; FARROUPILHA - 230;    4,958
1071; FOZ DO CHAPECO - 230;    5,625
