BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
 2840; AGUA AZUL - 138                                                      ;   18,526;         ;         ;         
2840; AGUA AZUL - 138;   18,526;;;
30951; AGUA AZUL - 440                                                      ;   18,232;         ;         ;         
30951; AGUA AZUL - 440;   18,232;;;
 1206; AG.LINDAS230                                                         ;   13,964;         ;         ;         
1206; AG.LINDAS230;   13,964;;;
 1943; ANGRA AMPLA - 138                                                    ;   15,522;         ;         ;         
1943; ANGRA AMPLA - 138;   15,522;;;
  151; ACU II - 138                                                         ;    8,094;         ;         ;         
151; ACU II - 138;    8,094;;;
  251; ACU II - 230                                                         ;    8,094;         ;         ;         
251; ACU II - 230;    8,094;;;
11265; ACU III - 230                                                        ;    8,094;         ;         ;         
11265; ACU III - 230;    8,094;;;
11565; ACU III - 500                                                        ;    8,094;         ;         ;         
11565; ACU III - 500;    8,094;;;
  600; ABAIXADORA - 69                                                      ;    8,094;         ;         ;         
600; ABAIXADORA - 69;    8,094;;;
 7747; ABDON BATISTA - 230                                                  ;   18,672;         ;         ;         
7747; ABDON BATISTA - 230;   18,672;;;
 7744; ABDON BATISTA - 525                                                  ;   18,942;         ;         ;         
7744; ABDON BATISTA - 525;   18,942;;;
 9590; ABUNA - 13,8                                                         ;   22,382;         ;         ;         
9590; ABUNA - 13,8;   22,382;;;
 9636; ABUNA - 138                                                          ;   22,382;         ;         ;         
9636; ABUNA - 138;   22,382;;;
 9537; ABUNA - 230                                                          ;   22,382;         ;         ;         
9537; ABUNA - 230;   22,382;;;
  559; ACAILANDIA - 500                                                     ;    9,853;         ;         ;         
559; ACAILANDIA - 500;    9,853;;;
55412; ACARAU II – 230                                                      ;    8,732;         ;         ;         
55412; ACARAU II – 230;    8,732;;;
12907; ACARAT CE - 230                                                      ;    8,750;         ;         ;         
12907; ACARAT CE - 230;    8,750;;;
12902; ACARAT-CE500                                                         ;    8,781;         ;         ;         
12902; ACARAT-CE500;    8,781;;;
 4475; ACESITA - 230                                                        ;   15,238;         ;         ;         
4475; ACESITA - 230;   15,238;;;
 3155; EMPLAL - 138                                                         ;   16,223;         ;         ;         
3155; EMPLAL - 138;   16,223;;;
 3730; ADRIANOPOLIS - 138                                                   ;   15,770;         ;         ;         
3730; ADRIANOPOLIS - 138;   15,770;;;
 3729; ADRIANOPOLIS - 345                                                   ;   15,714;         ;         ;         
3729; ADRIANOPOLIS - 345;   15,714;;;
 3728; ADRIANOPOLIS - 500                                                   ;   15,679;         ;         ;         
3728; ADRIANOPOLIS - 500;   15,679;;;
 3031; AGUAI - 138                                                          ;   17,752;         ;         ;         
3031; AGUAI - 138;   17,752;;;
 1637; AIMORES - 230                                                        ;   13,464;         ;         ;         
1637; AIMORES - 230;   13,464;;;
 2336; AJINOMOTO VAL - 138                                                  ;   16,609;         ;         ;         
2336; AJINOMOTO VAL - 138;   16,609;;;
18761; ALAGOINHA 2 - 69                                                     ;   11,424;         ;         ;         
18761; ALAGOINHA 2 - 69;   11,424;;;
11760; ALAGOAS 2 - 230                                                      ;   11,424;         ;         ;         
11760; ALAGOAS 2 - 230;   11,424;;;
 7591; ALEGRETE2 - 69                                                       ;   20,018;         ;         ;         
7591; ALEGRETE2 - 69;   20,018;;;
 9002; ALEGRETE2 - 230                                                      ;   20,018;         ;         ;         
9002; ALEGRETE2 - 230;   20,018;;;
56095; ALEX - 230                                                           ;    8,094;         ;         ;         
56095; ALEX - 230;    8,094;;;
  862; ALTAMIRA - 69                                                        ;   10,838;         ;         ;         
862; ALTAMIRA - 69;   10,838;;;
  362; ALTAMIRA - 230                                                       ;   10,838;         ;         ;         
362; ALTAMIRA - 230;   10,838;;;
 2219; AMPARO - 138                                                         ;   18,354;         ;         ;         
2219; AMPARO - 138;   18,354;;;
46950; ANASTACIO - 138                                                      ;   17,391;         ;         ;         
46950; ANASTACIO - 138;   17,391;;;
 7758; ANASTACIO - 230                                                      ;   17,504;         ;         ;         
7758; ANASTACIO - 230;   17,504;;;
 2770; ANDIRA LESTE - 230                                                   ;   18,549;         ;         ;         
2770; ANDIRA LESTE - 230;   18,549;;;
 6834; ANDIRA LESTE - 138                                                   ;   18,697;         ;         ;         
6834; ANDIRA LESTE - 138;   18,697;;;
 3132; ANDRADINA - 138                                                      ;   16,235;         ;         ;         
3132; ANDRADINA - 138;   16,235;;;
  540; ANGELIM - 500                                                        ;    8,638;         ;         ;         
540; ANGELIM - 500;    8,638;;;
  640; ANGELIM - 69                                                         ;    8,696;         ;         ;         
640; ANGELIM - 69;    8,696;;;
  240; ANGELIM - 230                                                        ;    8,694;         ;         ;         
240; ANGELIM - 230;    8,694;;;
 3746; ANGRA 1 - 138                                                        ;   15,375;         ;         ;         
3746; ANGRA 1 - 138;   15,375;;;
 3745; ANGRA - 500                                                          ;   15,123;         ;         ;         
3745; ANGRA - 500;   15,123;;;
 1185; ANHANGUERA - 69                                                      ;   15,359;         ;         ;         
1185; ANHANGUERA - 69;   15,359;;;
 1171; ANHANGUERA - 138                                                     ;   15,381;         ;         ;         
1171; ANHANGUERA - 138;   15,381;;;
 1172; ANHANGUERA GO - 230                                                  ;   15,359;         ;         ;         
1172; ANHANGUERA GO - 230;   15,359;;;
 2901; ANHANGUERA SP - 230                                                  ;   20,812;         ;         ;         
2901; ANHANGUERA SP - 230;   20,812;;;
 2900; ANHANGUERA - 345                                                     ;   20,614;         ;         ;         
2900; ANHANGUERA - 345;   20,614;;;
 2958; APARECIDA - 88                                                       ;   16,611;         ;         ;         
2958; APARECIDA - 88;   16,611;;;
 2957; APARECIDA - 230                                                      ;   16,611;         ;         ;         
2957; APARECIDA - 230;   16,611;;;
 2758; ALTA PAULISTA - 400                                                  ;   16,686;         ;         ;         
2758; ALTA PAULISTA - 400;   16,686;;;
 6818; APUCARANA - 138                                                      ;   18,983;         ;         ;         
6818; APUCARANA - 138;   18,983;;;
 6601; APUCARANA - 230                                                      ;   19,064;         ;         ;         
6601; APUCARANA - 230;   19,064;;;
58771; LAGOA BARRO - 230                                                    ;    8,636;         ;         ;         
58771; LAGOA BARRO - 230;    8,636;;;
11619; AQUIRAZ II - 69                                                      ;    8,715;         ;         ;         
11619; AQUIRAZ II - 69;    8,715;;;
11219; AQUIRAZ - 230                                                        ;    8,715;         ;         ;         
11219; AQUIRAZ - 230;    8,715;;;
 2329; ARACATUBA - 138                                                      ;   16,855;         ;         ;         
2329; ARACATUBA - 138;   16,855;;;
 1647; ARACUAI 2 - 138                                                      ;   11,208;         ;         ;         
1647; ARACUAI 2 - 138;   11,208;;;
 1522; ARACUAI - 230                                                        ;   11,242;         ;         ;         
1522; ARACUAI - 230;   11,242;;;
17502; ARAPIRACA III - 69                                                   ;   12,249;         ;         ;         
17502; ARAPIRACA III - 69;   12,249;;;
11242; ARAPIRACA III - 230                                                  ;   12,249;         ;         ;         
11242; ARAPIRACA III - 230;   12,249;;;
 3033; ARARAS 2 - 138                                                       ;   17,740;         ;         ;         
3033; ARARAS 2 - 138;   17,740;;;
 5203; ARARAQUARA 2 - 440                                                   ;   16,651;         ;         ;         
5203; ARARAQUARA 2 - 440;   16,651;;;
 5202; ARARAQUARA 2 - 500                                                   ;   16,241;         ;         ;         
5202; ARARAQUARA 2 - 500;   16,241;;;
 2631; ARARAQUARA CTP - 138                                                 ;   17,009;         ;         ;         
2631; ARARAQUARA CTP - 138;   17,009;;;
 2630; ARARAQUARA - 440                                                     ;   17,062;         ;         ;         
2630; ARARAQUARA - 440;   17,062;;;
 3852; ARARAQUARA - 500                                                     ;   16,321;         ;         ;         
3852; ARARAQUARA - 500;   16,321;;;
 2673; ARARAS SP - 440                                                      ;   17,841;         ;         ;         
2673; ARARAS SP - 440;   17,841;;;
 3032; ARARAS 1 - 138                                                       ;   17,710;         ;         ;         
3032; ARARAS 1 - 138;   17,710;;;
38907; ARAXA 3 - 138                                                        ;   14,522;         ;         ;         
38907; ARAXA 3 - 138;   14,522;;;
38906; ARAXA 3 - 345                                                        ;   14,566;         ;         ;         
38906; ARAXA 3 - 345;   14,566;;;
12203; ARCOVERDE II - 230                                                   ;    8,535;         ;         ;         
12203; ARCOVERDE II - 230;    8,535;;;
47083; AREIA - 13,8                                                         ;   18,790;         ;         ;         
47083; AREIA - 13,8;   18,790;;;
 6826; AREIA - 138                                                          ;   18,786;         ;         ;         
6826; AREIA - 138;   18,786;;;
 7749; AREIA - 230                                                          ;   18,779;         ;         ;         
7749; AREIA - 230;   18,779;;;
 7748; AREIA - 525                                                          ;   18,531;         ;         ;         
7748; AREIA - 525;   18,531;;;
39813; ARINOS 2 - 500                                                       ;   11,809;         ;         ;         
39813; ARINOS 2 - 500;   11,809;;;
 9642; ARIQUEMES - 69                                                       ;   21,357;         ;         ;         
9642; ARIQUEMES - 69;   21,357;;;
 9520; ARIQUEMES - 230                                                      ;   21,357;         ;         ;         
9520; ARIQUEMES - 230;   21,357;;;
 3034; A.NOGUEIRA - 138                                                     ;   17,934;         ;         ;         
3034; A.NOGUEIRA - 138;   17,934;;;
 3082; ARUJA 2 - 138                                                        ;   18,669;         ;         ;         
3082; ARUJA 2 - 138;   18,669;;;
  302; MOXOTO - 230                                                         ;    8,094;         ;         ;         
302; MOXOTO - 230;    8,094;;;
 2624; ASSIS - 440                                                          ;   17,308;         ;         ;         
2624; ASSIS - 440;   17,308;;;
 4282; ASSIS - 525                                                          ;   17,612;         ;         ;         
4282; ASSIS - 525;   17,612;;;
 4006; ASSIS I - 88                                                         ;   18,314;         ;         ;         
4006; ASSIS I - 88;   18,314;;;
 2626; ASSIS 2 - 230                                                        ;   17,774;         ;         ;         
2626; ASSIS 2 - 230;   17,774;;;
 4008; ASSIS III - 88                                                       ;   17,851;         ;         ;         
4008; ASSIS III - 88;   17,851;;;
 3083; ATIBAIA 1 - 138                                                      ;   18,857;         ;         ;         
3083; ATIBAIA 1 - 138;   18,857;;;
 2677; ATIBAIA 2 - 345                                                      ;   19,122;         ;         ;         
2677; ATIBAIA 2 - 345;   19,122;;;
 3107; ATIBAIA 3 - 138                                                      ;   18,777;         ;         ;         
3107; ATIBAIA 3 - 138;   18,777;;;
 7923; ATLANTIDA 2 - 230                                                    ;   19,881;         ;         ;         
7923; ATLANTIDA 2 - 230;   19,881;;;
 2358; AUXILIADORA - 138                                                    ;   19,242;         ;         ;         
2358; AUXILIADORA - 138;   19,242;;;
 2786; AVARE - 230                                                          ;   20,017;         ;         ;         
