BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    5,359
1206; AG.LINDAS230;    8,623
251; ACU II - 230;   16,233
11265; ACU III - 230;   15,807
11565; ACU III - 500;   15,426
7747; ABDON BATISTA - 230;    5,359
7744; ABDON BATISTA - 525;    5,359
9537; ABUNA - 230;    5,359
559; ACAILANDIA - 500;   12,599
55412; ACARAU II – 230;   13,694
12907; ACARAT CE - 230;   13,675
12902; ACARAT-CE500;   13,646
4475; ACESITA - 230;    7,051
3729; ADRIANOPOLIS - 345;    7,091
3728; ADRIANOPOLIS - 500;    7,336
1637; AIMORES - 230;    8,838
11760; ALAGOAS 2 - 230;   10,789
9002; ALEGRETE2 - 230;    5,359
56095; ALEX - 230;   16,319
362; ALTAMIRA - 230;   11,601
7758; ANASTACIO - 230;    5,359
2770; ANDIRA LESTE - 230;    5,359
540; ANGELIM - 500;   13,753
240; ANGELIM - 230;   13,695
3745; ANGRA - 500;    7,886
1172; ANHANGUERA GO - 230;    6,991
2901; ANHANGUERA SP - 230;    5,359
2900; ANHANGUERA - 345;    5,359
2957; APARECIDA - 230;    6,237
2758; ALTA PAULISTA - 400;    6,181
6601; APUCARANA - 230;    5,359
58771; LAGOA BARRO - 230;   13,627
11219; AQUIRAZ - 230;   13,638
1522; ARACUAI - 230;   10,746
11242; ARAPIRACA III - 230;    9,964
5203; ARARAQUARA 2 - 440;    6,373
5202; ARARAQUARA 2 - 500;    6,855
2630; ARARAQUARA - 440;    5,901
3852; ARARAQUARA - 500;    6,590
2673; ARARAS SP - 440;    5,359
38906; ARAXA 3 - 345;    8,078
12203; ARCOVERDE II - 230;   13,861
7749; AREIA - 230;    5,359
7748; AREIA - 525;    5,359
39813; ARINOS 2 - 500;   10,201
9520; ARIQUEMES - 230;    5,359
302; MOXOTO - 230;   14,816
2624; ASSIS - 440;    5,495
4282; ASSIS - 525;    5,359
2626; ASSIS 2 - 230;    5,359
2677; ATIBAIA 2 - 345;    5,359
7923; ATLANTIDA 2 - 230;    5,359
2786; AVARE - 230;    5,359
2617; AGUA VERMELHA - 500;    7,558
2618; AGUA VERMELHA - 440;    7,337
3947; BARRO ALTO - 230;   10,411
3605; BARRO BRANCO - 345;    7,369
4297; B. DOS COQUEIROS - 230;    9,175
229; B.ESPERANCA - 230;   12,822
4288; B. FLUMINENSE - 500;    7,518
7304; BARRA GRANDE - 230;    5,359
6608; BAIXO IGUACU PR - 230;    5,359
11050; B.JESUS II - 230;   12,486
3236; BARRA PEIXE - 230;    6,210
13103; BACAB - MA - 500;   12,986
9010; BAGE 2 - 230;    5,359
2733; BAGUACU - 440;    5,958
1645; BAGUARI - 230;    8,894
2920; B. SANTISTA - 230;    5,359
2919; B. SANTISTA - 345;    5,359
10410; BALBINA - 230;   10,068
215; BALSAS - 230;   12,582
222; BANABUIU - 230;   14,671
3909; BANDEIRANTE GO - 345;    8,146
2934; BANDEIRANTE SP - 345;    5,359
1480; BARBACENA - 345;    6,874
11286; BARREIRAS II - 230;   10,748
286; BARREIRAS - 230;   10,399
1482; BARREIRO - 345;    7,482
846; BARREIRAS - 500;   11,840
6627; BATEIAS - 230;    5,359
3696; BATEIAS 3 - 500;    5,359
6628; BATEIAS - 525;    5,359
2628; BAURU SP - 440;    5,359
1612; BARAO DE COCAIS 3 - 230;    7,117
1485; B.DESPACHO - 500;    8,504
529; B.ESPERANCA - 500;   12,943
26454; BETIM 6 -345;    7,691
7740; BAIXO IGUACU SC - 230;    5,359
7741; BIGUACU--525;    5,359
2638; BOM JARDIM - 440;    5,359
385; B.J.LAPA II - 230;   11,289
585; BJLAPAII - 500;   11,155
285; B.J.LAPA - 230;   11,287
35351; BRASILIA LESTE - 500;    9,237
7734; BLUMENAU - 230;    5,359
7733; BLUMENAU - 525;    5,359
220; BOM NOME - 230;   15,037
243; BONGI - 230;   12,112
2777; BOTUCATU - 230;    5,359
3936; BRASILIA GERAL - 230;    7,780
3920; BRAS. SUL - 230;    8,132
3919; BRAS. SUL -345;    8,667
3300; BRASNORTE - 230;    5,811
1600; BRAUNA - 230;    8,504
205; BROT.MACAUBAS - 230;   12,422
376; BRUMADO II - 230;    9,051
12318; BURITIRAMA - 500;   12,753
38913; HELIO VALGAS MG - 345;   10,051
9266; CRUZ ALTA 2 - 230;    5,359
4481; CANA BRAVA - 230;   10,963
6615; C.COMPRIDO - 230;    5,359
270; CIC.DANTAS - 230;   13,590
11461; CAMPO FORMOSO - 230;   13,399
9020; C.INDUSTRIAL - 230;    5,359
236; COELHO NETO - 230;   10,931
11253; CURRAIS NOVOS II - 230;   15,606
3720; C. PAULISTA - 500;    7,618
38871; CACU - 230;    9,175
2649; CABREUVA - 230;    5,359
2647; CABREUVA - 440;    5,359
58008; CAETES II - 230;   13,861
51457; CAMAQUA 3 - 230;    5,359
574; CAMACARI - 500;   11,348
284; CAMACARI IV - 230;   10,723
584; CAMACARI IV - 500;   11,304
9030; CAMAQUA - 230;    5,359
3701; CAMPINAS - 345;    5,359
3700; CAMPINAS - 500;    5,509
38951; CAMPOS 2 - 500;    8,267
9015; CAMPO BOM - 230;    5,359
3785; CAMPOS - 345;    8,206
38873; CANARANA CMT - 230;    5,359
9283; CANDELARIA 2 - 230;    5,359
9040; CANDIOTA 2 - 230;    5,359
7753; CANDIOTA 2 - 525;    5,359
50209; CANDIOTA - 230;    5,359
9045; CANOA 1 - 230;    5,359
9050; CANOAS 2 - 230;    5,359
7778; CANOINHA - 230;    5,359
50215; CAPIVARI-230;    5,359
50212; CAPIVARI-525;    5,359
2622; CAPIVARA - 440;    5,874
1202; CARAJAS GO - 230;    6,781
916; CARAJAS PA - 230;   11,626
2966; CARBOCLORO - 230;    5,359
6624; CASCAVEL - 230;    5,359
44900; CASCAVEL NORT - 230;    5,359
6625; CASCAVEL OESTE - 230;    5,359
6626; CASCAVOE - 525;    5,359
6762; CAMPO ASSOBIO - 230;    5,359
235; CASTANHA - 230;   10,200
51704; CASTERTECH - 230;    5,359
7023; CASTRO NORTE - 230;    5,359
272; CATU - 230;   10,263
218; CAIUPE - 230;   13,446
9062; CAXIAS SUL 2 - 230;    5,359
9065; CAXIAS 5 -230;    5,359
9066; CAXIAS 6 - 230;    5,359
46948; CAXIAS - 230;    5,359
46947; CAXIAS NORTE - 525;    5,359
9060; CAXIAS NORTE - 230;    5,359
7751; CAXIAS RS - 525;    5,359
4532; CBA - 230;    5,359
2672; CBA TERM - 440;    5,359
7299; CBA LESTE - 230;    5,359
7300; CBA LESTE - 525;    5,359
44655; CURITIBA NORT - 230;    5,359
2802; CAPAO BONITO - 230;    5,359
1153; CACHOEIRA DOURADA - 230;    8,650
2941; TR.CENTRO 1 - 230;    5,359
2942; TR.CENTRO 2 - 230;    5,359
2943; CENTRO - 230;    5,359
44906; CERQUILHO 3 - 230;    5,359
39850; CAMPO GRANDE II - 230;    5,682
11244; CAMPINA GRANDE II - 230;   14,264
12244; CAMPINA GRANDE III - 230;   14,440
544; CAMPINA GRANDE III - 500;   14,619
58208; CHAPADA 1 PI - 230;   14,314
58217; CHAPADA 2 PI - 230;   14,433
58227; CHAPADA 3 PI - 230;   14,709
13020; CHAPADINHA II - 230;   11,214
38853; CHAPADAO - 230;    6,957
7882; CHARQUEADAS 3 - 230;    5,359
7780; CHARQUEADAS (SE) - 230;    5,359
2773; CHAVANTES - 230;    5,359
6617; C.IND. CURITIBA - 230;    5,359
4582; CLAUDIA - 500;    8,727
274; CAMACARI II - 230;   10,715
7776; C.MOURAO - 230;    5,359
11246; CEAMIRIM - 230;   15,178
11546; CEA.MIRIM II - 500;   15,139
12201; CURRAL NOVO PIAUI - 230;   14,267
12501; CURRAL NOVO PIAUI - 500;   14,010
7723; CAMPOS NOVOS - 230;    5,359
7736; CAMPOS NOVOS - 525;    5,359
40663; CODEMI GO- 230;   10,762
5201; C.PORTO VELHO - 500;   14,766
7850; CERRO CHATO - 230;    5,359
5199; C.PORTO VELHO - 230;    5,359
41172; COLIDER - 500;    8,727
591; COLINAS - 500;   12,286
4320; COMPERJ - 345;    7,202
7917; ENSEAD-SC2 - 30;    5,359
233; SE COREMAS II - 230;   14,355
3908; CORUMBA - 345;    8,522
38851; CORUMBA 2 - 30;    5,359
279; COTEGIPE - 230;   10,457
11033; COTEMINAS - 230;   14,064
3276; COXIPO - 230;    5,359
1616; CONSE. PENA - 230;    8,720
11217; CRATO 2 - 230;   14,211
10405; CRISTIANO ROCHA - 230;    9,718
4283; CUIABA - 230;    5,359
4284; CUIABA - 500;    5,459
7739; CURITIBA - 230;    5,359
7732; CURITIBA - 525;    5,359
219; DELM. GOUVEIA - 230;   12,783
281; D.PITUACU - 230;   10,320
4361; DARDANELOS - 230;    6,625
7745; DESTERRO - 230;    5,359
9090; DONA FRANCISCA - 230;    5,359
6761; D. INDUSTRIAL SJP - 230;    5,359
2664; JANDIRA - 440;    5,359
7771; DOURADOS 2 - 230;    5,742
7757; DOURADOS - 230;    5,677
51003; J. BOTANICO 2 - 230;    5,359
51002; J. BOTANICO 1 - 230;    5,359
2923; DOMENICO RANGONI - 345;    5,359
287; E. MARTIN - 230;   13,440
2939; EDGARD SOUZA - 230;    5,359
38862; EDEIA - 230;    8,379
9097; ELDORADO - 230;    5,359
214; EMBASA - 230;    9,472
1509; EMBORCACAO - 500;    8,535
2645; EMBU-GUACU - 345;    5,359
2643; EMBU-GUACU - 440;    5,359
13230; ENCRUZO - 230;   10,842
3946; ESTREITO - 345;    7,572
4302; ESTREITO - 500;    7,603
269; EUNAPOLI - 230;    8,313
12546; EXTREMOZ II - 230;   14,900
7306; FOZ DO CHAPECO - 230;    5,359
6653; FCHOPIM--230;    5,359
4321; F.DIAS - 440;    5,397
4322; F.DIAS - 500;    6,349
7782; FARROUPILHA - 230;    5,359
9541; FEIJO - 230;    5,359
9095; FIBR-F RS - 230;    5,359
6651; FIGUEIRA - 230;    5,359
1194; FIRMINOPOLIS - 230;    8,507
212; FLORESTA II - 230;   15,058
21049; FORD - 230;   10,309
7743; FORQUILINHA - 230;    5,359
325; FORTALEZA II - 230;   13,450
525; FORTALEZA II - 500;   14,138
225; FORTALEZA - 230;   13,462
3642; F.IGUACU - 765;    5,359
6652; F.IGUACUNORTE - 230;    5,359
276; FUNIL - 230;    8,463
3808; FURNAS - 345;    7,390
275; G. MANGABEIRA - 230;   10,069
58405; MLGICO CE - 230;   14,512
8720; GARABI 1 - 525;    5,359
8721; GARABI 2 - 525;    5,359
349; GARANHUNS II - 230;   13,861
