Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
30951; AGUA AZUL - 440;;  6,989;  2,701;  4,845;  5,359;;;  5,359;
1206; AG.LINDAS230;; 10,065;  7,679;  8,872;  8,623;;;  8,623;
251; ACU II - 230;; 11,754; 21,210; 16,482; 16,233;;; 16,233;
11265; ACU III - 230;; 11,552; 20,559; 16,056; 15,807;;; 15,807;
11565; ACU III - 500;; 11,418; 19,931; 15,675; 15,426;;; 15,426;
7747; ABDON BATISTA - 230;;  8,241;  0,193;  4,217;  5,359;;;  5,359;
7744; ABDON BATISTA - 525;;  7,711;  0,200;  3,955;  5,359;;;  5,359;
9537; ABUNA - 230;;  2,474;  0,000;  1,237;  5,359;;;  5,359;
559; ACAILANDIA - 500;; 10,861; 14,835; 12,848; 12,599;;; 12,599;
55412; ACARAU II – 230;; 10,473; 17,412; 13,942; 13,694;;; 13,694;
12907; ACARAT CE - 230;; 10,478; 17,371; 13,924; 13,675;;; 13,675;
12902; ACARAT-CE500;; 10,505; 17,284; 13,895; 13,646;;; 13,646;
4475; ACESITA - 230;;  8,134;  6,465;  7,300;  7,051;;;  7,051;
3729; ADRIANOPOLIS - 345;;  8,875;  5,805;  7,340;  7,091;;;  7,091;
3728; ADRIANOPOLIS - 500;;  9,256;  5,914;  7,585;  7,336;;;  7,336;
1637; AIMORES - 230;; 10,320;  7,854;  9,087;  8,838;;;  8,838;
11760; ALAGOAS 2 - 230;;  7,982; 14,094; 11,038; 10,789;;; 10,789;
9002; ALEGRETE2 - 230;;  7,131;  0,000;  3,566;  5,359;;;  5,359;
56095; ALEX - 230;; 11,620; 21,516; 16,568; 16,319;;; 16,319;
362; ALTAMIRA - 230;;  9,844; 13,856; 11,850; 11,601;;; 11,601;
7758; ANASTACIO - 230;;  8,024;  2,556;  5,290;  5,359;;;  5,359;
2770; ANDIRA LESTE - 230;;  7,515;  1,333;  4,424;  5,359;;;  5,359;
540; ANGELIM - 500;; 10,003; 18,001; 14,002; 13,753;;; 13,753;
240; ANGELIM - 230;;  9,858; 18,030; 13,944; 13,695;;; 13,695;
3745; ANGRA - 500;; 10,088;  6,182;  8,135;  7,886;;;  7,886;
1172; ANHANGUERA GO - 230;;  9,204;  5,276;  7,240;  6,991;;;  6,991;
2901; ANHANGUERA SP - 230;;  4,159;  0,120;  2,140;  5,359;;;  5,359;
2900; ANHANGUERA - 345;;  4,494;  0,187;  2,340;  5,359;;;  5,359;
2957; APARECIDA - 230;;  8,484;  4,488;  6,486;  6,237;;;  6,237;
2758; ALTA PAULISTA - 400;;  9,455;  3,404;  6,430;  6,181;;;  6,181;
6601; APUCARANA - 230;;  7,052;  0,597;  3,825;  5,359;;;  5,359;
58771; LAGOA BARRO - 230;; 11,439; 16,312; 13,876; 13,627;;; 13,627;
11219; AQUIRAZ - 230;;  9,419; 18,355; 13,887; 13,638;;; 13,638;
1522; ARACUAI - 230;; 12,264;  9,725; 10,995; 10,746;;; 10,746;
11242; ARAPIRACA III - 230;;  6,209; 14,217; 10,213;  9,964;;;  9,964;
5203; ARARAQUARA 2 - 440;;  9,034;  4,209;  6,622;  6,373;;;  6,373;
5202; ARARAQUARA 2 - 500;;  9,527;  4,679;  7,103;  6,855;;;  6,855;
2630; ARARAQUARA - 440;;  8,564;  3,736;  6,150;  5,901;;;  5,901;
3852; ARARAQUARA - 500;;  9,291;  4,386;  6,839;  6,590;;;  6,590;
2673; ARARAS SP - 440;;  7,596;  3,019;  5,308;  5,359;;;  5,359;
38906; ARAXA 3 - 345;; 10,347;  6,307;  8,327;  8,078;;;  8,078;
12203; ARCOVERDE II - 230;; 10,032; 18,186; 14,109; 13,861;;; 13,861;
7749; AREIA - 230;;  7,886;  0,386;  4,136;  5,359;;;  5,359;
7748; AREIA - 525;;  8,063;  0,709;  4,386;  5,359;;;  5,359;
39813; ARINOS 2 - 500;; 11,731;  9,169; 10,450; 10,201;;; 10,201;
9520; ARIQUEMES - 230;;  3,509;  0,000;  1,754;  5,359;;;  5,359;
302; MOXOTO - 230;; 11,158; 18,971; 15,065; 14,816;;; 14,816;
2624; ASSIS - 440;;  8,711;  2,777;  5,744;  5,495;;;  5,495;
4282; ASSIS - 525;;  8,425;  2,275;  5,350;  5,359;;;  5,359;
2626; ASSIS 2 - 230;;  8,316;  2,169;  5,242;  5,359;;;  5,359;
2677; ATIBAIA 2 - 345;;  6,033;  1,743;  3,888;  5,359;;;  5,359;
7923; ATLANTIDA 2 - 230;;  6,886;  0,000;  3,443;  5,359;;;  5,359;
2786; AVARE - 230;;  5,633;  0,357;  2,995;  5,359;;;  5,359;
2617; AGUA VERMELHA - 500;; 10,387;  5,227;  7,807;  7,558;;;  7,558;
2618; AGUA VERMELHA - 440;; 10,335;  4,838;  7,586;  7,337;;;  7,337;
3947; BARRO ALTO - 230;; 11,955;  9,364; 10,660; 10,411;;; 10,411;
3605; BARRO BRANCO - 345;;  8,905;  6,331;  7,618;  7,369;;;  7,369;
4297; B. DOS COQUEIROS - 230;; 12,305;  6,543;  9,424;  9,175;;;  9,175;
229; B.ESPERANCA - 230;; 10,114; 16,027; 13,071; 12,822;;; 12,822;
4288; B. FLUMINENSE - 500;;  9,687;  5,846;  7,767;  7,518;;;  7,518;
7304; BARRA GRANDE - 230;;  8,679;  0,354;  4,516;  5,359;;;  5,359;
6608; BAIXO IGUACU PR - 230;;  9,069;  1,249;  5,159;  5,359;;;  5,359;
11050; B.JESUS II - 230;; 10,339; 15,132; 12,735; 12,486;;; 12,486;
3236; BARRA PEIXE - 230;;  9,024;  3,895;  6,459;  6,210;;;  6,210;
13103; BACAB - MA - 500;; 10,528; 15,941; 13,234; 12,986;;; 12,986;
9010; BAGE 2 - 230;;  7,516;  0,000;  3,758;  5,359;;;  5,359;
2733; BAGUACU - 440;;  8,947;  3,467;  6,207;  5,958;;;  5,958;
1645; BAGUARI - 230;; 10,215;  8,071;  9,143;  8,894;;;  8,894;
2920; B. SANTISTA - 230;;  4,930;  0,351;  2,641;  5,359;;;  5,359;
2919; B. SANTISTA - 345;;  5,295;  0,605;  2,950;  5,359;;;  5,359;
10410; BALBINA - 230;;  7,928; 12,705; 10,317; 10,068;;; 10,068;
215; BALSAS - 230;; 10,750; 14,912; 12,831; 12,582;;; 12,582;
222; BANABUIU - 230;; 10,323; 19,518; 14,920; 14,671;;; 14,671;
3909; BANDEIRANTE GO - 345;; 10,086;  6,704;  8,395;  8,146;;;  8,146;
2934; BANDEIRANTE SP - 345;;  4,299;  0,000;  2,150;  5,359;;;  5,359;
1480; BARBACENA - 345;;  8,597;  5,649;  7,123;  6,874;;;  6,874;
11286; BARREIRAS II - 230;;  9,983; 12,011; 10,997; 10,748;;; 10,748;
