GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
AAA MACEDONIA_F1_F2,0,0,0,0,6.294,6.256,6.112,6.234,6.988,6.998,6.978000000000001,6.958000000000001,6.9380000000000015,6.918000000000002,6.898000000000002,6.878000000000003,6.858000000000003,6.838000000000004
EOL ABIL,0,10.528,10.863,10.503,10.816,11.085,11.08,11.457,11.163,11.179,11.159,11.139000000000001,11.119000000000002,11.099000000000002,11.079000000000002,11.059000000000003,11.039000000000003,11.019000000000004
EOL ACACIA,0,10.456,10.793,10.431,10.739,10.999,10.992,11.365,11.069,11.085,11.065000000000001,11.045000000000002,11.025000000000002,11.005000000000003,10.985000000000003,10.965000000000003,10.945000000000004,10.925000000000004
EOL ACARI (RIACHAO I),0,10.042,10.812,11.742,12.84,14.476,14.565,15.065,14.9,14.922,14.902000000000001,14.882000000000001,14.862000000000002,14.842000000000002,14.822000000000003,14.802000000000003,14.782000000000004,14.762000000000004
EOL ACAUA,0,10.528,10.863,10.503,10.816,11.085,11.08,11.457,11.163,11.179,11.159,11.139000000000001,11.119000000000002,11.099000000000002,11.079000000000002,11.059000000000003,11.039000000000003,11.019000000000004
EOL ACAUA I,0,10.986,11.816,12.935,14.043,15.342,15.448,15.908,15.755,15.778,15.758000000000001,15.738000000000001,15.718000000000002,15.698000000000002,15.678000000000003,15.658000000000003,15.638000000000003,15.618000000000004
EOL ACAUA II,0,10.986,11.816,12.935,14.043,15.342,15.448,15.908,15.755,15.778,15.758000000000001,15.738000000000001,15.718000000000002,15.698000000000002,15.678000000000003,15.658000000000003,15.638000000000003,15.618000000000004
EOL ACAUA III,0,10.986,11.816,12.935,14.043,15.342,15.448,15.908,15.755,15.778,15.758000000000001,15.738000000000001,15.718000000000002,15.698000000000002,15.678000000000003,15.658000000000003,15.638000000000003,15.618000000000004
EOL AFONSO BEZERRA I,0,10.878,11.646,12.723,13.797,15.97,16.087,16.533,16.386,16.41,16.39,16.37,16.35,16.330000000000002,16.310000000000002,16.290000000000003,16.270000000000003,16.250000000000004
EOL AFONSO BEZERRA II,0,10.878,11.646,12.723,13.797,15.97,16.087,16.533,16.386,16.41,16.39,16.37,16.35,16.330000000000002,16.310000000000002,16.290000000000003,16.270000000000003,16.250000000000004
EOL AFONSO BEZERRA III,0,10.878,11.646,12.723,13.797,15.97,16.087,16.533,16.386,16.41,16.39,16.37,16.35,16.330000000000002,16.310000000000002,16.290000000000003,16.270000000000003,16.250000000000004
EOL AFONSO BEZERRA IV,0,10.878,11.646,12.723,13.797,15.97,16.087,16.533,16.386,16.41,16.39,16.37,16.35,16.330000000000002,16.310000000000002,16.290000000000003,16.270000000000003,16.250000000000004
EOL ALBATROZ,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ALBUQUERQUE (RIACHAO II),0,10.042,10.812,11.742,12.84,14.476,14.565,15.065,14.9,14.922,14.902000000000001,14.882000000000001,14.862000000000002,14.842000000000002,14.822000000000003,14.802000000000003,14.782000000000004,14.762000000000004
EOL ALEGRIA I(NEW ENERGY),0,10.878,11.646,12.723,13.797,15.828,15.942,16.381,16.233,16.257,16.237000000000002,16.217000000000002,16.197000000000003,16.177000000000003,16.157000000000004,16.137000000000004,16.117000000000004,16.097000000000005
EOL ALEGRIA II(NEW ENERGY),0,10.878,11.646,12.723,13.797,15.828,15.942,16.381,16.233,16.257,16.237000000000002,16.217000000000002,16.197000000000003,16.177000000000003,16.157000000000004,16.137000000000004,16.117000000000004,16.097000000000005
EOL ALTO DOS VENTOS II A,0,0,0,0,0,14.992,15.091,15.63,15.473,15.496,15.476,15.456000000000001,15.436000000000002,15.416000000000002,15.396000000000003,15.376000000000003,15.356000000000003,15.336000000000004
EOL ALTO DOS VENTOS II B,0,0,0,0,0,14.992,15.091,15.63,15.473,15.496,15.476,15.456000000000001,15.436000000000002,15.416000000000002,15.396000000000003,15.376000000000003,15.356000000000003,15.336000000000004
EOL ALVORADA,0,10.554,10.886,10.546,10.868,11.139,11.135,11.515,11.224,11.24,11.22,11.200000000000001,11.180000000000001,11.160000000000002,11.140000000000002,11.120000000000003,11.100000000000003,11.080000000000004
EOL AMESCLA,0,10.165,10.516,10.112,10.391,10.926,10.918,11.288,10.989,11.005,10.985000000000001,10.965000000000002,10.945000000000002,10.925000000000002,10.905000000000003,10.885000000000003,10.865000000000004,10.845000000000004
EOL AMETISTA,0,10.554,10.886,10.546,10.868,11.139,11.135,11.515,11.224,11.24,11.22,11.200000000000001,11.180000000000001,11.160000000000002,11.140000000000002,11.120000000000003,11.100000000000003,11.080000000000004
EOL AMPARO,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ANEMOI (RIACHAO IV),0,10.042,10.812,11.742,12.84,14.476,14.565,15.065,14.9,14.922,14.902000000000001,14.882000000000001,14.862000000000002,14.842000000000002,14.822000000000003,14.802000000000003,14.782000000000004,14.762000000000004
EOL ANEMUS WIND 1,0,10.97,11.795,12.917,14.034,15.342,15.448,15.908,15.755,15.778,15.758000000000001,15.738000000000001,15.718000000000002,15.698000000000002,15.678000000000003,15.658000000000003,15.638000000000003,15.618000000000004
EOL ANEMUS WIND 2,0,10.97,11.795,12.917,14.034,15.342,15.448,15.908,15.755,15.778,15.758000000000001,15.738000000000001,15.718000000000002,15.698000000000002,15.678000000000003,15.658000000000003,15.638000000000003,15.618000000000004
EOL ANEMUS WIND 3,0,10.97,11.795,12.917,14.034,15.342,15.448,15.908,15.755,15.778,15.758000000000001,15.738000000000001,15.718000000000002,15.698000000000002,15.678000000000003,15.658000000000003,15.638000000000003,15.618000000000004
EOL ANGELIM,0,10.165,10.516,10.112,10.391,10.882,10.873,11.24,10.941,10.957,10.937000000000001,10.917000000000002,10.897000000000002,10.877000000000002,10.857000000000003,10.837000000000003,10.817000000000004,10.797000000000004
EOL ANGICAL,0,10.528,10.863,10.503,10.816,11.085,11.08,11.457,11.163,11.179,11.159,11.139000000000001,11.119000000000002,11.099000000000002,11.079000000000002,11.059000000000003,11.039000000000003,11.019000000000004
EOL ANGICAL 2,0,10.528,10.863,10.503,10.816,11.085,11.08,11.457,11.163,11.179,11.159,11.139000000000001,11.119000000000002,11.099000000000002,11.079000000000002,11.059000000000003,11.039000000000003,11.019000000000004
