NÚMERO;NOME;TIPO;MUSTg;TUSTg;MUSTc-P;TUSTcP;MUSTc-FP;TUSTc-FP;EUSTg;EUSTc-P;EUSTc-FP;SM
;;; (MW); (R$/kW.mês); (MW); (R$/kW.mês); (MW); (R$/kW.mês); (1000R$/ano); (1000R$/ano); (1000R$/ano)
7739;EEAB--GO138; ;;9,282;;7,122;;6,779;;;;2
98251;U.LASA-ES13;U;;;;8,091;;7,814;;;;2
1168;14JUL-UHE002; ;;8,376;;7,559;;8,243;;;;1
1153;14JULH-RS230; ;;8,376;;7,559;;8,243;;;;1
2338;2CORRE-SP138; ;;6,744;13,9;8,346;14,0;8,373;;1397,16;1406,69;2
1184;2IRMAO-RS138; ;;7,362;;8,048;;8,840;;;;1
2627;2VENDA-ES069; ;;7,399;;8,030;;7,751;;;;2
7632;3.LAG2-SP138; ;;9,273;;7,126;;6,964;;;;2
3901;3.LAGO-SP138; ;;9,261;;7,132;;6,971;;;;2
1290;3COROA-RS138; ;;7,530;;7,967;;8,739;;;;1
3900;3IRMA--SP138; ;;9,393;;7,068;;6,891;;;;2
543;3IRMAO-SP138;U;;;6,9;7,068;10,0;6,891;;585,21;826,94;2
542;3IRMAO-SP440;B;803,3;9,561;;6,987;;6,794;92166,11;;;2
520;3IRMAOUHE005; ;;9,561;;6,987;;6,794;;;;2
17632;3L2-1Y-SP138; ;;9,273;;7,126;;6,964;;;;2
27632;3L2-2Y-SP138; ;;9,273;;7,126;;6,964;;;;2
1903;3LA-1Y-SP138; ;;9,262;47,0;7,131;53,0;6,971;;4021,98;4433,50;2
1940;3LA-2Y-SP138; ;;9,271;;7,126;;6,963;;;;2
2253;3M-----SP069; ;;6,958;;8,243;;8,266;;;;2
4970;3MAIO--MT138; ;;11,165;;6,212;;5,923;;;;2
4991;3MAIO-PCH013;U;;;;6,212;;5,923;;;;2
2246;3PONTA-SP138; ;;6,766;;8,336;;8,328;;;;2
4609;7QUED-PCH013;U;;;;6,544;;6,232;;;;2
96495;A. BELAS-138; ;;10,317;;6,622;;6,103;;;;3
96891;A.BONITA-GER;U;;;;7,884;;7,956;;;;2
1696;A.BRAN-RJ138; ;;7,049;;8,199;;8,074;;;;2
4973;A.FLOR-MT138; ;;11,356;;6,120;;5,806;;;;2
1638;A.FRAN-RJ138; ;;7,005;;8,220;;8,089;;;;2
1608;A.GRAN-RJ138; ;;6,963;;8,240;;8,114;;;;2
98361;A.INGAZEI138; ;;8,910;;7,301;;7,033;;;;3
2609;A.LAGE-ES138; ;;7,239;;8,107;;7,841;;;;2
97639;A.MACHA2-138; ;;8,728;;7,389;;7,322;;;;2
