BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    6,390
1206; AG.LINDAS230;    9,409
251; ACU II - 230;   11,467
11265; ACU III - 230;   11,281
11565; ACU III - 500;   11,102
7747; ABDON BATISTA - 230;    7,994
7744; ABDON BATISTA - 525;    7,440
9537; ABUNA - 230;    5,168
559; ACAILANDIA - 500;   10,505
55412; ACARAU II – 230;   10,201
12907; ACARAT CE - 230;   10,205
12902; ACARAT-CE500;   10,229
4475; ACESITA - 230;    7,845
3729; ADRIANOPOLIS - 345;    8,273
3728; ADRIANOPOLIS - 500;    8,521
1637; AIMORES - 230;    9,953
11760; ALAGOAS 2 - 230;    7,848
9002; ALEGRETE2 - 230;    7,057
56095; ALEX - 230;   11,334
362; ALTAMIRA - 230;    9,550
7758; ANASTACIO - 230;    7,654
2770; ANDIRA LESTE - 230;    7,019
540; ANGELIM - 500;    9,747
240; ANGELIM - 230;    9,608
3745; ANGRA - 500;    9,322
1172; ANHANGUERA GO - 230;    8,913
2901; ANHANGUERA SP - 230;    5,168
2900; ANHANGUERA - 345;    5,168
2957; APARECIDA - 230;    7,880
2758; ALTA PAULISTA - 400;    8,757
6601; APUCARANA - 230;    6,680
58771; LAGOA BARRO - 230;   11,101
11219; AQUIRAZ - 230;    9,260
1522; ARACUAI - 230;   12,227
11242; ARAPIRACA III - 230;    6,123
5203; ARARAQUARA 2 - 440;    8,255
5202; ARARAQUARA 2 - 500;    8,696
2630; ARARAQUARA - 440;    7,828
3852; ARARAQUARA - 500;    8,608
2673; ARARAS SP - 440;    6,921
38906; ARAXA 3 - 345;    9,811
12203; ARCOVERDE II - 230;    9,775
7749; AREIA - 230;    7,572
7748; AREIA - 525;    7,787
39813; ARINOS 2 - 500;   11,622
9520; ARIQUEMES - 230;    5,168
302; MOXOTO - 230;   10,855
2624; ASSIS - 440;    8,113
4282; ASSIS - 525;    7,955
2626; ASSIS 2 - 230;    7,759
2677; ATIBAIA 2 - 345;    5,490
7923; ATLANTIDA 2 - 230;    6,707
2786; AVARE - 230;    5,168
2617; AGUA VERMELHA - 500;    9,826
2618; AGUA VERMELHA - 440;    9,617
3947; BARRO ALTO - 230;   10,686
3605; BARRO BRANCO - 345;    8,448
4297; B. DOS COQUEIROS - 230;   11,667
229; B.ESPERANCA - 230;    9,861
4288; B. FLUMINENSE - 500;    8,965
7304; BARRA GRANDE - 230;    8,450
6608; BAIXO IGUACU PR - 230;    8,671
11050; B.JESUS II - 230;   10,128
3236; BARRA PEIXE - 230;    8,807
13103; BACAB - MA - 500;   10,227
9010; BAGE 2 - 230;    7,333
2733; BAGUACU - 440;    8,248
1645; BAGUARI - 230;   10,020
2920; B. SANTISTA - 230;    5,168
2919; B. SANTISTA - 345;    5,168
10410; BALBINA - 230;    7,752
215; BALSAS - 230;   10,403
222; BANABUIU - 230;   10,110
3909; BANDEIRANTE GO - 345;    9,746
2934; BANDEIRANTE SP - 345;    5,168
1480; BARBACENA - 345;    8,087
11286; BARREIRAS II - 230;    9,807
286; BARREIRAS - 230;    9,381
1482; BARREIRO - 345;    8,708
846; BARREIRAS - 500;   11,199
