BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
 2840; AGUA AZUL - 138                                                      ;   17,783;         ;         ;         
2840; AGUA AZUL - 138;   17,783;;;
30951; AGUA AZUL - 440                                                      ;   17,497;         ;         ;         
30951; AGUA AZUL - 440;   17,497;;;
 1206; AG.LINDAS230                                                         ;   13,909;         ;         ;         
1206; AG.LINDAS230;   13,909;;;
 1943; ANGRA AMPLA - 138                                                    ;   14,953;         ;         ;         
1943; ANGRA AMPLA - 138;   14,953;;;
  151; ACU II - 138                                                         ;   12,119;         ;         ;         
151; ACU II - 138;   12,119;;;
  251; ACU II - 230                                                         ;   12,119;         ;         ;         
251; ACU II - 230;   12,119;;;
11265; ACU III - 230                                                        ;   12,319;         ;         ;         
11265; ACU III - 230;   12,319;;;
11565; ACU III - 500                                                        ;   12,451;         ;         ;         
11565; ACU III - 500;   12,451;;;
  600; ABAIXADORA - 69                                                      ;   13,076;         ;         ;         
600; ABAIXADORA - 69;   13,076;;;
 7747; ABDON BATISTA - 230                                                  ;   15,984;         ;         ;         
7747; ABDON BATISTA - 230;   15,984;;;
 7744; ABDON BATISTA - 525                                                  ;   16,555;         ;         ;         
7744; ABDON BATISTA - 525;   16,555;;;
 9590; ABUNA - 13,8                                                         ;   21,378;         ;         ;         
9590; ABUNA - 13,8;   21,378;;;
 9636; ABUNA - 138                                                          ;   21,378;         ;         ;         
9636; ABUNA - 138;   21,378;;;
 9537; ABUNA - 230                                                          ;   21,378;         ;         ;         
9537; ABUNA - 230;   21,378;;;
  559; ACAILANDIA - 500                                                     ;   13,084;         ;         ;         
559; ACAILANDIA - 500;   13,084;;;
55412; ACARAU II – 230                                                      ;   13,415;         ;         ;         
55412; ACARAU II – 230;   13,415;;;
12907; ACARAT CE - 230                                                      ;   13,410;         ;         ;         
12907; ACARAT CE - 230;   13,410;;;
12902; ACARAT-CE500                                                         ;   13,384;         ;         ;         
12902; ACARAT-CE500;   13,384;;;
 4475; ACESITA - 230                                                        ;   15,840;         ;         ;         
4475; ACESITA - 230;   15,840;;;
 3155; EMPLAL - 138                                                         ;   14,543;         ;         ;         
3155; EMPLAL - 138;   14,543;;;
 3730; ADRIANOPOLIS - 138                                                   ;   15,533;         ;         ;         
3730; ADRIANOPOLIS - 138;   15,533;;;
 3729; ADRIANOPOLIS - 345                                                   ;   15,474;         ;         ;         
3729; ADRIANOPOLIS - 345;   15,474;;;
 3728; ADRIANOPOLIS - 500                                                   ;   15,230;         ;         ;         
3728; ADRIANOPOLIS - 500;   15,230;;;
 3031; AGUAI - 138                                                          ;   16,918;         ;         ;         
3031; AGUAI - 138;   16,918;;;
 1637; AIMORES - 230                                                        ;   13,664;         ;         ;         
1637; AIMORES - 230;   13,664;;;
 2336; AJINOMOTO VAL - 138                                                  ;   14,987;         ;         ;         
2336; AJINOMOTO VAL - 138;   14,987;;;
18761; ALAGOINHA 2 - 69                                                     ;   15,846;         ;         ;         
18761; ALAGOINHA 2 - 69;   15,846;;;
11760; ALAGOAS 2 - 230                                                      ;   15,846;         ;         ;         
11760; ALAGOAS 2 - 230;   15,846;;;
 7591; ALEGRETE2 - 69                                                       ;   17,032;         ;         ;         
7591; ALEGRETE2 - 69;   17,032;;;
 9002; ALEGRETE2 - 230                                                      ;   17,032;         ;         ;         
9002; ALEGRETE2 - 230;   17,032;;;
56095; ALEX - 230                                                           ;   12,244;         ;         ;         
56095; ALEX - 230;   12,244;;;
  862; ALTAMIRA - 69                                                        ;   14,123;         ;         ;         
862; ALTAMIRA - 69;   14,123;;;
  362; ALTAMIRA - 230                                                       ;   14,123;         ;         ;         
362; ALTAMIRA - 230;   14,123;;;
 2219; AMPARO - 138                                                         ;   17,552;         ;         ;         
2219; AMPARO - 138;   17,552;;;
46950; ANASTACIO - 138                                                      ;   16,046;         ;         ;         
46950; ANASTACIO - 138;   16,046;;;
 7758; ANASTACIO - 230                                                      ;   16,191;         ;         ;         
7758; ANASTACIO - 230;   16,191;;;
 2770; ANDIRA LESTE - 230                                                   ;   16,859;         ;         ;         
2770; ANDIRA LESTE - 230;   16,859;;;
 6834; ANDIRA LESTE - 138                                                   ;   16,990;         ;         ;         
6834; ANDIRA LESTE - 138;   16,990;;;
 3132; ANDRADINA - 138                                                      ;   14,586;         ;         ;         
3132; ANDRADINA - 138;   14,586;;;
  540; ANGELIM - 500                                                        ;   13,854;         ;         ;         
540; ANGELIM - 500;   13,854;;;
  640; ANGELIM - 69                                                         ;   13,999;         ;         ;         
640; ANGELIM - 69;   13,999;;;
  240; ANGELIM - 230                                                        ;   13,999;         ;         ;         
240; ANGELIM - 230;   13,999;;;
 3746; ANGRA 1 - 138                                                        ;   14,745;         ;         ;         
3746; ANGRA 1 - 138;   14,745;;;
 3745; ANGRA - 500                                                          ;   14,390;         ;         ;         
3745; ANGRA - 500;   14,390;;;
 1185; ANHANGUERA - 69                                                      ;   14,824;         ;         ;         
1185; ANHANGUERA - 69;   14,824;;;
 1171; ANHANGUERA - 138                                                     ;   14,813;         ;         ;         
1171; ANHANGUERA - 138;   14,813;;;
 1172; ANHANGUERA GO - 230                                                  ;   14,824;         ;         ;         
1172; ANHANGUERA GO - 230;   14,824;;;
 2901; ANHANGUERA SP - 230                                                  ;   20,304;         ;         ;         
2901; ANHANGUERA SP - 230;   20,304;;;
 2900; ANHANGUERA - 345                                                     ;   19,974;         ;         ;         
2900; ANHANGUERA - 345;   19,974;;;
 2958; APARECIDA - 88                                                       ;   15,940;         ;         ;         
2958; APARECIDA - 88;   15,940;;;
 2957; APARECIDA - 230                                                      ;   15,939;         ;         ;         
2957; APARECIDA - 230;   15,939;;;
 2758; ALTA PAULISTA - 400                                                  ;   14,980;         ;         ;         
2758; ALTA PAULISTA - 400;   14,980;;;
 6818; APUCARANA - 138                                                      ;   17,161;         ;         ;         
6818; APUCARANA - 138;   17,161;;;
 6601; APUCARANA - 230                                                      ;   17,260;         ;         ;         
6601; APUCARANA - 230;   17,260;;;
58771; LAGOA BARRO - 230                                                    ;   12,425;         ;         ;         
58771; LAGOA BARRO - 230;   12,425;;;
11619; AQUIRAZ II - 69                                                      ;   14,418;         ;         ;         
11619; AQUIRAZ II - 69;   14,418;;;
11219; AQUIRAZ - 230                                                        ;   14,418;         ;         ;         
11219; AQUIRAZ - 230;   14,418;;;
 2329; ARACATUBA - 138                                                      ;   15,444;         ;         ;         
2329; ARACATUBA - 138;   15,444;;;
 1647; ARACUAI 2 - 138                                                      ;   11,241;         ;         ;         
1647; ARACUAI 2 - 138;   11,241;;;
 1522; ARACUAI - 230                                                        ;   11,280;         ;         ;         
1522; ARACUAI - 230;   11,280;;;
17502; ARAPIRACA III - 69                                                   ;   17,629;         ;         ;         
17502; ARAPIRACA III - 69;   17,629;;;
11242; ARAPIRACA III - 230                                                  ;   17,629;         ;         ;         
11242; ARAPIRACA III - 230;   17,629;;;
 3033; ARARAS 2 - 138                                                       ;   16,795;         ;         ;         
3033; ARARAS 2 - 138;   16,795;;;
 5203; ARARAQUARA 2 - 440                                                   ;   15,514;         ;         ;         
5203; ARARAQUARA 2 - 440;   15,514;;;
 5202; ARARAQUARA 2 - 500                                                   ;   15,055;         ;         ;         
5202; ARARAQUARA 2 - 500;   15,055;;;
 2631; ARARAQUARA CTP - 138                                                 ;   15,936;         ;         ;         
2631; ARARAQUARA CTP - 138;   15,936;;;
 2630; ARARAQUARA - 440                                                     ;   15,959;         ;         ;         
2630; ARARAQUARA - 440;   15,959;;;
 3852; ARARAQUARA - 500                                                     ;   15,157;         ;         ;         
3852; ARARAQUARA - 500;   15,157;;;
 2673; ARARAS SP - 440                                                      ;   16,911;         ;         ;         
2673; ARARAS SP - 440;   16,911;;;
 3032; ARARAS 1 - 138                                                       ;   16,762;         ;         ;         
3032; ARARAS 1 - 138;   16,762;;;
38907; ARAXA 3 - 138                                                        ;   13,816;         ;         ;         
