Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
30951; AGUA AZUL - 440;;  6,967;;  6,967;  6,952;;;  6,952;
1206; AG.LINDAS230;; 10,054;; 10,054; 10,039;;; 10,039;
251; ACU II - 230;; 11,765;; 11,765; 11,749;;; 11,749;
11265; ACU III - 230;; 11,562;; 11,562; 11,547;;; 11,547;
11565; ACU III - 500;; 11,428;; 11,428; 11,413;;; 11,413;
7747; ABDON BATISTA - 230;;  8,215;;  8,215;  8,199;;;  8,199;
7744; ABDON BATISTA - 525;;  7,684;;  7,684;  7,668;;;  7,668;
9537; ABUNA - 230;;  2,364;;  2,364;  5,357;;;  5,357;
559; ACAILANDIA - 500;; 10,865;; 10,865; 10,850;;; 10,850;
55412; ACARAU II – 230;; 10,479;; 10,479; 10,463;;; 10,463;
12907; ACARAT CE - 230;; 10,484;; 10,484; 10,468;;; 10,468;
12902; ACARAT-CE500;; 10,511;; 10,511; 10,496;;; 10,496;
4475; ACESITA - 230;;  8,156;;  8,156;  8,141;;;  8,141;
3729; ADRIANOPOLIS - 345;;  8,873;;  8,873;  8,858;;;  8,858;
3728; ADRIANOPOLIS - 500;;  9,248;;  9,248;  9,233;;;  9,233;
1637; AIMORES - 230;; 10,326;; 10,326; 10,310;;; 10,310;
11760; ALAGOAS 2 - 230;;  7,990;;  7,990;  7,974;;;  7,974;
9002; ALEGRETE2 - 230;;  7,103;;  7,103;  7,088;;;  7,088;
56095; ALEX - 230;; 11,630;; 11,630; 11,615;;; 11,615;
362; ALTAMIRA - 230;;  9,846;;  9,846;  9,831;;;  9,831;
7758; ANASTACIO - 230;;  7,984;;  7,984;  7,969;;;  7,969;
2770; ANDIRA LESTE - 230;;  7,482;;  7,482;  7,467;;;  7,467;
540; ANGELIM - 500;; 10,013;; 10,013;  9,998;;;  9,998;
240; ANGELIM - 230;;  9,867;;  9,867;  9,852;;;  9,852;
3745; ANGRA - 500;; 10,076;; 10,076; 10,061;;; 10,061;
1172; ANHANGUERA GO - 230;;  9,185;;  9,185;  9,169;;;  9,169;
2901; ANHANGUERA SP - 230;;  4,129;;  4,129;  5,357;;;  5,357;
2900; ANHANGUERA - 345;;  4,464;;  4,464;  5,357;;;  5,357;
2957; APARECIDA - 230;;  8,468;;  8,468;  8,453;;;  8,453;
2758; ALTA PAULISTA - 400;;  9,423;;  9,423;  9,408;;;  9,408;
6601; APUCARANA - 230;;  7,023;;  7,023;  7,008;;;  7,008;
58771; LAGOA BARRO - 230;; 11,449;; 11,449; 11,434;;; 11,434;
11219; AQUIRAZ - 230;;  9,425;;  9,425;  9,410;;;  9,410;
1522; ARACUAI - 230;; 12,286;; 12,286; 12,271;;; 12,271;
11242; ARAPIRACA III - 230;;  6,214;;  6,214;  6,199;;;  6,199;
5203; ARARAQUARA 2 - 440;;  9,015;;  9,015;  9,000;;;  9,000;
5202; ARARAQUARA 2 - 500;;  9,510;;  9,510;  9,495;;;  9,495;
2630; ARARAQUARA - 440;;  8,543;;  8,543;  8,527;;;  8,527;
3852; ARARAQUARA - 500;;  9,273;;  9,273;  9,258;;;  9,258;
2673; ARARAS SP - 440;;  7,574;;  7,574;  7,558;;;  7,558;
38906; ARAXA 3 - 345;; 10,345;; 10,345; 10,330;;; 10,330;
12203; ARCOVERDE II - 230;; 10,042;; 10,042; 10,027;;; 10,027;
7749; AREIA - 230;;  7,859;;  7,859;  7,844;;;  7,844;
7748; AREIA - 525;;  8,036;;  8,036;  8,021;;;  8,021;
39813; ARINOS 2 - 500;; 11,741;; 11,741; 11,726;;; 11,726;
9520; ARIQUEMES - 230;;  3,412;;  3,412;  5,357;;;  5,357;
302; MOXOTO - 230;; 11,170;; 11,170; 11,155;;; 11,155;
2624; ASSIS - 440;;  8,682;;  8,682;  8,667;;;  8,667;
4282; ASSIS - 525;;  8,400;;  8,400;  8,384;;;  8,384;
2626; ASSIS 2 - 230;;  8,285;;  8,285;  8,269;;;  8,269;
2677; ATIBAIA 2 - 345;;  6,010;;  6,010;  5,995;;;  5,995;
7923; ATLANTIDA 2 - 230;;  6,858;;  6,858;  6,843;;;  6,843;
2786; AVARE - 230;;  5,597;;  5,597;  5,581;;;  5,581;
2617; AGUA VERMELHA - 500;; 10,367;; 10,367; 10,352;;; 10,352;
2618; AGUA VERMELHA - 440;; 10,311;; 10,311; 10,296;;; 10,296;
3947; BARRO ALTO - 230;; 11,937;; 11,937; 11,922;;; 11,922;
3605; BARRO BRANCO - 345;;  8,935;;  8,935;  8,919;;;  8,919;
4297; B. DOS COQUEIROS - 230;; 12,286;; 12,286; 12,270;;; 12,270;
229; B.ESPERANCA - 230;; 10,119;; 10,119; 10,103;;; 10,103;
4288; B. FLUMINENSE - 500;;  9,676;;  9,676;  9,660;;;  9,660;
7304; BARRA GRANDE - 230;;  8,654;;  8,654;  8,638;;;  8,638;
6608; BAIXO IGUACU PR - 230;;  9,043;;  9,043;  9,028;;;  9,028;
11050; B.JESUS II - 230;; 10,347;; 10,347; 10,332;;; 10,332;
3236; BARRA PEIXE - 230;;  8,982;;  8,982;  8,967;;;  8,967;
13103; BACAB - MA - 500;; 10,533;; 10,533; 10,518;;; 10,518;
9010; BAGE 2 - 230;;  7,488;;  7,488;  7,473;;;  7,473;
2733; BAGUACU - 440;;  8,918;;  8,918;  8,903;;;  8,903;
1645; BAGUARI - 230;; 10,227;; 10,227; 10,212;;; 10,212;
2920; B. SANTISTA - 230;;  4,899;;  4,899;  5,357;;;  5,357;
2919; B. SANTISTA - 345;;  5,266;;  5,266;  5,357;;;  5,357;
10410; BALBINA - 230;;  7,927;;  7,927;  7,912;;;  7,912;
215; BALSAS - 230;; 10,759;; 10,759; 10,744;;; 10,744;
222; BANABUIU - 230;; 10,331;; 10,331; 10,315;;; 10,315;
3909; BANDEIRANTE GO - 345;; 10,076;; 10,076; 10,061;;; 10,061;
2934; BANDEIRANTE SP - 345;;  4,268;;  4,268;  5,357;;;  5,357;
1480; BARBACENA - 345;;  8,614;;  8,614;  8,599;;;  8,599;
11286; BARREIRAS II - 230;;  9,991;;  9,991;  9,976;;;  9,976;
286; BARREIRAS - 230;;  9,539;;  9,539;  9,523;;;  9,523;
1482; BARREIRO - 345;;  9,170;;  9,170;  9,154;;;  9,154;
846; BARREIRAS - 500;; 11,457;; 11,457; 11,442;;; 11,442;
6627; BATEIAS - 230;;  6,930;;  6,930;  6,915;;;  6,915;
3696; BATEIAS 3 - 500;;  7,446;;  7,446;  7,430;;;  7,430;
6628; BATEIAS - 525;;  7,554;;  7,554;  7,538;;;  7,538;
2628; BAURU SP - 440;;  7,864;;  7,864;  7,849;;;  7,849;
1612; BARAO DE COCAIS 3 - 230;;  8,448;;  8,448;  8,433;;;  8,433;
1485; B.DESPACHO - 500;; 10,248;; 10,248; 10,233;;; 10,233;
529; B.ESPERANCA - 500;; 10,979;; 10,979; 10,964;;; 10,964;
26454; BETIM 6 -345;;  9,427;;  9,427;  9,411;;;  9,411;
7740; BAIXO IGUACU SC - 230;;  6,162;;  6,162;  6,147;;;  6,147;
7741; BIGUACU--525;;  7,032;;  7,032;  7,016;;;  7,016;
2638; BOM JARDIM - 440;;  7,190;;  7,190;  7,175;;;  7,175;
385; B.J.LAPA II - 230;; 11,511;; 11,511; 11,495;;; 11,495;
585; BJLAPAII - 500;; 11,572;; 11,572; 11,557;;; 11,557;
285; B.J.LAPA - 230;; 11,511;; 11,511; 11,495;;; 11,495;
35351; BRASILIA LESTE - 500;; 10,674;; 10,674; 10,658;;; 10,658;
7734; BLUMENAU - 230;;  6,378;;  6,378;  6,363;;;  6,363;
7733; BLUMENAU - 525;;  7,019;;  7,019;  7,003;;;  7,003;
220; BOM NOME - 230;; 11,150;; 11,150; 11,134;;; 11,134;
243; BONGI - 230;;  7,857;;  7,857;  7,842;;;  7,842;
2777; BOTUCATU - 230;;  5,836;;  5,836;  5,821;;;  5,821;
3936; BRASILIA GERAL - 230;;  9,238;;  9,238;  9,223;;;  9,223;
3920; BRAS. SUL - 230;;  9,647;;  9,647;  9,631;;;  9,631;
3919; BRAS. SUL -345;; 10,176;; 10,176; 10,161;;; 10,161;
3300; BRASNORTE - 230;;  9,229;;  9,229;  9,214;;;  9,214;
1600; BRAUNA - 230;;  9,919;;  9,919;  9,903;;;  9,903;
205; BROT.MACAUBAS - 230;; 11,929;; 11,929; 11,914;;; 11,914;
376; BRUMADO II - 230;;  8,641;;  8,641;  8,626;;;  8,626;
12318; BURITIRAMA - 500;; 11,611;; 11,611; 11,596;;; 11,596;
38913; HELIO VALGAS MG - 345;; 11,903;; 11,903; 11,887;;; 11,887;
9266; CRUZ ALTA 2 - 230;;  7,447;;  7,447;  7,432;;;  7,432;
4481; CANA BRAVA - 230;; 12,203;; 12,203; 12,188;;; 12,188;
6615; C.COMPRIDO - 230;;  6,729;;  6,729;  6,714;;;  6,714;
270; CIC.DANTAS - 230;;  9,843;;  9,843;  9,827;;;  9,827;
11461; CAMPO FORMOSO - 230;; 11,371;; 11,371; 11,355;;; 11,355;
9020; C.INDUSTRIAL - 230;;  6,986;;  6,986;  6,970;;;  6,970;
236; COELHO NETO - 230;;  8,144;;  8,144;  8,129;;;  8,129;
11253; CURRAIS NOVOS II - 230;; 11,033;; 11,033; 11,017;;; 11,017;
3720; C. PAULISTA - 500;;  9,844;;  9,844;  9,829;;;  9,829;
38871; CACU - 230;; 12,286;; 12,286; 12,270;;; 12,270;
2649; CABREUVA - 230;;  5,557;;  5,557;  5,542;;;  5,542;
2647; CABREUVA - 440;;  6,632;;  6,632;  6,617;;;  6,617;
58008; CAETES II - 230;; 10,042;; 10,042; 10,027;;; 10,027;
51457; CAMAQUA 3 - 230;;  7,255;;  7,255;  7,240;;;  7,240;
574; CAMACARI - 500;;  9,151;;  9,151;  9,136;;;  9,136;
284; CAMACARI IV - 230;;  8,353;;  8,353;  8,337;;;  8,337;
584; CAMACARI IV - 500;;  9,115;;  9,115;  9,100;;;  9,100;
9030; CAMAQUA - 230;;  7,105;;  7,105;  7,089;;;  7,089;
3701; CAMPINAS - 345;;  6,840;;  6,840;  6,825;;;  6,825;
3700; CAMPINAS - 500;;  8,187;;  8,187;  8,172;;;  8,172;
38951; CAMPOS 2 - 500;;  9,836;;  9,836;  9,821;;;  9,821;
9015; CAMPO BOM - 230;;  6,248;;  6,248;  6,232;;;  6,232;
3785; CAMPOS - 345;; 10,034;; 10,034; 10,019;;; 10,019;
38873; CANARANA CMT - 230;;  6,594;;  6,594;  6,579;;;  6,579;
9283; CANDELARIA 2 - 230;;  7,887;;  7,887;  7,872;;;  7,872;
9040; CANDIOTA 2 - 230;;  7,788;;  7,788;  7,772;;;  7,772;
7753; CANDIOTA 2 - 525;;  7,756;;  7,756;  7,740;;;  7,740;
50209; CANDIOTA - 230;;  7,788;;  7,788;  7,773;;;  7,773;
9045; CANOA 1 - 230;;  6,763;;  6,763;  6,747;;;  6,747;
9050; CANOAS 2 - 230;;  7,583;;  7,583;  7,568;;;  7,568;
7778; CANOINHA - 230;;  5,498;;  5,498;  5,483;;;  5,483;
50215; CAPIVARI-230;;  7,256;;  7,256;  7,241;;;  7,241;
50212; CAPIVARI-525;;  7,392;;  7,392;  7,377;;;  7,377;
2622; CAPIVARA - 440;;  9,143;;  9,143;  9,128;;;  9,128;
1202; CARAJAS GO - 230;;  9,118;;  9,118;  9,103;;;  9,103;
916; CARAJAS PA - 230;; 10,101;; 10,101; 10,086;;; 10,086;
2966; CARBOCLORO - 230;;  4,772;;  4,772;  5,357;;;  5,357;
6624; CASCAVEL - 230;;  7,642;;  7,642;  7,627;;;  7,627;
44900; CASCAVEL NORT - 230;;  7,547;;  7,547;  7,532;;;  7,532;
6625; CASCAVEL OESTE - 230;;  7,876;;  7,876;  7,861;;;  7,861;
6626; CASCAVOE - 525;;  8,245;;  8,245;  8,230;;;  8,230;
6762; CAMPO ASSOBIO - 230;;  6,367;;  6,367;  6,352;;;  6,352;
235; CASTANHA - 230;;  8,218;;  8,218;  8,203;;;  8,203;
51704; CASTERTECH - 230;;  6,658;;  6,658;  6,643;;;  6,643;
7023; CASTRO NORTE - 230;;  6,366;;  6,366;  6,350;;;  6,350;
272; CATU - 230;;  7,788;;  7,788;  7,773;;;  7,773;
218; CAIUPE - 230;;  9,310;;  9,310;  9,295;;;  9,295;
9062; CAXIAS SUL 2 - 230;;  6,650;;  6,650;  6,634;;;  6,634;
9065; CAXIAS 5 -230;;  6,726;;  6,726;  6,711;;;  6,711;
9066; CAXIAS 6 - 230;;  6,678;;  6,678;  6,662;;;  6,662;
46948; CAXIAS - 230;;  7,032;;  7,032;  7,016;;;  7,016;
46947; CAXIAS NORTE - 525;;  7,427;;  7,427;  7,412;;;  7,412;
9060; CAXIAS NORTE - 230;;  6,834;;  6,834;  6,818;;;  6,818;
7751; CAXIAS RS - 525;;  7,323;;  7,323;  7,308;;;  7,308;
4532; CBA - 230;;  5,557;;  5,557;  5,542;;;  5,542;
2672; CBA TERM - 440;;  5,979;;  5,979;  5,963;;;  5,963;
7299; CBA LESTE - 230;;  7,006;;  7,006;  6,991;;;  6,991;
7300; CBA LESTE - 525;;  7,439;;  7,439;  7,424;;;  7,424;
44655; CURITIBA NORT - 230;;  6,575;;  6,575;  6,560;;;  6,560;
2802; CAPAO BONITO - 230;;  3,703;;  3,703;  5,357;;;  5,357;
1153; CACHOEIRA DOURADA - 230;; 11,458;; 11,458; 11,443;;; 11,443;
2941; TR.CENTRO 1 - 230;;  3,524;;  3,524;  5,357;;;  5,357;
2942; TR.CENTRO 2 - 230;;  3,524;;  3,524;  5,357;;;  5,357;
2943; CENTRO - 230;;  3,212;;  3,212;  5,357;;;  5,357;
44906; CERQUILHO 3 - 230;;  4,720;;  4,720;  5,357;;;  5,357;
39850; CAMPO GRANDE II - 230;;  8,772;;  8,772;  8,757;;;  8,757;
