GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
AAA MACEDONIA_F1_F2,0,0,0,0,8.72,9.026,8.972,9.216,9.698,9.712,9.692,9.672,9.652000000000001,9.632000000000001,9.612000000000002,9.592000000000002,9.572000000000003,9.552000000000003
EOL ABIL,0,10.528,10.847,10.616,10.932,11.43,11.491,11.912,11.7,11.717,11.697000000000001,11.677000000000001,11.657000000000002,11.637000000000002,11.617000000000003,11.597000000000003,11.577000000000004,11.557000000000004
EOL ACACIA,0,10.456,10.787,10.559,10.873,11.369,11.428,11.847,11.634,11.651,11.631,11.611,11.591000000000001,11.571000000000002,11.551000000000002,11.531000000000002,11.511000000000003,11.491000000000003
EOL ACARI (RIACHAO I),0,10.042,9.038,9.035,9.213,10.197,10.249,10.625,10.494,10.509,10.489,10.469000000000001,10.449000000000002,10.429000000000002,10.409000000000002,10.389000000000003,10.369000000000003,10.349000000000004
EOL ACAUA,0,10.528,10.847,10.616,10.932,11.43,11.491,11.912,11.7,11.717,11.697000000000001,11.677000000000001,11.657000000000002,11.637000000000002,11.617000000000003,11.597000000000003,11.577000000000004,11.557000000000004
EOL ACAUA I,0,10.986,10.064,10.232,10.424,10.873,10.938,11.316,11.193,11.209,11.189,11.169,11.149000000000001,11.129000000000001,11.109000000000002,11.089000000000002,11.069000000000003,11.049000000000003
EOL ACAUA II,0,10.986,10.064,10.232,10.424,10.873,10.938,11.316,11.193,11.209,11.189,11.169,11.149000000000001,11.129000000000001,11.109000000000002,11.089000000000002,11.069000000000003,11.049000000000003
EOL ACAUA III,0,10.986,10.064,10.232,10.424,10.873,10.938,11.316,11.193,11.209,11.189,11.169,11.149000000000001,11.129000000000001,11.109000000000002,11.089000000000002,11.069000000000003,11.049000000000003
EOL AFONSO BEZERRA I,0,10.878,9.942,10.1,10.286,11.498,11.574,11.963,11.845,11.862,11.842,11.822000000000001,11.802000000000001,11.782000000000002,11.762000000000002,11.742000000000003,11.722000000000003,11.702000000000004
EOL AFONSO BEZERRA II,0,10.878,9.942,10.1,10.286,11.498,11.574,11.963,11.845,11.862,11.842,11.822000000000001,11.802000000000001,11.782000000000002,11.762000000000002,11.742000000000003,11.722000000000003,11.702000000000004
EOL AFONSO BEZERRA III,0,10.878,9.942,10.1,10.286,11.498,11.574,11.963,11.845,11.862,11.842,11.822000000000001,11.802000000000001,11.782000000000002,11.762000000000002,11.742000000000003,11.722000000000003,11.702000000000004
EOL AFONSO BEZERRA IV,0,10.878,9.942,10.1,10.286,11.498,11.574,11.963,11.845,11.862,11.842,11.822000000000001,11.802000000000001,11.782000000000002,11.762000000000002,11.742000000000003,11.722000000000003,11.702000000000004
EOL ALBATROZ,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ALBUQUERQUE (RIACHAO II),0,10.042,9.038,9.035,9.213,10.197,10.249,10.625,10.494,10.509,10.489,10.469000000000001,10.449000000000002,10.429000000000002,10.409000000000002,10.389000000000003,10.369000000000003,10.349000000000004
EOL ALEGRIA I(NEW ENERGY),0,10.878,9.942,10.1,10.286,11.394,11.467,11.851,11.732,11.749,11.729000000000001,11.709000000000001,11.689000000000002,11.669000000000002,11.649000000000003,11.629000000000003,11.609000000000004,11.589000000000004
EOL ALEGRIA II(NEW ENERGY),0,10.878,9.942,10.1,10.286,11.394,11.467,11.851,11.732,11.749,11.729000000000001,11.709000000000001,11.689000000000002,11.669000000000002,11.649000000000003,11.629000000000003,11.609000000000004,11.589000000000004
EOL ALTO DOS VENTOS II A,0,0,0,0,0,10.879,10.946,11.359,11.237,11.253,11.233,11.213000000000001,11.193000000000001,11.173000000000002,11.153000000000002,11.133000000000003,11.113000000000003,11.093000000000004
EOL ALTO DOS VENTOS II B,0,0,0,0,0,10.879,10.946,11.359,11.237,11.253,11.233,11.213000000000001,11.193000000000001,11.173000000000002,11.153000000000002,11.133000000000003,11.113000000000003,11.093000000000004
EOL ALVORADA,0,10.554,10.856,10.635,10.949,11.443,11.503,11.925,11.715,11.732,11.712,11.692,11.672,11.652000000000001,11.632000000000001,11.612000000000002,11.592000000000002,11.572000000000003
EOL AMESCLA,0,10.165,10.561,10.326,10.64,11.354,11.413,11.832,11.617,11.634,11.614,11.594000000000001,11.574000000000002,11.554000000000002,11.534000000000002,11.514000000000003,11.494000000000003,11.474000000000004
EOL AMETISTA,0,10.554,10.856,10.635,10.949,11.443,11.503,11.925,11.715,11.732,11.712,11.692,11.672,11.652000000000001,11.632000000000001,11.612000000000002,11.592000000000002,11.572000000000003
EOL AMPARO,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ANEMOI (RIACHAO IV),0,10.042,9.038,9.035,9.213,10.197,10.249,10.625,10.494,10.509,10.489,10.469000000000001,10.449000000000002,10.429000000000002,10.409000000000002,10.389000000000003,10.369000000000003,10.349000000000004
EOL ANEMUS WIND 1,0,10.97,10.027,10.188,10.379,10.873,10.938,11.316,11.193,11.209,11.189,11.169,11.149000000000001,11.129000000000001,11.109000000000002,11.089000000000002,11.069000000000003,11.049000000000003
EOL ANEMUS WIND 2,0,10.97,10.027,10.188,10.379,10.873,10.938,11.316,11.193,11.209,11.189,11.169,11.149000000000001,11.129000000000001,11.109000000000002,11.089000000000002,11.069000000000003,11.049000000000003
EOL ANEMUS WIND 3,0,10.97,10.027,10.188,10.379,10.873,10.938,11.316,11.193,11.209,11.189,11.169,11.149000000000001,11.129000000000001,11.109000000000002,11.089000000000002,11.069000000000003,11.049000000000003
EOL ANGELIM,0,10.165,10.561,10.326,10.64,11.321,11.38,11.797,11.582,11.599,11.579,11.559000000000001,11.539000000000001,11.519000000000002,11.499000000000002,11.479000000000003,11.459000000000003,11.439000000000004
EOL ANGICAL,0,10.528,10.847,10.616,10.932,11.43,11.491,11.912,11.7,11.717,11.697000000000001,11.677000000000001,11.657000000000002,11.637000000000002,11.617000000000003,11.597000000000003,11.577000000000004,11.557000000000004
EOL ANGICAL 2,0,10.528,10.847,10.616,10.932,11.43,11.491,11.912,11.7,11.717,11.697000000000001,11.677000000000001,11.657000000000002,11.637000000000002,11.617000000000003,11.597000000000003,11.577000000000004,11.557000000000004
EOL ANGICO,0,10.456,10.787,10.559,10.873,11.369,11.428,11.847,11.634,11.651,11.631,11.611,11.591000000000001,11.571000000000002,11.551000000000002,11.531000000000002,11.511000000000003,11.491000000000003
EOL ANGICOS I,0,10.878,9.942,10.1,10.286,11.498,11.574,11.963,11.845,11.862,11.842,11.822000000000001,11.802000000000001,11.782000000000002,11.762000000000002,11.742000000000003,11.722000000000003,11.702000000000004
EOL ANGICOS II,0,10.878,9.942,10.1,10.286,11.498,11.574,11.963,11.845,11.862,11.842,11.822000000000001,11.802000000000001,11.782000000000002,11.762000000000002,11.742000000000003,11.722000000000003,11.702000000000004
EOL APELIOTES(RIACHAO VI),0,10.042,9.038,9.035,9.213,10.197,10.249,10.625,10.494,10.509,10.489,10.469000000000001,10.449000000000002,10.429000000000002,10.409000000000002,10.389000000000003,10.369000000000003,10.349000000000004
EOL AQUIBATA,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARAPAPA,0,10.528,10.847,10.616,10.932,11.43,11.491,11.912,11.7,11.717,11.697000000000001,11.677000000000001,11.657000000000002,11.637000000000002,11.617000000000003,11.597000000000003,11.577000000000004,11.557000000000004
EOL ARARINHA AZUL,0,10.528,10.847,10.616,10.932,11.43,11.491,11.912,11.7,11.717,11.697000000000001,11.677000000000001,11.657000000000002,11.637000000000002,11.617000000000003,11.597000000000003,11.577000000000004,11.557000000000004
EOL ARATUA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARENA (RIACHAO VII),0,10.042,9.038,9.035,9.213,10.197,10.249,10.625,10.494,10.509,10.489,10.469000000000001,10.449000000000002,10.429000000000002,10.409000000000002,10.389000000000003,10.369000000000003,10.349000000000004
EOL ARIZONA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AROEIRA,0,10.64,9.792,9.851,10.04,10.784,10.848,11.257,11.134,11.15,11.13,11.110000000000001,11.090000000000002,11.070000000000002,11.050000000000002,11.030000000000003,11.010000000000003,10.990000000000004
EOL AROEIRA 1,0,10.81,10.428,10.283,10.501,10.951,10.998,11.403,11.233,11.25,11.23,11.21,11.190000000000001,11.170000000000002,11.150000000000002,11.130000000000003,11.110000000000003,11.090000000000003
EOL AROEIRA 2,0,10.81,10.428,10.283,10.501,10.951,10.998,11.403,11.233,11.25,11.23,11.21,11.190000000000001,11.170000000000002,11.150000000000002,11.130000000000003,11.110000000000003,11.090000000000003
EOL AROEIRA 3,0,10.81,10.428,10.283,10.501,10.951,10.998,11.403,11.233,11.25,11.23,11.21,11.190000000000001,11.170000000000002,11.150000000000002,11.130000000000003,11.110000000000003,11.090000000000003
EOL AROEIRA 4,0,10.81,10.428,10.283,10.501,10.951,10.998,11.403,11.233,11.25,11.23,11.21,11.190000000000001,11.170000000000002,11.150000000000002,11.130000000000003,11.110000000000003,11.090000000000003
EOL AROEIRA 5,0,10.81,10.428,10.283,10.501,10.951,10.998,11.403,11.233,11.25,11.23,11.21,11.190000000000001,11.170000000000002,11.150000000000002,11.130000000000003,11.110000000000003,11.090000000000003
EOL AROEIRA 6,0,10.81,10.428,10.283,10.501,10.951,10.998,11.403,11.233,11.25,11.23,11.21,11.190000000000001,11.170000000000002,11.150000000000002,11.130000000000003,11.110000000000003,11.090000000000003
EOL AROEIRA 7,0,10.81,10.428,10.283,10.501,10.951,10.998,11.403,11.233,11.25,11.23,11.21,11.190000000000001,11.170000000000002,11.150000000000002,11.130000000000003,11.110000000000003,11.090000000000003
EOL AROEIRA 8,0,10.81,10.428,10.283,10.501,10.951,10.998,11.403,11.233,11.25,11.23,11.21,11.190000000000001,11.170000000000002,11.150000000000002,11.130000000000003,11.110000000000003,11.090000000000003
EOL ASA BRANCA I,0,10.64,9.792,9.851,10.04,10.784,10.848,11.257,11.134,11.15,11.13,11.110000000000001,11.090000000000002,11.070000000000002,11.050000000000002,11.030000000000003,11.010000000000003,10.990000000000004
EOL ASA BRANCA II,0,10.64,9.792,9.851,10.04,10.784,10.848,11.257,11.134,11.15,11.13,11.110000000000001,11.090000000000002,11.070000000000002,11.050000000000002,11.030000000000003,11.010000000000003,10.990000000000004
EOL ASA BRANCA III,0,10.64,9.792,9.851,10.04,10.784,10.848,11.257,11.134,11.15,11.13,11.110000000000001,11.090000000000002,11.070000000000002,11.050000000000002,11.030000000000003,11.010000000000003,10.990000000000004
EOL ASA BRANCA IV,0,10.64,9.792,9.851,10.04,10.784,10.848,11.257,11.134,11.15,11.13,11.110000000000001,11.090000000000002,11.070000000000002,11.050000000000002,11.030000000000003,11.010000000000003,10.990000000000004
EOL ASA BRANCA V,0,10.64,9.792,9.851,10.04,10.784,10.848,11.257,11.134,11.15,11.13,11.110000000000001,11.090000000000002,11.070000000000002,11.050000000000002,11.030000000000003,11.010000000000003,10.990000000000004
EOL ASA BRANCA VI,0,10.64,9.792,9.851,10.04,10.784,10.848,11.257,11.134,11.15,11.13,11.110000000000001,11.090000000000002,11.070000000000002,11.050000000000002,11.030000000000003,11.010000000000003,10.990000000000004
EOL ASA BRANCA VII,0,10.64,9.792,9.851,10.04,10.784,10.848,11.257,11.134,11.15,11.13,11.110000000000001,11.090000000000002,11.070000000000002,11.050000000000002,11.030000000000003,11.010000000000003,10.990000000000004
EOL ASA BRANCA VIII,0,10.64,9.792,9.851,10.04,10.784,10.848,11.257,11.134,11.15,11.13,11.110000000000001,11.090000000000002,11.070000000000002,11.050000000000002,11.030000000000003,11.010000000000003,10.990000000000004
EOL ASSURUA 4 I,0,11.069,11.194,11.032,11.3,11.756,11.814,12.245,12.081,12.098,12.078000000000001,12.058000000000002,12.038000000000002,12.018000000000002,11.998000000000003,11.978000000000003,11.958000000000004,11.938000000000004
EOL ASSURUA 4 II,0,11.069,11.194,11.032,11.3,11.756,11.814,12.245,12.081,12.098,12.078000000000001,12.058000000000002,12.038000000000002,12.018000000000002,11.998000000000003,11.978000000000003,11.958000000000004,11.938000000000004
EOL ASSURUA 4 III,0,11.069,11.194,11.032,11.3,11.756,11.814,12.245,12.081,12.098,12.078000000000001,12.058000000000002,12.038000000000002,12.018000000000002,11.998000000000003,11.978000000000003,11.958000000000004,11.938000000000004
EOL ASSURUA 4 IV,0,11.069,11.194,11.032,11.3,11.756,11.814,12.245,12.081,12.098,12.078000000000001,12.058000000000002,12.038000000000002,12.018000000000002,11.998000000000003,11.978000000000003,11.958000000000004,11.938000000000004
EOL ASSURUA 4 V,0,11.069,11.194,11.032,11.3,11.756,11.814,12.245,12.081,12.098,12.078000000000001,12.058000000000002,12.038000000000002,12.018000000000002,11.998000000000003,11.978000000000003,11.958000000000004,11.938000000000004
EOL ASSURUA 4 VI,0,11.069,11.194,11.032,11.3,11.756,11.814,12.245,12.081,12.098,12.078000000000001,12.058000000000002,12.038000000000002,12.018000000000002,11.998000000000003,11.978000000000003,11.958000000000004,11.938000000000004
EOL ASSURUA 5 I,0,11.069,11.194,11.032,11.3,11.756,11.814,12.245,12.081,12.098,12.078000000000001,12.058000000000002,12.038000000000002,12.018000000000002,11.998000000000003,11.978000000000003,11.958000000000004,11.938000000000004
EOL ASSURUA 5 II,0,11.069,11.194,11.032,11.3,11.756,11.814,12.245,12.081,12.098,12.078000000000001,12.058000000000002,12.038000000000002,12.018000000000002,11.998000000000003,11.978000000000003,11.958000000000004,11.938000000000004
EOL ASSURUA 5 III,0,11.069,11.194,11.032,11.3,11.756,11.814,12.245,12.081,12.098,12.078000000000001,12.058000000000002,12.038000000000002,12.018000000000002,11.998000000000003,11.978000000000003,11.958000000000004,11.938000000000004
EOL ASSURUA 5 IV,0,11.069,11.194,11.032,11.3,11.756,11.814,12.245,12.081,12.098,12.078000000000001,12.058000000000002,12.038000000000002,12.018000000000002,11.998000000000003,11.978000000000003,11.958000000000004,11.938000000000004
EOL ASSURUA 5 V,0,11.069,11.194,11.032,11.3,11.756,11.814,12.245,12.081,12.098,12.078000000000001,12.058000000000002,12.038000000000002,12.018000000000002,11.998000000000003,11.978000000000003,11.958000000000004,11.938000000000004
EOL ASSURUA 5 VI,0,11.069,11.194,11.032,11.3,11.756,11.814,12.245,12.081,12.098,12.078000000000001,12.058000000000002,12.038000000000002,12.018000000000002,11.998000000000003,11.978000000000003,11.958000000000004,11.938000000000004
EOL ASSURUA II,0,10.918,10.295,10.099,10.317,10.539,10.582,10.967,10.785,10.801,10.781,10.761000000000001,10.741000000000001,10.721000000000002,10.701000000000002,10.681000000000003,10.661000000000003,10.641000000000004
EOL ASSURUA III,0,10.918,10.295,10.099,10.317,10.539,10.582,10.967,10.785,10.801,10.781,10.761000000000001,10.741000000000001,10.721000000000002,10.701000000000002,10.681000000000003,10.661000000000003,10.641000000000004
EOL ASSURUA IV,0,10.918,10.295,10.099,10.317,10.539,10.582,10.967,10.785,10.801,10.781,10.761000000000001,10.741000000000001,10.721000000000002,10.701000000000002,10.681000000000003,10.661000000000003,10.641000000000004
EOL ASSURUA V,0,10.918,10.295,10.099,10.317,10.539,10.582,10.967,10.785,10.801,10.781,10.761000000000001,10.741000000000001,10.721000000000002,10.701000000000002,10.681000000000003,10.661000000000003,10.641000000000004
EOL ASSURUA VII,0,10.918,10.295,10.099,10.317,10.539,10.582,10.967,10.785,10.801,10.781,10.761000000000001,10.741000000000001,10.721000000000002,10.701000000000002,10.681000000000003,10.661000000000003,10.641000000000004
EOL ATLANTICA I,0,5.5,8.011,8.083,7.882,7.112,6.783,6.713,6.919,6.929,6.909000000000001,6.889000000000001,6.8690000000000015,6.849000000000002,6.829000000000002,6.809000000000003,6.789000000000003,6.769000000000004
EOL ATLANTICA II,0,5.5,8.011,8.083,7.882,7.112,6.783,6.713,6.919,6.929,6.909000000000001,6.889000000000001,6.8690000000000015,6.849000000000002,6.829000000000002,6.809000000000003,6.789000000000003,6.769000000000004
EOL ATLANTICA IV,0,5.5,8.011,8.083,7.882,7.112,6.783,6.713,6.919,6.929,6.909000000000001,6.889000000000001,6.8690000000000015,6.849000000000002,6.829000000000002,6.809000000000003,6.789000000000003,6.769000000000004
EOL ATLANTICA V,0,5.5,8.011,8.083,7.882,7.112,6.783,6.713,6.919,6.929,6.909000000000001,6.889000000000001,6.8690000000000015,6.849000000000002,6.829000000000002,6.809000000000003,6.789000000000003,6.769000000000004
