BARRA;NOME;TUST-RB
542; TRES IRMAOS - 440;    6,551
8344; ABAIARA - 230;   12,940
9739; ABDON BATISTA - 230;    4,982
9738; ABDON BATISTA - 525;    4,982
6930; ABUNA - 230;    8,293
6700; ACAILANDIA - 500;   11,970
5923; ACARAT CE - 230;   12,615
5318; ACARAT-CE500;   12,555
5486; ACARAU II – 230;   12,636
1596; ACESITA - 230;    4,982
5461; ACU II - 230;   13,877
5351; ACU III - 230;   13,923
5350; ACU III - 500;   13,587
140; ADRIANOPOLIS - 345;    5,035
106; ADRIANOPOLIS - 500;    5,166
2987; AG.LINDAS230;    8,058
453; AGUA AZUL - 440;    4,982
4043; AIMORES - 230;    7,108
6000; ALAGOAS 2 - 230;    8,834
1186; ALEGRETE2 - 230;    4,982
8163; ALEX - 230;   14,007
6521; ALTAMIRA - 230;    9,782
668; ALTA PAULISTA - 400;    5,885
1078; ANASTACIO - 230;    4,982
44594; ANEMUS - 230;   14,114
5100; ANGELIM - 500;   11,834
5101; ANGELIM - 230;   11,589
105; ANGRA - 500;    5,428
760; ANHANGUERA GO - 230;    6,510
431; ANHANGUERA SP - 230;    4,982
439; ANHANGUERA - 345;    4,982
458; APARECIDA - 230;    4,982
878; APUCARANA - 230;    4,982
5381; AQUIRAZ - 230;   12,036
4070; ARACUAI - 230;   10,930
6081; ARAPIRACA III - 230;    7,349
559; ARARAQUARA - 440;    4,982
101; ARARAQUARA - 500;    5,800
99; ARARAQUARA - 525;    5,799
589; ARARAS SP - 440;    4,982
7058; ARARAQUARA 2 - 440;    5,492
7057; ARARAQUARA 2 - 500;    5,770
5092; ARCOVERDE II - 230;   11,736
934; AREIA - 230;    4,982
933; AREIA - 525;    4,982
4349; ARINOS 2 - 500;   11,234
6880; ARIQUEMES - 230;    7,897
45680; ASOLO 2 - 230;    8,949
552; ASSIS - 440;    5,166
556; ASSIS - 525;    4,982
551; ASSIS 2 - 230;    4,982
697; ATIBAIA 2 - 345;    4,982
1330; ATLANTIDA 2 - 230;    4,982
629; AVARE - 230;    4,982
3150; AVARE NOVA - 230;    4,982
536; AGUA VERMELHA - 440;    6,603
535; AGUA VERMELHA - 500;    7,011
451; AVILLAR - 230;    4,982
9892; ANDIRA LESTE - 230;    4,982
229; BARRO ALTO - 230;    9,417
4040; BARRO BRANCO - 345;    5,940
9444; B. DOS COQUEIROS - 230;    8,743
5511; B.ESPERANCA - 230;   11,389
5510; B.ESPERANCA - 500;   12,047
227; BRASILIA GERAL - 230;    7,173
574; BOM JARDIM - 440;    4,982
7181; B.JESUS II - 230;   11,381
3699; BRASILIA LESTE - 500;    8,933
5401; BOM NOME - 230;   12,648
4502; BARRA PEIXE - 230;    7,753
228; BRAS. SUL - 230;    7,616
219; BRAS. SUL -345;    8,167
5684; BACAB - MA - 500;   11,990
1188; BAGE 2 - 230;    4,982
478; BAGUACU - 440;    5,551
1495; BAGUARI - 230;    7,065
9354; BAIXO IGUACU PR - 230;    4,982
472; B. SANTISTA - 230;    4,982
471; B. SANTISTA - 345;    4,982
8501; BALBINA - 230;    9,988
5391; BALSAS - 230;   11,888
5421; BANABUIU - 230;   13,008
226; BANDEIRANTE GO - 230;    6,862
218; BANDEIRANTE GO - 345;    7,733
492; BANDEIRANTE SP - 345;    4,982
308; BARBACENA - 345;    5,134
6315; BARREIRAS II - 230;   11,376
6361; BARREIRAS - 230;   11,090
6360; BARREIRAS - 500;   11,516
313; BARREIRO - 345;    6,126
112; BATEIAS - 500;    4,982
113; BATEIAS 2 - 500;    4,982
814; BATEIAS - 230;    4,982
895; BATEIAS - 525;    4,982
114; BATEIAS 3 - 500;    4,982
561; BAURU SP - 440;    4,982
9004; BARAO DE COCAIS 3 - 230;    5,487
4050; B.DESPACHO - 500;    7,069
4337; BETIM 6 -345;    6,510
9626; B. FLUMINENSE - 500;    5,213
936; BARRA GRANDE - 230;    4,982
947; BAIXO IGUACU SC - 230;    4,982
946; BIGUACU--525;    4,982
6358; B.J.LAPA II - 230;   11,349
6349; BJLAPAII - 500;   11,219
6351; B.J.LAPA - 230;   11,371
939; BLUMENAU - 230;    4,982
938; BLUMENAU - 525;    4,982
5152; BONGI - 230;   10,058
625; BOTUCATU - 230;    4,982
7734; BRACEL - 440;    4,982
4868; BRASNORTE - 230;    8,701
9051; BRAUNA - 230;    6,390
6334; BROT.MACAUBAS - 230;   12,310
5941; BRUMADO II - 230;    6,114
6075; BURITIRAMA - 500;   12,187
5701; CIC.DANTAS - 230;   10,569
756; CACHOEIRA DOURADA - 230;    9,100
4512; C. MAGALHAES - 230;    8,052
5525; COELHO NETO - 230;    9,642
5262; CURRAIS NOVOS II - 230;   14,114
104; C. PAULISTA - 500;    5,150
7054; C.PORTO VELHO - 230;    9,150
7055; C.PORTO VELHO - 500;   13,975
8551; CRISTIANO ROCHA - 230;    9,648
590; CABREUVA - 230;    4,982
584; CABREUVA - 440;    4,982
9458; CACU - 230;    8,743
5098; CAETES II - 230;   11,773
41414; CAIACA-SC - 230;    4,982
10218; CRUZ ALTA 2 - 230;    4,982
5750; CAMACARI - 500;    9,790
5756; CAMACARI IV - 230;    9,012
5752; CAMACARI IV - 500;    9,785
9569; CAMAQUA 3 - 230;    4,982
1194; CAMAQUA - 230;    4,982
123; CAMPINAS - 345;    4,982
103; CAMPINAS - 500;    4,982
117; CAMPOS 2 - 500;    6,115
1198; CAMPO BOM - 230;    4,982
147; CAMPOS - 345;    6,425
4684; CANARANA CMT - 230;    6,048
9590; CANDELARIA 2 - 230;    4,982
9952; CANDIOTA 2 - 230;    4,982
9951; CANDIOTA 2 - 525;    4,982
9785; CANDIOTA - 230;    4,982
9786; CANDIOTA - 525;    4,982
1190; CANOA 1 - 230;    4,982
1248; CANOAS 2 - 230;    4,982
943; CANOINHA - 230;    4,982
1037; CAPIVARI-230;    4,982
1036; CAPIVARI-525;    4,982
549; CAPIVARA - 440;    5,541
3714; CARAJAS GO - 230;    6,221
6407; CARAJAS PA - 230;   10,919
477; CARBOCLORO - 230;    4,982
839; CASCAVEL - 230;    4,982
9538; CASCAVEL NORT - 230;    4,982
2458; CASCAVEL OESTE - 230;    4,982
896; CASCAVOE - 525;    4,982
10355; CASSILANDIA - 230;    6,672
2353; CAMPO ASSOBIO - 230;    4,982
6489; CASTANHA - 230;    8,914
9278; CASTERTECH - 230;    4,982
10138; CASTRO NORTE - 230;    4,982
5782; CATU - 230;    8,401
5651; CAIUPE - 230;   12,226
1200; CAXIAS SUL 2 - 230;    4,982
1192; CAXIAS 5 -230;    4,982
1386; CAXIAS 6 - 230;    4,982
965; CAXIAS - 230;    4,982
964; CAXIAS RS - 525;    4,982
10216; CAXIAS NORTE - 230;    4,982
10215; CAXIAS NORTE - 525;    4,982
607; CBA - 230;    4,982
608; CBA TERM - 440;    4,982
603; CBA 2 - 440;    4,982
9543; CBA LESTE - 230;    4,982
9542; CBA LESTE - 525;    4,982
9697; CURITIBA NORT - 230;    4,982
623; CAPAO BONITO - 230;    4,982
3964; CANA BRAVA - 230;   10,645
816; C.COMPRIDO - 230;    4,982
6132; CEAMIRIM - 230;   13,280
6130; CEA.MIRIM II - 500;   13,321
427; CENTRO - 230;    4,982
9731; CERRO CHATO - 230;    4,982
2035; CERQUILHO 3 - 230;    4,982
970; GARABI 2 - 500;    4,982
971; GARABI 1 - 500;    4,982
6107; CAMPO FORMOSO - 230;   12,915
1043; RIVERA - 230;    4,982
5222; CAMPINA GRANDE II - 230;   12,165
1025; CAMPO GRANDE II - 230;    5,851
5202; CAMPINA GRANDE III - 230;   12,270
5200; CAMPINA GRANDE III - 500;   12,722
5303; CHAPADA 1 PI - 230;   13,435
6631; CHAPADA 2 PI - 230;   13,445
5305; CHAPADA 3 PI - 230;   13,601
1089; CHAPADAO - 230;    6,672
5685; CHAPADINHA II - 230;    9,966
10276; CHARQUEADAS 3 - 230;    4,982
951; CHARQUEADAS (SE) - 230;    4,982
615; CHAVANTES - 230;    4,982
7784; HELIO VALGAS MG - 345;    9,742
815; C.IND. CURITIBA - 230;    4,982
1258; C.INDUSTRIAL - 230;    4,982
4495; CLAUDIA - 500;    9,015
5751; CAMACARI II - 230;    8,931
954; C.MOURAO - 230;    4,982
956; CAMPOS NOVOS - 230;    4,982
955; CAMPOS NOVOS - 525;    4,982
789; CODEMI GO- 230;   10,236
4465; COLIDER - 500;    9,015
7300; COLINAS - 500;   11,860
9607; COMPERJ - 345;    5,474
5621; SE COREMAS II - 230;   12,554
1018; CORUMBA 2 - 30;    4,982
220; CORUMBA - 345;    7,909
5802; COTEGIPE - 230;    8,561
5216; COTEMINAS - 230;   11,947
4532; COXIPO - 230;    7,720
27; C. PAULISTA 2 - 500;    5,150
319; CONSE. PENA - 230;    6,865
8319; CRATO 2 - 230;   12,549
9104; U.CUBATAO - 230;    4,982
9105; CUBATAO - 230;    4,982
4515; CUIABA - 230;    7,795
4514; CUIABA - 500;    7,756
960; CURITIBA - 230;    4,982
959; CURITIBA - 525;    4,982
6641; CURRAL NOVO PIAUI - 230;   13,521
6640; CURRAL NOVO PIAUI - 500;   13,006
44812; VEREDA - 345;    9,568
5471; DELM. GOUVEIA - 230;   11,240
5804; D.PITUACU - 230;    8,247
420; DOMENICO RANGONI - 345;    4,982
4892; DARDANELOS - 230;    8,955
5730; DER.OLD 1- 230;    9,495
945; DESTERRO - 230;    4,982
1223; DONA FRANCISCA - 230;    4,982
818; D. INDUSTRIAL SJP - 230;    4,982
10101; DOURADOS 2 - 230;    5,113
1086; DOURADOS - 230;    4,993
5681; E. MARTIN - 230;   12,011
410; EDGARD SOUZA - 230;    4,982
3018; EDEIA - 230;    8,798
1212; ELDORADO - 230;    4,982
5872; EMBASA - 230;    8,288
320; EMBORCACAO - 500;    7,843
582; EMBU-GUACU - 345;    4,982
581; EMBU-GUACU - 440;    4,982
6001; ENCRUZO - 230;    9,471
41413; ENSEAD-SC2 - 30;    4,982
3012; ESTREITO - 345;    6,279
3010; ESTREITO - 500;    6,317
5972; EUNAPOLI - 230;    5,470
6131; EXTREMOZ II - 230;   12,918
610; F.DIAS - 440;    4,982
609; F.DIAS - 500;    5,280
60; F.IGUACU - 765;    4,982
962; FARROUPILHA - 230;    4,982
1071; FOZ DO CHAPECO - 230;    4,982
898; FCHOPIM--230;    4,982
6980; FEIJO - 230;    7,541
41450; FIBR-F RS - 230;    4,982
1315; FIBRAPLAC - 230;    4,982
843; F.IGUACUNORTE - 230;    4,982
884; FIGUEIRA - 230;    4,982
2992; FIRMINOPOLIS - 230;    8,317
5420; FLORESTA II - 230;   12,360
5755; FORD - 230;    8,665
961; FORQUILINHA - 230;    4,982
5452; FORTALEZA - 230;   12,146
9435; F.IGUACU - 500;    4,982
5458; FORTALEZA II - 230;   12,204
5451; FORTALEZA II - 500;   12,904
5902; FUNIL - 230;    5,858
136; FURNAS - 345;    5,890
8980; FUTURA - 500;   12,529
763; GOIANIA LESTE - 230;    5,838
5881; G. MANGABEIRA - 230;    8,391
8393; GAMELEIRA - 230;   12,888
972; GARABI 1 - 525;    4,982
973; GARABI 2 - 525;    4,982
5091; GARANHUNS II - 230;   11,811
5090; GARANHUNS - 500;   12,206
1206; GARIBALDI - 230;    4,982
9533; GASPAR 2 -230;    4,982
10081; GASPAR 2 - 525;    4,982
800; AREIA - 500;    4,982
6061; GENTIO DO OURO II - 230;   12,407
6060; GENTIO DO OURO II - 500;   11,846
585; GERDAU SP - 440;    4,982
540; GETULINA - 440;    5,275
7191; GILBUES - 230;   11,693
7190; GILBUES II - 500;   12,124
3023; GOIANIA - 230;    6,862
5201; GOIANINHA - 230;   10,888
817; PARIGOT SOUZA - 230;    4,982
107; GRAJAU - 500;    4,993
1210; GRAVATA2 - 230;    4,982
1313; GRAVATAI3 - 230;    4,982
976; GRAVATAI - 525;    4,982
813; GRALHA AZUL - 230;    4,982
978; GUAIRA F -230;    4,982
1199; GUAIBA - 230;    4,982
975; GUAIBA3 - 230;    4,982
974; GUAIBA3 - 525;    4,982
873; GUAIRA F - 525;    4,982
6471; GUAMA - 230;    9,617
10136; GUARAPUAVA OESTE - 230;    4,982
1213; GUARITA - 230;    4,982
126; GUARULHOS - 345;    4,982
1529; GUILMAN - 230;    6,680
7106; GURUPI - 230;   11,090
7100; GURUPI - 500;   10,966
9123; GV - 230;    4,982
4352; VALADARES 6 - 500;    6,916
480; HENRY BORDEN - 230;    4,982
9351; HUBNER - 230;    4,982
6011; IBIAPINA II – 230;   12,217
6362; IBICOARA - 230;    7,889
6359; IBICOARA - 500;    8,959
886; IBIPORA - 230;    4,982
86; IBIUNA - 345;    4,982
122; IBIUNA - 500;    4,982
5631; ICO - 230;   12,809
6171; IGAPORA II - 230;   11,044
6221; IGAPORA III - 230;   10,916
6220; IGAPORA III - 500;   10,568
10258; IGUATEMI 2 MS - 230;    4,982
1323; IJUI 2 - 230;    4,982
1889; IMBIRUSSU - 230;    5,750
5591; IMPERATRIZ - 230;   11,289
5590; IMPERATRIZ - 500;   11,991
6734; INACIO-RN230;   13,701
10094; INDAIAL - 230;    4,982
1090; INOCENCIA - 230;    6,688
6561; INTEGRADORA - 230;   10,915
6560; INTEGRADORA - 500;   11,661
490; INTERNATIONAL 2 - 230;    4,982
489; INTERNATIONAL 1 - 230;    4,982
488; INTERNATIONAL - 345;    4,982
1530; IPATINGA I - 230;    6,291
1100; ITAIPU 50 - 500;    4,982
1107; ITAIPU 60 - 500;    4,982
4071; IRAPE - 230;   11,142
4065; IRAPE - 345;   10,916
10140; IRATI NORTE - 230;    4,982
6341; IRECE - 230;   11,930
1077; ILHA SOLTEIRA 2 - 230;    6,695
1076; ILHA SOLTEIRA 2 - 440;    6,508
538; ILHA SOLTEIRA - 440;    6,504
10212; ITA SC - 230;    4,982
995; ITA - 525;    4,982
5711; ITABAIANA - 230;   10,508
72; ITABERA - 765;    4,982
1534; ITABIRA 2 - 230;    6,519
9024; ITABIRA 4 - 230;    6,215
4076; ITABIRA 5 - 230;    7,133
4075; ITABIRA 5 - 500;    7,880
9017; ITABIRITO - 345;    5,882
9016; ITABIRITO - 500;    6,776
5787; ITABUNA - 230;    5,266
6441; ITACAIUNAS - 230;   11,180
6440; ITACAIUNAS - 500;   11,839
5912; ITAGIPA - 230;    6,112
9441; ITAGUACU - 230;    8,504
9440; ITAGUACU - 500;    7,509
10070; ITAJAI 2 - 230;    4,982
10069; ITAJAI 2 - 525;    4,982
991; ITAJAI - 230;    4,982
1503; ITAJU3-5-500;    5,221
2988; ITAPACI - 230;    8,298
5970; ITAPEBI SE - 230;    5,804
448; ITAPETI - 230;    4,982
449; ITAPETI - 345;    4,982
627; ITARARE 2 - 230;    4,982
6609; ITATIBA - 500;    4,982
1215; ITAUBA - 230;    4,982
5961; ITBNINHA - 230;    8,458
4521; ITIQUIRA - 230;    8,174
225; ITUMBIARA - 230;    7,883
217; ITUMBIARA - 345;    7,461
210; ITUMBIARA - 500;    7,669
138; ITUTINGA - 345;    5,321
999; IVAIPORA E - 525;    4,982
66; IVAIPORA - 525;    4,982
65; IVAIPORA - 765;    4,982
1088; IVINHEMA - 230;    5,395
6140; J. CAMARA III - 500;   13,509
331; JUIZ DE FORA - 345;    5,102
8511; J.TEIXEIRA - 230;    9,242
5346; JABOATAO D -230;   10,817
5822; JACARACANGA - 230;    8,843
144; JACAREPAGUA - 345;    4,982
5925; JAGUARUANA - 230;   13,493
5924; JAGUARUANA - 500;   13,320
6321; JAGUARARI-SE - 230;   12,534
326; JAGUARA - 345;    6,635
325; JAGUARA - 500;    7,071
827; JAGUARIAIVA - 230;    4,982
3389; JAIBA - 230;   13,280
4350; JANAUBA 3 - 500;   10,540
4311; JANAUBA 3 - 230;   12,212
8240; JANDAIA CE - 230;   13,295
586; JANDIRA - 440;    4,982
5721; JARDIM SE - 230;   10,677
5720; JARDIM - 500;   11,373
10087; JARAGUA DO SUL - 230;    4,982
6870; JARU - 230;    7,296
1084; JATAI - 230;    7,140
4862; JAURU - 230;    8,101
4700; JAURU - 500;    7,837
10256; J. BOTANICO 1 - 230;    4,982
10257; J. BOTANICO 2 - 230;    4,982
6141; J. CAMARA II - 230;   13,642
5128; J. CAMARA III - 230;   13,633
9013; JECEABA - 345;    5,654
7280; JEREMOABO - 500;   11,815
6840; JI PARANA - 230;    7,431
7051; UHE JIRAU - 500 (Back-to-back);   13,016
7061; UHE JIRAU - 500;   14,067
1006; JORGE LACERDA A - 230;    4,982
1010; JORGE LACERDA B - 230;    4,982
1011; JORGE LACERDA C - 230;    4,982
3035; J.NEIVA 2 - 345;    6,675
3034; J.NEIVA 2 - 500;    7,639
5331; JOAIRAM - 230;   10,558
1020; JOINV. NOR - 230;    4,982
1015; JOINVILLE - 230;    4,982
10056; JOINVILLE SUL - 230;    4,982
10055; JOINVILLE SUL - 525;    4,982
5836; JOAO PESSOA II - 500;   12,694
5837; JOAO PESSOA II - 230;   11,084
6311; JUAZEIRO II - 230;   12,840
6501; JUAZEIRO III - 230;   12,438
6500; JUAZEIRO III - 500;   12,436
4869; JUBA - 230;    8,361
4894; JUINA - 230;    8,955
539; JUPIA - 440;    6,260
618; JURUMIRIM - 230;    4,982
8250; JURUPARI-230;   11,877
8200; JURUPARI-500;   11,754
8321; JURUTI - 230;   10,918
4333; PRES. JUSCELINO - 345;    7,672
4332; PRES. JUSCELINO - 500;    8,958
9988; KLABIN - 230;    4,982
5050; LUIS GONZAGA - 500;   12,323
336; LAFAIETE - 345;    5,310
950; LAGES----230;    4,982
9506; LAGOS - 345;    6,062
9509; LAGOS - 500;    5,840
1218; LAJEADO 2 - 230;    4,982
7207; LAJEADO - 230;   12,113
7204; LAJEADO - 500;   11,757
1163; LAJEADO GRANDE - 230;    4,982
8270; LARANJAL - 230;   11,995
5037; LAGOA BARRO - 230;   12,717
6663; LAGOA DO CARRO - 230;   11,502
134; L.C.BARRETO - 345;    6,436
8700; LECHUGA - 230;    9,466
8500; LECHUGA - 500;   10,460
464; LESTE - 345;    4,982
5422; LIBRA - 230;   13,003
3022; LINHARES 2 - 230;    6,420
1230; LIVRAMENTO 2 - 230;    4,982
2080; LIVRAMENTO 3 - 230;    4,982
5071; LAGOA NOVA II - 230;   14,123
1028; LONDRIN E - 230;    4,982
889; LONDRC-PR230;    4,982
1027; LONDRINA - 525;    4,982
3384; LORENA SP - 230;    4,982
3383; LORENA SP - 500;    4,982
4573; L. DO RIO VERDE - 230;    7,640
3007; LUZIANIA - 500;    9,095
1325; L.VERMELHA - 230;    4,982
9783; LAJEADO 3 - 230;    4,982
6291; MORRO DO CHAPEU II - 230;   11,794
6290; MORRO DO CHAPEU II - 500;   11,452
495; M. FORNASARO - 345;    4,982
131; MASCARENHAS DE MORAES - 345;    6,117
416; MANOEL NOBREGA - 230;    4,982
438; REALEZA - 345;    4,982
530; M.RONDON SP - 440;    6,186
8145; MONTE VERDE - 500;   13,531
3966; MACAE MERCHAN - 345;    6,394
9970; MACAMBARA 3 - 230;    4,982
1225; MACAMBARA - 230;    4,982
8280; MACAPA - 230;   11,850
5312; MACEIO II - 230;    9,744
5311; MACEIO - 230;    9,573
1030; MACHADINHO - 525;    4,982
3110; M. AGUDO - 00;    6,048
7408; M.ALEGRE 2 - 345;    7,343
8521; MANAUS - 230;    8,917
4592; MANSO - 230;    7,892
6401; MARABA - 230;   11,120
6400; MARABA - 500;   11,909
5081; MARACANAU - 230;   12,012
44609; MARANGATU - 230;   12,077
1103; MARGEM PR - 500;    4,982
4598; MARIMBII-500;    6,585
213; MARIMBONDO - 345;    6,801
100; MARIMBONDO - 500;    6,676
868; MARINGA - 230;    4,982
6661; MARITUBA - 230;    9,580
6660; MARITUBA - 500;   10,872
9820; MARMELEIRO 2 - 525;    4,982
2654; MASCARENHAS - 230;    6,840
5852; MATATU - 230;    7,905
8531; MAUA 3 - 230;    9,160
981; MAUA - 230;    4,982
341; MONTES CLAROS - 345;   10,185
963; MONTE CLARO - 230;    4,982
10005; MEDIANEIRA - 230;    4,982
7279; MENDUBIM - 230;   13,923
345; MESQUITA - 230;    6,668
344; MESQUITA - 500;    7,516
5300; MESSIAS - 500;   10,946
5411; MILAGRES II - 230;   12,880
5408; MILAGRES 500;   13,016
7200; MIRACEMA - 500;   11,724
6710; MIRAMAR--230;    9,233
5541; MIRANDA - 230;   11,201
5540; MIRANDA II - 500;   12,007
572; MIRASSOL II - 440;    5,550
5191; MIRUEIRA - 230;   10,191
2078; MISSOES - 230;    4,982
5380; MILAGRE 2 - 500;   13,113
8392; MLGICO CE - 230;   12,888
565; M. MIRIM 3 - 440;    4,982
161; MOGI FCE - 230;    4,982
446; MOGI EP - 230;    4,982
129; MOGI - 345;    4,982
1520; MONLEVADE 2 - 230;    5,218
4331; MONLEVADE 4 - 230;    5,734
6565; ONCA PUMA - 230;    9,052
5441; MOSSORO II - 230;   14,007
6091; MOSSORO IV - 230;   13,701
5341; MRRII----230;   11,349
5301; MESSIAS - 230;    9,868
5302; MESSIAS 2 - 230;    9,867
5211; MUSSURE II - 230;   10,690
4353; MUTUM MG - 500;    6,649
5029; MOXOTO - 230;   12,663
1545; NOVA ERA II - 230;    6,517
9609; N.IGUACU - 345;    4,997
9608; N.IGUACU - 500;    5,161
4552; NOVA MUTUM - 230;    8,279
252; N.PECANH-230;    5,002
788; N.TOCA GO - 230;   10,236
5981; NARANDIBA - 230;    7,911
5241; NATAL II - 230;   12,580
5245; NATAL III - 230;   12,681
350; NEVES - 345;    6,924
349; NEVES - 500;    7,218
787; NIQUELANDIA - 230;   10,236
9015; NOVA LIMA 6 - 345;    6,074
6862; NMPARANA-230;    8,557
4542; NOBRES - 230;    7,892
6743; NOVA OLINDA - 500;   12,515
442; NORDESTE - 345;    4,982
5212; NORFIL - 230;   10,471
435; NORTE - 345;    4,982
9547; NOVA PETROPOLIS 2 - 230;    4,982
7407; NOVA PONTE - 345;    7,868
360; NOVA PONTE - 500;    7,415
9544; NOVA P.PRIMAVERA - 440;    5,996
545; NOVA P.PRIMAVERA - 230;    5,479
1228; NOVA PRATA 2 - 230;    4,982
980; N.S. RITA - 230;    4,982
979; N.S. RITA - 525;    4,982
5741; N.S.SOCORRO - 230;   10,558
414; OESTE - 440;    4,982
5740; OLINDINA - 500;   11,307
384; OURO PRETO 2 - 500;    6,718
385; OURO PRETO 2 - 345;    6,109
8311; ORIXIMINA - 230;   11,090
8300; ORIXIMINA - 500;   11,251
1231; OSORIO 2 - 230;    4,982
9901; OSORIO 3 - 230;    4,982
6071; OUROLANDIA II - 230;   12,387
6070; OUROLANDIA II - 500;   11,960
5001; PAULO AFONSO - 500;   12,147
6820; P.BUENO - 230;    7,549
120; P.CALDAS - 345;    4,982
102; P.CALDAS - 500;    5,639
216; P.COLOMBIA - 345;    6,949
5581; P.DUTRA - 230;   10,769
5580; P.DUTRA - 500;   12,158
5181; PAU FERRO - 230;   11,459
5180; P. FERRO - 500;   12,202
3344; P.FIALHO - 345;    5,881
8541; P.FIGUEIREDO - 230;    9,825
5601; P.FRANCO - 230;    9,981
6900; PORTO VELHO - 230;    8,833
5853; PACABA CE - 230;   12,727
5841; PACABA CE - 500;   12,959
5003; PAULO AFONSO 1 - 230;   12,663
5004; PAULO AFONSO 2 - 230;   12,187
9262; PORTO ALEGRE 12 - 230;    4,982
9961; PORTO ALEGRE 1 - 230;    4,982
1268; PORTO ALEGRE 10 - 230;    4,982
1270; PORTO ALEGRE 13 - 230;    4,982
1259; PORTO ALEGRE 4 - 230;    4,982
1263; PORTO ALEGRE 6 - 230;    4,982
1264; PORTO ALEGRE 8 - 230;    4,982
1267; PORTO ALEGRE 9 - 230;    4,982
1032; PALH-F-SC230;    4,982
1034; PALHOCA--230;    4,982
7221; PALMAS - 230;   11,571
2990; PALMEIRAS - 230;    8,189
997; PAMPAS RS - 525;    4,982
3008; PARACATU 4 - 500;    8,846
5254; PARAISO RN - 230;   13,291
2978; PARANAIBA - 230;    7,616
10399; PARANA MS - 230;    6,688
667; N.PARA PTA - 230;    4,982
4448; PARECIS--230;    9,402
8331; PARINTINS - 230;   10,809
4494; PARANAITA - 500;    9,500
4565; PARTINGA - 500;    8,394
4599; PARTINGA - 230;    7,021
852; P.BRANCO - 230;    4,982
5371; PECEM II - 230;   13,230
5370; PECEM II - 500;   12,921
7113; PEIXE 2 - 500;   10,782
7112; PEIXE - 500;   10,783
1236; PELOTA-3-230;    4,982
5291; PENEDO - 230;    8,608
5531; PERITORO-230;    9,753
9350; PEROXIDOS - 230;    4,982
1592; PORTO ESTRELA - 230;    6,657
2459; POSTO FISCAL - 230;    4,982
1041; PASSO FUNDO - 230;    4,982
10009; PONTA GROSSA PR - 230;    4,982
10008; PONTA GROSSA PR - 525;    4,982
829; P.GROSSA N - 230;    4,982
831; P. GROSSA PR - 230;    4,982
5641; PICI - 230;   11,737
5671; PICOS - 230;   13,400
819; PILARZINHO - 230;    4,982
367; PIMENTA - 345;    5,921
6225; PINDAI II - 230;   10,993
9840; PINHALZINHO 2 - 230;    4,982
573; PIRACICABA - 440;    4,982
