BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
 2840; AGUA AZUL - 138                                                      ;   17,642;         ;         ;         
2840; AGUA AZUL - 138;   17,642;;;
30951; AGUA AZUL - 440                                                      ;   17,375;         ;         ;         
30951; AGUA AZUL - 440;   17,375;;;
 1206; AG.LINDAS230                                                         ;   14,688;         ;         ;         
1206; AG.LINDAS230;   14,688;;;
 1943; ANGRA AMPLA - 138                                                    ;   15,978;         ;         ;         
1943; ANGRA AMPLA - 138;   15,978;;;
  151; ACU II - 138                                                         ;   13,181;         ;         ;         
151; ACU II - 138;   13,181;;;
  251; ACU II - 230                                                         ;   13,181;         ;         ;         
251; ACU II - 230;   13,181;;;
11265; ACU III - 230                                                        ;   13,181;         ;         ;         
11265; ACU III - 230;   13,181;;;
11565; ACU III - 500                                                        ;   13,181;         ;         ;         
11565; ACU III - 500;   13,181;;;
  600; ABAIXADORA - 69                                                      ;   13,181;         ;         ;         
600; ABAIXADORA - 69;   13,181;;;
 7747; ABDON BATISTA - 230                                                  ;   16,505;         ;         ;         
7747; ABDON BATISTA - 230;   16,505;;;
 7744; ABDON BATISTA - 525                                                  ;   16,812;         ;         ;         
7744; ABDON BATISTA - 525;   16,812;;;
 9590; ABUNA - 13,8                                                         ;   22,166;         ;         ;         
9590; ABUNA - 13,8;   22,166;;;
 9636; ABUNA - 138                                                          ;   22,166;         ;         ;         
9636; ABUNA - 138;   22,166;;;
 9537; ABUNA - 230                                                          ;   22,166;         ;         ;         
9537; ABUNA - 230;   22,166;;;
  559; ACAILANDIA - 500                                                     ;   13,181;         ;         ;         
559; ACAILANDIA - 500;   13,181;;;
55412; ACARAU II – 230                                                      ;   13,181;         ;         ;         
55412; ACARAU II – 230;   13,181;;;
12907; ACARAT CE - 230                                                      ;   13,181;         ;         ;         
12907; ACARAT CE - 230;   13,181;;;
12902; ACARAT-CE500                                                         ;   13,181;         ;         ;         
12902; ACARAT-CE500;   13,181;;;
 4475; ACESITA - 230                                                        ;   16,685;         ;         ;         
4475; ACESITA - 230;   16,685;;;
 3155; EMPLAL - 138                                                         ;   15,645;         ;         ;         
3155; EMPLAL - 138;   15,645;;;
 3730; ADRIANOPOLIS - 138                                                   ;   16,301;         ;         ;         
3730; ADRIANOPOLIS - 138;   16,301;;;
 3729; ADRIANOPOLIS - 345                                                   ;   16,225;         ;         ;         
3729; ADRIANOPOLIS - 345;   16,225;;;
 3728; ADRIANOPOLIS - 500                                                   ;   16,088;         ;         ;         
3728; ADRIANOPOLIS - 500;   16,088;;;
 3031; AGUAI - 138                                                          ;   17,374;         ;         ;         
3031; AGUAI - 138;   17,374;;;
 1637; AIMORES - 230                                                        ;   14,812;         ;         ;         
1637; AIMORES - 230;   14,812;;;
 2336; AJINOMOTO VAL - 138                                                  ;   15,943;         ;         ;         
2336; AJINOMOTO VAL - 138;   15,943;;;
18761; ALAGOINHA 2 - 69                                                     ;   13,842;         ;         ;         
18761; ALAGOINHA 2 - 69;   13,842;;;
11760; ALAGOAS 2 - 230                                                      ;   13,842;         ;         ;         
11760; ALAGOAS 2 - 230;   13,842;;;
 7591; ALEGRETE2 - 69                                                       ;   17,925;         ;         ;         
7591; ALEGRETE2 - 69;   17,925;;;
 9002; ALEGRETE2 - 230                                                      ;   17,925;         ;         ;         
9002; ALEGRETE2 - 230;   17,925;;;
56095; ALEX - 230                                                           ;   13,181;         ;         ;         
56095; ALEX - 230;   13,181;;;
  862; ALTAMIRA - 69                                                        ;   13,382;         ;         ;         
862; ALTAMIRA - 69;   13,382;;;
  362; ALTAMIRA - 230                                                       ;   13,382;         ;         ;         
362; ALTAMIRA - 230;   13,382;;;
 2219; AMPARO - 138                                                         ;   17,674;         ;         ;         
2219; AMPARO - 138;   17,674;;;
46950; ANASTACIO - 138                                                      ;   16,892;         ;         ;         
46950; ANASTACIO - 138;   16,892;;;
 7758; ANASTACIO - 230                                                      ;   16,962;         ;         ;         
7758; ANASTACIO - 230;   16,962;;;
 2770; ANDIRA LESTE - 230                                                   ;   17,409;         ;         ;         
2770; ANDIRA LESTE - 230;   17,409;;;
 6834; ANDIRA LESTE - 138                                                   ;   17,452;         ;         ;         
6834; ANDIRA LESTE - 138;   17,452;;;
 3132; ANDRADINA - 138                                                      ;   15,657;         ;         ;         
3132; ANDRADINA - 138;   15,657;;;
  540; ANGELIM - 500                                                        ;   13,181;         ;         ;         
540; ANGELIM - 500;   13,181;;;
  640; ANGELIM - 69                                                         ;   13,181;         ;         ;         
640; ANGELIM - 69;   13,181;;;
  240; ANGELIM - 230                                                        ;   13,181;         ;         ;         
240; ANGELIM - 230;   13,181;;;
 3746; ANGRA 1 - 138                                                        ;   15,873;         ;         ;         
3746; ANGRA 1 - 138;   15,873;;;
 3745; ANGRA - 500                                                          ;   15,690;         ;         ;         
3745; ANGRA - 500;   15,690;;;
 1185; ANHANGUERA - 69                                                      ;   15,756;         ;         ;         
1185; ANHANGUERA - 69;   15,756;;;
 1171; ANHANGUERA - 138                                                     ;   15,729;         ;         ;         
1171; ANHANGUERA - 138;   15,729;;;
 1172; ANHANGUERA GO - 230                                                  ;   15,756;         ;         ;         
1172; ANHANGUERA GO - 230;   15,756;;;
 2901; ANHANGUERA SP - 230                                                  ;   19,940;         ;         ;         
2901; ANHANGUERA SP - 230;   19,940;;;
 2900; ANHANGUERA - 345                                                     ;   19,961;         ;         ;         
2900; ANHANGUERA - 345;   19,961;;;
 2958; APARECIDA - 88                                                       ;   17,052;         ;         ;         
2958; APARECIDA - 88;   17,052;;;
 2957; APARECIDA - 230                                                      ;   17,052;         ;         ;         
2957; APARECIDA - 230;   17,052;;;
 2758; ALTA PAULISTA - 400                                                  ;   15,939;         ;         ;         
2758; ALTA PAULISTA - 400;   15,939;;;
 6818; APUCARANA - 138                                                      ;   17,232;         ;         ;         
6818; APUCARANA - 138;   17,232;;;
 6601; APUCARANA - 230                                                      ;   17,255;         ;         ;         
6601; APUCARANA - 230;   17,255;;;
58771; LAGOA BARRO - 230                                                    ;   13,181;         ;         ;         
58771; LAGOA BARRO - 230;   13,181;;;
11619; AQUIRAZ II - 69                                                      ;   13,181;         ;         ;         
11619; AQUIRAZ II - 69;   13,181;;;
11219; AQUIRAZ - 230                                                        ;   13,181;         ;         ;         
11219; AQUIRAZ - 230;   13,181;;;
 2329; ARACATUBA - 138                                                      ;   16,278;         ;         ;         
2329; ARACATUBA - 138;   16,278;;;
 1647; ARACUAI 2 - 138                                                      ;   13,255;         ;         ;         
1647; ARACUAI 2 - 138;   13,255;;;
 1522; ARACUAI - 230                                                        ;   13,286;         ;         ;         
1522; ARACUAI - 230;   13,286;;;
17502; ARAPIRACA III - 69                                                   ;   15,451;         ;         ;         
17502; ARAPIRACA III - 69;   15,451;;;
11242; ARAPIRACA III - 230                                                  ;   15,451;         ;         ;         
11242; ARAPIRACA III - 230;   15,451;;;
 3033; ARARAS 2 - 138                                                       ;   17,031;         ;         ;         
3033; ARARAS 2 - 138;   17,031;;;
 5203; ARARAQUARA 2 - 440                                                   ;   16,023;         ;         ;         
5203; ARARAQUARA 2 - 440;   16,023;;;
 5202; ARARAQUARA 2 - 500                                                   ;   16,117;         ;         ;         
5202; ARARAQUARA 2 - 500;   16,117;;;
 2631; ARARAQUARA CTP - 138                                                 ;   16,430;         ;         ;         
2631; ARARAQUARA CTP - 138;   16,430;;;
 2630; ARARAQUARA - 440                                                     ;   16,385;         ;         ;         
2630; ARARAQUARA - 440;   16,385;;;
 3852; ARARAQUARA - 500                                                     ;   16,121;         ;         ;         
3852; ARARAQUARA - 500;   16,121;;;
 2673; ARARAS SP - 440                                                      ;   17,104;         ;         ;         
2673; ARARAS SP - 440;   17,104;;;
 3032; ARARAS 1 - 138                                                       ;   17,015;         ;         ;         
3032; ARARAS 1 - 138;   17,015;;;
38907; ARAXA 3 - 138                                                        ;   15,596;         ;         ;         
38907; ARAXA 3 - 138;   15,596;;;
38906; ARAXA 3 - 345                                                        ;   15,716;         ;         ;         
38906; ARAXA 3 - 345;   15,716;;;
12203; ARCOVERDE II - 230                                                   ;   13,181;         ;         ;         
12203; ARCOVERDE II - 230;   13,181;;;
47083; AREIA - 13,8                                                         ;   16,582;         ;         ;         
47083; AREIA - 13,8;   16,582;;;
 6826; AREIA - 138                                                          ;   16,657;         ;         ;         
6826; AREIA - 138;   16,657;;;
 7749; AREIA - 230                                                          ;   16,652;         ;         ;         
7749; AREIA - 230;   16,652;;;
 7748; AREIA - 525                                                          ;   16,459;         ;         ;         
7748; AREIA - 525;   16,459;;;
39813; ARINOS 2 - 500                                                       ;   13,181;         ;         ;         
39813; ARINOS 2 - 500;   13,181;;;
 9642; ARIQUEMES - 69                                                       ;   20,948;         ;         ;         
9642; ARIQUEMES - 69;   20,948;;;
 9520; ARIQUEMES - 230                                                      ;   20,948;         ;         ;         
9520; ARIQUEMES - 230;   20,948;;;
 3034; A.NOGUEIRA - 138                                                     ;   17,299;         ;         ;         
3034; A.NOGUEIRA - 138;   17,299;;;
