Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
30951; AGUA AZUL - 440;;  8,058;  5,640;  6,849;  6,843;;;  6,843;
1206; AG.LINDAS230;;  9,965;  8,996;  9,480;  9,474;;;  9,474;
251; ACU II - 230;; 10,203; 17,464; 13,834; 13,827;;; 13,827;
11265; ACU III - 230;; 10,034; 16,829; 13,432; 13,425;;; 13,425;
11565; ACU III - 500;;  9,979; 16,333; 13,156; 13,150;;; 13,150;
7747; ABDON BATISTA - 230;; 11,184;  4,113;  7,649;  7,642;;;  7,642;
7744; ABDON BATISTA - 525;; 10,589;  4,130;  7,360;  7,353;;;  7,353;
9537; ABUNA - 230;;  3,740;  0,000;  1,870;  5,380;;;  5,380;
559; ACAILANDIA - 500;; 10,186; 12,796; 11,491; 11,485;;; 11,485;
55412; ACARAU II – 230;;  9,736; 15,076; 12,406; 12,399;;; 12,399;
12907; ACARAT CE - 230;;  9,738; 15,037; 12,387; 12,381;;; 12,381;
12902; ACARAT-CE500;;  9,754; 14,950; 12,352; 12,346;;; 12,346;
4475; ACESITA - 230;;  7,517;  7,433;  7,475;  7,468;;;  7,468;
3729; ADRIANOPOLIS - 345;;  8,763;  7,165;  7,964;  7,958;;;  7,958;
3728; ADRIANOPOLIS - 500;;  8,978;  7,239;  8,108;  8,102;;;  8,102;
1637; AIMORES - 230;;  9,890;  8,890;  9,390;  9,384;;;  9,384;
11760; ALAGOAS 2 - 230;;  7,405; 13,146; 10,275; 10,269;;; 10,269;
9002; ALEGRETE2 - 230;; 10,204;  2,189;  6,197;  6,190;;;  6,190;
56095; ALEX - 230;;  9,843; 16,726; 13,284; 13,278;;; 13,278;
362; ALTAMIRA - 230;;  9,495; 12,034; 10,764; 10,758;;; 10,758;
7758; ANASTACIO - 230;;  9,123;  5,339;  7,231;  7,224;;;  7,224;
2770; ANDIRA LESTE - 230;;  9,013;  4,552;  6,782;  6,776;;;  6,776;
540; ANGELIM - 500;;  8,780; 14,990; 11,885; 11,878;;; 11,878;
240; ANGELIM - 230;;  8,573; 14,967; 11,770; 11,763;;; 11,763;
3745; ANGRA - 500;;  9,623;  7,415;  8,519;  8,512;;;  8,512;
1172; ANHANGUERA GO - 230;;  9,329;  7,526;  8,427;  8,421;;;  8,421;
2901; ANHANGUERA SP - 230;;  5,294;  3,175;  4,234;  5,380;;;  5,380;
2900; ANHANGUERA - 345;;  5,271;  3,094;  4,182;  5,380;;;  5,380;
2957; APARECIDA - 230;;  8,292;  6,000;  7,146;  7,139;;;  7,139;
2758; ALTA PAULISTA - 400;; 10,451;  6,156;  8,303;  8,297;;;  8,297;
6601; APUCARANA - 230;;  9,427;  4,438;  6,933;  6,926;;;  6,926;
58771; LAGOA BARRO - 230;; 10,503; 14,177; 12,340; 12,333;;; 12,333;
11219; AQUIRAZ - 230;;  8,597; 15,377; 11,987; 11,981;;; 11,981;
1522; ARACUAI - 230;; 11,253; 10,213; 10,733; 10,726;;; 10,726;
11242; ARAPIRACA III - 230;;  5,309; 12,020;  8,664;  8,658;;;  8,658;
5203; ARARAQUARA 2 - 440;;  9,777;  6,864;  8,320;  8,314;;;  8,314;
5202; ARARAQUARA 2 - 500;;  9,680;  6,728;  8,204;  8,198;;;  8,198;
2630; ARARAQUARA - 440;;  9,373;  6,446;  7,910;  7,903;;;  7,903;
3852; ARARAQUARA - 500;;  9,589;  6,546;  8,067;  8,061;;;  8,061;
2673; ARARAS SP - 440;;  8,502;  5,806;  7,154;  7,147;;;  7,147;
38906; ARAXA 3 - 345;;  9,637;  7,435;  8,536;  8,530;;;  8,530;
12203; ARCOVERDE II - 230;;  8,723; 15,099; 11,911; 11,904;;; 11,904;
7749; AREIA - 230;; 10,790;  4,247;  7,519;  7,512;;;  7,512;
7748; AREIA - 525;; 10,832;  4,567;  7,699;  7,693;;;  7,693;
39813; ARINOS 2 - 500;; 11,186; 10,451; 10,818; 10,812;;; 10,812;
9520; ARIQUEMES - 230;;  4,874;  1,278;  3,076;  5,380;;;  5,380;
302; MOXOTO - 230;;  9,784; 15,817; 12,801; 12,794;;; 12,794;
2624; ASSIS - 440;; 10,085;  5,770;  7,928;  7,921;;;  7,921;
4282; ASSIS - 525;; 10,289;  5,694;  7,991;  7,985;;;  7,985;
2626; ASSIS 2 - 230;;  9,671;  5,283;  7,477;  7,470;;;  7,470;
2677; ATIBAIA 2 - 345;;  7,096;  4,630;  5,863;  5,856;;;  5,856;
7923; ATLANTIDA 2 - 230;;  9,773;  2,888;  6,331;  6,324;;;  6,324;
2786; AVARE - 230;;  7,167;  3,486;  5,326;  5,380;;;  5,380;
2617; AGUA VERMELHA - 500;; 10,559;  7,376;  8,968;  8,961;;;  8,961;
2618; AGUA VERMELHA - 440;; 10,504;  6,931;  8,718;  8,711;;;  8,711;
3947; BARRO ALTO - 230;; 11,324;  9,894; 10,609; 10,602;;; 10,602;
