BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    6,733
1206; AG.LINDAS230;    9,498
251; ACU II - 230;   13,992
11265; ACU III - 230;   13,575
11565; ACU III - 500;   13,289
7747; ABDON BATISTA - 230;    7,406
7744; ABDON BATISTA - 525;    7,123
9537; ABUNA - 230;    5,387
559; ACAILANDIA - 500;   11,559
55412; ACARAU II – 230;   12,513
12907; ACARAT CE - 230;   12,493
12902; ACARAT-CE500;   12,457
4475; ACESITA - 230;    7,450
3729; ADRIANOPOLIS - 345;    7,906
3728; ADRIANOPOLIS - 500;    8,050
1637; AIMORES - 230;    9,393
11760; ALAGOAS 2 - 230;   10,296
9002; ALEGRETE2 - 230;    5,879
56095; ALEX - 230;   13,422
362; ALTAMIRA - 230;   10,777
7758; ANASTACIO - 230;    7,086
2770; ANDIRA LESTE - 230;    6,605
540; ANGELIM - 500;   11,973
240; ANGELIM - 230;   11,853
3745; ANGRA - 500;    8,475
1172; ANHANGUERA GO - 230;    8,363
2901; ANHANGUERA SP - 230;    5,387
2900; ANHANGUERA - 345;    5,387
2957; APARECIDA - 230;    7,030
2758; ALTA PAULISTA - 400;    8,206
6601; APUCARANA - 230;    6,734
58771; LAGOA BARRO - 230;   12,437
11219; AQUIRAZ - 230;   12,078
1522; ARACUAI - 230;   10,798
11242; ARAPIRACA III - 230;    8,649
5203; ARARAQUARA 2 - 440;    8,254
5202; ARARAQUARA 2 - 500;    8,132
2630; ARARAQUARA - 440;    7,828
3852; ARARAQUARA - 500;    7,984
2673; ARARAS SP - 440;    7,046
38906; ARAXA 3 - 345;    8,430
12203; ARCOVERDE II - 230;   11,999
7749; AREIA - 230;    7,270
7748; AREIA - 525;    7,512
39813; ARINOS 2 - 500;   10,867
9520; ARIQUEMES - 230;    5,387
302; MOXOTO - 230;   12,918
2624; ASSIS - 440;    7,790
4282; ASSIS - 525;    7,833
2626; ASSIS 2 - 230;    7,322
2677; ATIBAIA 2 - 345;    5,699
7923; ATLANTIDA 2 - 230;    6,048
2786; AVARE - 230;    5,387
2617; AGUA VERMELHA - 500;    8,922
2618; AGUA VERMELHA - 440;    8,660
3947; BARRO ALTO - 230;   10,694
3605; BARRO BRANCO - 345;    7,781
4297; B. DOS COQUEIROS - 230;    9,153
229; B.ESPERANCA - 230;   11,975
4288; B. FLUMINENSE - 500;    8,057
7304; BARRA GRANDE - 230;    7,756
6608; BAIXO IGUACU PR - 230;    7,675
11050; B.JESUS II - 230;   11,277
3236; BARRA PEIXE - 230;    8,384
13103; BACAB - MA - 500;   11,900
9010; BAGE 2 - 230;    6,503
2733; BAGUACU - 440;    7,858
1645; BAGUARI - 230;    9,242
2920; B. SANTISTA - 230;    5,387
2919; B. SANTISTA - 345;    5,387
10410; BALBINA - 230;    8,573
215; BALSAS - 230;   11,284
222; BANABUIU - 230;   13,005
3909; BANDEIRANTE GO - 345;    9,309
2934; BANDEIRANTE SP - 345;    5,387
1480; BARBACENA - 345;    7,470
11286; BARREIRAS II - 230;   11,321
286; BARREIRAS - 230;   11,263
1482; BARREIRO - 345;    7,811
846; BARREIRAS - 500;   11,489
6627; BATEIAS - 230;    6,667
3696; BATEIAS 3 - 500;    7,294
6628; BATEIAS - 525;    7,290
2628; BAURU SP - 440;    7,128
1612; BARAO DE COCAIS 3 - 230;    7,589
1485; B.DESPACHO - 500;    9,137
529; B.ESPERANCA - 500;   11,853
26454; BETIM 6 -345;    8,041
7740; BAIXO IGUACU SC - 230;    5,860
7741; BIGUACU--525;    6,626
2638; BOM JARDIM - 440;    6,712
385; B.J.LAPA II - 230;   11,324
585; BJLAPAII - 500;   10,967
285; B.J.LAPA - 230;   11,324
35351; BRASILIA LESTE - 500;    9,844
7734; BLUMENAU - 230;    6,094
7733; BLUMENAU - 525;    6,641
220; BOM NOME - 230;   12,762
243; BONGI - 230;   10,883
2777; BOTUCATU - 230;    5,593
3936; BRASILIA GERAL - 230;    8,525
3920; BRAS. SUL - 230;    8,902
3919; BRAS. SUL -345;    9,391
30984; BRACEL - 440;    6,728
3300; BRASNORTE - 230;    8,094
1600; BRAUNA - 230;    8,933
205; BROT.MACAUBAS - 230;   12,355
376; BRUMADO II - 230;    9,068
38913; HELIO VALGAS MG - 345;   10,612
12318; BURITIRAMA - 500;   11,724
9266; CRUZ ALTA 2 - 230;    6,370
4481; CANA BRAVA - 230;   11,205
6615; C.COMPRIDO - 230;    6,634
270; CIC.DANTAS - 230;   11,557
11461; CAMPO FORMOSO - 230;   13,006
9020; C.INDUSTRIAL - 230;    6,179
236; COELHO NETO - 230;   10,095
11253; CURRAIS NOVOS II - 230;   13,553
3720; C. PAULISTA - 500;    7,967
38871; CACU - 230;    9,153
2649; CABREUVA - 230;    5,387
2647; CABREUVA - 440;    6,349
58008; CAETES II - 230;   11,999
51457; CAMAQUA 3 - 230;    6,388
574; CAMACARI - 500;   11,062
284; CAMACARI IV - 230;   10,363
584; CAMACARI IV - 500;   10,949
9030; CAMAQUA - 230;    6,217
3701; CAMPINAS - 345;    6,150
3700; CAMPINAS - 500;    7,446
38951; CAMPOS 2 - 500;    8,554
9015; CAMPO BOM - 230;    5,615
3785; CAMPOS - 345;    8,694
38873; CANARANA CMT - 230;    7,437
9283; CANDELARIA 2 - 230;    6,585
9040; CANDIOTA 2 - 230;    6,865
7753; CANDIOTA 2 - 525;    6,922
50209; CANDIOTA - 230;    6,865
9045; CANOA 1 - 230;    5,972
9050; CANOAS 2 - 230;    6,601
7778; CANOINHA - 230;    5,387
