NUMBER,OP,TYPE,NAME,VOLT,PHASE,MUST,UF,SS,CYCLE,SOURCE
   10,L,1,ANGRA1UNE000, 977,-16., 650., 16, 2,2023,ONS
   11,L,1,ANGRA2UNE000, 962,-16.,1350., 16, 2,2023,ONS
   12,L,1,LCBARRUHE006, 972,-8.3, 503., 20, 2,2023,ONS
   13,L,1,LCBARRSIN000, 976,-14.,   0., 20, 2,2023,ONS
   14,L,1,FUNIL1UHE003, 985,-27., 107., 16, 2,2023,ONS
   16,L,1,FURNASUHE008, 971,-14., 584., 10, 2,2023,ONS
   17,L,1,FURNASSIN000, 966,-21.,   0., 10, 2,2023,ONS
   18,L,1,ITUMBIUHE006, 969,10.9,1094., 10, 2,2023,ONS
   19,L,1,ITUMBISIN000, 983,2.26,   0., 10, 2,2023,ONS
   20,L,1,MARIMBUHE007,1004,1.72, 714., 10, 2,2023,ONS
   21,L,1,MANSO-UHE004, 977,35.2, 168.,  8, 2,2023,ONS
   22,L,1,M.MORAUHE006, 994,-8.5, 150., 10, 2,2023,ONS
   24,L,1,M.MORBUHE004, 966,-9.8,  86., 10, 2,2023,ONS
   27,L, ,CPAUL2-SP500,1055,-27.,     , 20, 2,2023,ONS
   28,L,1,PCOLOMUHE004,1011,-6.5, 157., 10, 2,2023,ONS
   30,L,1,SCRU19UTE000, 981,-37.,   0., 16, 2,2023,ONS
   31,L,1,SCRU13UTE002, 938,-37.,   0., 16, 2,2023,ONS
   32,L,1,SCRU16UTE002, 981,-37.,   0., 16, 2,2023,ONS
   35,L,1,CORUMBUHE003, 975,9.46, 183.,  6, 2,2023,ONS
   36,L,1,S.MESAUHE002, 970,22.7,1000.,  6, 2,2023,ONS
   37,L,1,S.MESASIN000, 984,17.7,   0.,  6, 2,2023,ONS
   38,L,1,GRAJA2SIN001,1040,-37.,   0., 16, 2,2023,ONS
   41,L,1,VITOR2SIN001,1005,-41.,   0.,  5, 2,2023,ONS
   44,L,1,GRAJA1SIN001,1039,-37.,   0., 16, 2,2023,ONS
   46,L, ,CAMPOSCER013,1018,-41.,     , 16, 2,2023,ONS
   47,D,1,VITOR1SIN001,1005,-62.,   0.,  5, 2,2023,ONS
   48,L,1,IBIUNASIN004,1001,-27.,   0., 20, 2,2023,ONS
   50,L,1,TPRETOSIN001, 980,-35.,   0., 20, 2,2023,ONS
   52,L, ,P.AÇU--RJ345,1035,-50.,     , 16, 2,2023,ONS
   53,L,1,NOVT-GUTE000,1035,-50.,   0., 16, 2,2023,ONS
   54,L,1,NOVT-VUTE000,1035,-50.,   0., 16, 2,2023,ONS
   55,L, ,BALTO-CER013,1024,-23.,     ,  6, 2,2023,ONS
   56,L, ,IVAIP3-PR069, 920,-19.,     , 13, 1,2023,ONS
   57,L, ,IVAIP2-PR069, 915,-19.,     , 13, 1,2023,ONS
   58,L, ,IVAIP2-PR000,1034,-19.,     , 13, 1,2023,ONS
   59,L, ,IVAIP3-PR000,1032,-19.,     , 13, 1,2023,ONS
   60,L, ,F.IGUA-PR765, 977,-8.6,     , 13, 2,2023,ONS
