DE,NOME_DE,PARA,NOME_PARA,CIRC,EST
   27,CPAUL2-SP500,   87,RESEND-RJ500, 1, 
   87,RESEND-RJ500,   27,CPAUL2-SP500, 1, 
   27,CPAUL2-SP500,  105,ANGRA--RJ500, 1, 
  105,ANGRA--RJ500,   27,CPAUL2-SP500, 1, 
   27,CPAUL2-SP500, 1503,ITAJU3-MG500, 1, 
 1503,ITAJU3-MG500,   27,CPAUL2-SP500, 1, 
   27,CPAUL2-SP500, 3010,ESTREI-MG500, 2, 
 3010,ESTREI-MG500,   27,CPAUL2-SP500, 2, 
   27,CPAUL2-SP500, 3383,LORENA-SP500, 1, 
 3383,LORENA-SP500,   27,CPAUL2-SP500, 1, 
   27,CPAUL2-SP500, 9605,T.RIO--RJ500, 1, 
 9605,T.RIO--RJ500,   27,CPAUL2-SP500, 1, 
  104,C.PAUL-SP500,   27,CPAUL2-SP500, 1, 
   27,CPAUL2-SP500,  104,C.PAUL-SP500, 1, 
  104,C.PAUL-SP500,   77,TPRETO-SP500, 1, 
   77,TPRETO-SP500,  104,C.PAUL-SP500, 1, 
  104,C.PAUL-SP500,  598,TAUBAT-SP500, 1, 
  598,TAUBAT-SP500,  104,C.PAUL-SP500, 1, 
  104,C.PAUL-SP500,  609,F.DIAS---500, 1, 
  609,F.DIAS---500,  104,C.PAUL-SP500, 1, 
  104,C.PAUL-SP500, 3010,ESTREI-MG500, 1, 
 3010,ESTREI-MG500,  104,C.PAUL-SP500, 1, 
  104,C.PAUL-SP500, 9626,BF-----RJ500, 3, 
 9626,BF-----RJ500,  104,C.PAUL-SP500, 3, 
   38,GRAJA2SIN001,  179,GR2T54-RJ000,54, 
  179,GR2T54-RJ000,   38,GRAJA2SIN001,54, 
   44,GRAJA1SIN001,  110,GR1T52-RJ000,52, 
  110,GR1T52-RJ000,   44,GRAJA1SIN001,52, 
   50,TPRETOSIN001,   81,TPRAT4-SP000, 4, 
   81,TPRAT4-SP000,   50,TPRETOSIN001, 4, 
   52,P.AÇU--RJ345,  147,CAMPOS-RJ345, 1, 
  147,CAMPOS-RJ345,   52,P.AÇU--RJ345, 1, 
   52,P.AÇU--RJ345,  147,CAMPOS-RJ345, 2, 
  147,CAMPOS-RJ345,   52,P.AÇU--RJ345, 2, 
   53,NOVT-GUTE000,   52,P.AÇU--RJ345, 1, 
   52,P.AÇU--RJ345,   53,NOVT-GUTE000, 1, 
   54,NOVT-VUTE000,   52,P.AÇU--RJ345, 1, 
   52,P.AÇU--RJ345,   54,NOVT-VUTE000, 1, 
   56,IVAIP3-PR069,   59,IVAIP3-PR000, 1, 
   59,IVAIP3-PR000,   56,IVAIP3-PR069, 1, 
   57,IVAIP2-PR069,   58,IVAIP2-PR000, 1, 
   58,IVAIP2-PR000,   57,IVAIP2-PR069, 1, 
   60,F.IGUA-PR765,   62,IV-FZ1CAP765, 1, 
   62,IV-FZ1CAP765,   60,F.IGUA-PR765, 1, 
   60,F.IGUA-PR765,   63,IV-FZ2CAP765, 1, 
   63,IV-FZ2CAP765,   60,F.IGUA-PR765, 1, 
   60,F.IGUA-PR765,   64,IV-FZ3CAP765, 1, 
   64,IV-FZ3CAP765,   60,F.IGUA-PR765, 1, 
   61,FZ-500-PR500,   60,F.IGUA-PR765, 1, 
   60,F.IGUA-PR765,   61,FZ-500-PR500, 1, 
   61,FZ-500-PR500,   60,F.IGUA-PR765, 2, 
   60,F.IGUA-PR765,   61,FZ-500-PR500, 2, 
   61,FZ-500-PR500,   60,F.IGUA-PR765, 3, 
   60,F.IGUA-PR765,   61,FZ-500-PR500, 3, 
   61,FZ-500-PR500,   60,F.IGUA-PR765, 4, 
   60,F.IGUA-PR765,   61,FZ-500-PR500, 4, 
   61,FZ-500-PR500,   60,F.IGUA-PR765, 5, 
   60,F.IGUA-PR765,   61,FZ-500-PR500, 5, 
   62,IV-FZ1CAP765,   65,IVAIPO-PR765, 1, 
   65,IVAIPO-PR765,   62,IV-FZ1CAP765, 1, 
   63,IV-FZ2CAP765,   65,IVAIPO-PR765, 1, 
   65,IVAIPO-PR765,   63,IV-FZ2CAP765, 1, 
   64,IV-FZ3CAP765,   65,IVAIPO-PR765, 1, 
   65,IVAIPO-PR765,   64,IV-FZ3CAP765, 1, 
   65,IVAIPO-PR765,   58,IVAIP2-PR000, 1, 
   58,IVAIP2-PR000,   65,IVAIPO-PR765, 1, 
   65,IVAIPO-PR765,   59,IVAIP3-PR000, 1, 
   59,IVAIP3-PR000,   65,IVAIPO-PR765, 1, 
   65,IVAIPO-PR765,   68,IVAIP1-PR000, 1, 
   68,IVAIP1-PR000,   65,IVAIPO-PR765, 1, 
   65,IVAIPO-PR765,   69,IV-IT1CAP765, 1, 
   69,IV-IT1CAP765,   65,IVAIPO-PR765, 1, 
   65,IVAIPO-PR765,   70,IV-IT2CAP765, 1, 
   70,IV-IT2CAP765,   65,IVAIPO-PR765, 1, 
   65,IVAIPO-PR765,   71,IV-IT3CAP765, 1, 
   71,IV-IT3CAP765,   65,IVAIPO-PR765, 1, 
   66,IVAIPO-PR525,   58,IVAIP2-PR000, 1, 
   58,IVAIP2-PR000,   66,IVAIPO-PR525, 1, 
   66,IVAIPO-PR525,   59,IVAIP3-PR000, 1, 
   59,IVAIP3-PR000,   66,IVAIPO-PR525, 1, 
   66,IVAIPO-PR525,   68,IVAIP1-PR000, 1, 
   68,IVAIP1-PR000,   66,IVAIPO-PR525, 1, 
   67,IVAIP1-PR069,   68,IVAIP1-PR000, 1, 
   68,IVAIP1-PR000,   67,IVAIP1-PR069, 1, 
   69,IV-IT1CAP765,   72,ITABER-SP765, 1, 
   72,ITABER-SP765,   69,IV-IT1CAP765, 1, 
   70,IV-IT2CAP765,   72,ITABER-SP765, 1, 
   72,ITABER-SP765,   70,IV-IT2CAP765, 1, 
   71,IV-IT3CAP765,   72,ITABER-SP765, 1, 
   72,ITABER-SP765,   71,IV-IT3CAP765, 1, 
   72,ITABER-SP765,   73,IT-TP1CAP765, 1, 
   73,IT-TP1CAP765,   72,ITABER-SP765, 1, 
   72,ITABER-SP765,   74,IT-TP2CAP765, 1, 
   74,IT-TP2CAP765,   72,ITABER-SP765, 1, 
   72,ITABER-SP765,   75,IT-TP3CAP765, 1, 
   75,IT-TP3CAP765,   72,ITABER-SP765, 1, 
   73,IT-TP1CAP765,   76,TPRETO-SP765, 1, 
   76,TPRETO-SP765,   73,IT-TP1CAP765, 1, 
   74,IT-TP2CAP765,   76,TPRETO-SP765, 1, 
   76,TPRETO-SP765,   74,IT-TP2CAP765, 1, 
   75,IT-TP3CAP765,   76,TPRETO-SP765, 1, 
   76,TPRETO-SP765,   75,IT-TP3CAP765, 1, 
   76,TPRETO-SP765,   80,TPRAT3-SP000, 3, 
   80,TPRAT3-SP000,   76,TPRETO-SP765, 3, 
   76,TPRETO-SP765,   81,TPRAT4-SP000, 4, 
   81,TPRAT4-SP000,   76,TPRETO-SP765, 4, 
   77,TPRETO-SP500,   76,TPRETO-SP765, 1, 
   76,TPRETO-SP765,   77,TPRETO-SP500, 1, 
   77,TPRETO-SP500,   76,TPRETO-SP765, 2, 
   76,TPRETO-SP765,   77,TPRETO-SP500, 2, 
   77,TPRETO-SP500,   80,TPRAT3-SP000, 3, 
   80,TPRAT3-SP000,   77,TPRETO-SP500, 3, 
   77,TPRETO-SP500,  598,TAUBAT-SP500, 1, 
  598,TAUBAT-SP500,   77,TPRETO-SP500, 1, 
   77,TPRETO-SP500, 3383,LORENA-SP500, 2, 
 3383,LORENA-SP500,   77,TPRETO-SP500, 2, 
   78,TPRETO-SP345,   76,TPRETO-SP765, 5, 
   76,TPRETO-SP765,   78,TPRETO-SP345, 5, 
   78,TPRETO-SP345,   81,TPRAT4-SP000, 4, 
   81,TPRAT4-SP000,   78,TPRETO-SP345, 4, 
   78,TPRETO-SP345,   82,TPRET2-SP345, 1, 
   82,TPRET2-SP345,   78,TPRETO-SP345, 1, 
   78,TPRETO-SP345,  449,ITAPET-SP345, 1, 
  449,ITAPET-SP345,   78,TPRETO-SP345, 1, 
   78,TPRETO-SP345,  449,ITAPET-SP345, 2, 
  449,ITAPET-SP345,   78,TPRETO-SP345, 2, 
   78,TPRETO-SP345,  464,LESTE--SP345, 3, 
  464,LESTE--SP345,   78,TPRETO-SP345, 3, 
   78,TPRETO-SP345,  471,BAIXAD-SP345, 1, 
  471,BAIXAD-SP345,   78,TPRETO-SP345, 1, 
   78,TPRETO-SP345,  471,BAIXAD-SP345, 2, 
  471,BAIXAD-SP345,   78,TPRETO-SP345, 2, 
   79,TPRETO-SP069,   80,TPRAT3-SP000, 3, 
   80,TPRAT3-SP000,   79,TPRETO-SP069, 3, 
   82,TPRET2-SP345,   76,TPRETO-SP765, 6, 
   76,TPRETO-SP765,   82,TPRET2-SP345, 6, 
   82,TPRET2-SP345,   76,TPRETO-SP765, 7, 
   76,TPRETO-SP765,   82,TPRET2-SP345, 7, 
   82,TPRET2-SP345,  420,D.RANG-SP345, 1, 
  420,D.RANG-SP345,   82,TPRET2-SP345, 1, 
   82,TPRET2-SP345,  449,ITAPET-SP345, 3, 
  449,ITAPET-SP345,   82,TPRET2-SP345, 3, 
   82,TPRET2-SP345,  449,ITAPET-SP345, 4, 
  449,ITAPET-SP345,   82,TPRET2-SP345, 4, 
   82,TPRET2-SP345,  464,LESTE--SP345, 1, 
  464,LESTE--SP345,   82,TPRET2-SP345, 1, 
   82,TPRET2-SP345,  464,LESTE--SP345, 2, 
  464,LESTE--SP345,   82,TPRET2-SP345, 2, 
   82,TPRET2-SP345,  471,BAIXAD-SP345, 3, 
  471,BAIXAD-SP345,   82,TPRET2-SP345, 3, 
   84,RESEN2-RJ138, 1780,RESEND-RJ138, 1, 
 1780,RESEND-RJ138,   84,RESEN2-RJ138, 1, 
   84,RESEN2-RJ138, 1780,RESEND-RJ138, 2, 
 1780,RESEND-RJ138,   84,RESEN2-RJ138, 2, 
   84,RESEN2-RJ138,11797,NUC-1Y-RJ138, 1, 
11797,NUC-1Y-RJ138,   84,RESEN2-RJ138, 1, 
   84,RESEN2-RJ138,21797,NUC-2Y-RJ138, 1, 
21797,NUC-2Y-RJ138,   84,RESEN2-RJ138, 1, 
   84,RESEN2-RJ138,42417,RESEND-RJ000, 1, 
42417,RESEND-RJ000,   84,RESEN2-RJ138, 1, 
   85,FOZ500-PR500, 1103,MARGEM-PR500, 3, 
 1103,MARGEM-PR500,   85,FOZ500-PR500, 3, 
   85,FOZ500-PR500, 1103,MARGEM-PR500, 4, 
 1103,MARGEM-PR500,   85,FOZ500-PR500, 4, 
   86,IBIUNA-SP345,   48,IBIUNASIN004, 1, 
   48,IBIUNASIN004,   86,IBIUNA-SP345, 1, 
   86,IBIUNA-SP345,   78,TPRETO-SP345, 2, 
   78,TPRETO-SP345,   86,IBIUNA-SP345, 2, 
   86,IBIUNA-SP345,   82,TPRET2-SP345, 1, 
   82,TPRET2-SP345,   86,IBIUNA-SP345, 1, 
   86,IBIUNA-SP345,  122,IBIUNA-SP500, 1, 
  122,IBIUNA-SP500,   86,IBIUNA-SP345, 1, 
   86,IBIUNA-SP345,  122,IBIUNA-SP500, 2, 
  122,IBIUNA-SP500,   86,IBIUNA-SP345, 2, 
   86,IBIUNA-SP345,  122,IBIUNA-SP500, 3, 
  122,IBIUNA-SP500,   86,IBIUNA-SP345, 3, 
   86,IBIUNA-SP345,  488,INTERL-SP345, 1, 
  488,INTERL-SP345,   86,IBIUNA-SP345, 1, 
   86,IBIUNA-SP345,  488,INTERL-SP345, 2, 
  488,INTERL-SP345,   86,IBIUNA-SP345, 2, 
   87,RESEND-RJ500, 9605,T.RIO--RJ500, 1, 
 9605,T.RIO--RJ500,   87,RESEND-RJ500, 1, 
   87,RESEND-RJ500,42417,RESEND-RJ000, 1, 
42417,RESEND-RJ000,   87,RESEND-RJ500, 1, 
   87,RESEND-RJ500,42426,ARCEL2-RJ000, 1, 
42426,ARCEL2-RJ000,   87,RESEND-RJ500, 1, 
   87,RESEND-RJ500,42428,ARCEL1-RJ000, 1, 
42428,ARCEL1-RJ000,   87,RESEND-RJ500, 1, 
