2024,2025,2026,2027,2028,2029,2030,2031
UFV GRAVIOLA 1,UFV GRAVIOLA 1,UFV GRAVIOLA 1,EOL BOA ESPERANCA II,EOL BOA ESPERANCA II,EOL BOA ESPERANCA II,EOL BOA ESPERANCA II,EOL BOA ESPERANCA II
UFV GRAVIOLA 2,UFV GRAVIOLA 2,UFV GRAVIOLA 2,EOL ITAUNA I,EOL ITAUNA I,EOL ITAUNA I,EOL ITAUNA I,EOL ITAUNA I
UFV GRAVIOLA 3,UFV GRAVIOLA 3,UFV GRAVIOLA 3,EOL ITAUNA II,EOL ITAUNA II,EOL ITAUNA II,EOL ITAUNA II,EOL ITAUNA II
UFV GRAVIOLA 4,UFV GRAVIOLA 4,UFV GRAVIOLA 4,EOL ITAUNA III,EOL ITAUNA III,EOL ITAUNA III,EOL ITAUNA III,EOL ITAUNA III
UTE NOVO TEMPO BARCARENA,UTE NOVO TEMPO BARCARENA,UTE NOVO TEMPO BARCARENA,EOL SAO DOMINGOS I,EOL SAO DOMINGOS I,EOL SAO DOMINGOS I,EOL SAO DOMINGOS I,EOL SAO DOMINGOS I
UFV LAGOINHA I,UFV LAGOINHA I,UFV LAGOINHA I,EOL SAO DOMINGOS II,EOL SAO DOMINGOS II,EOL SAO DOMINGOS II,EOL SAO DOMINGOS II,EOL SAO DOMINGOS II
UFV LAGOINHA II,UFV LAGOINHA II,UFV LAGOINHA II,EOL SAO DOMINGOS III,EOL SAO DOMINGOS III,EOL SAO DOMINGOS III,EOL SAO DOMINGOS III,EOL SAO DOMINGOS III
UFV LAGOINHA III,UFV LAGOINHA III,UFV LAGOINHA III,EOL SAO DOMINGOS IV,EOL SAO DOMINGOS IV,EOL SAO DOMINGOS IV,EOL SAO DOMINGOS IV,EOL SAO DOMINGOS IV
UFV LAGOINHA IV,UFV LAGOINHA IV,UFV LAGOINHA IV,EOL SAO DOMINGOS V,EOL SAO DOMINGOS V,EOL SAO DOMINGOS V,EOL SAO DOMINGOS V,EOL SAO DOMINGOS V
UFV SOLIDAO 1,UFV SOLIDAO 1,UFV SOLIDAO 1,EOL VENTOS DE SANTA MARCELLA 01,EOL VENTOS DE SANTA MARCELLA 01,EOL VENTOS DE SANTA MARCELLA 01,EOL VENTOS DE SANTA MARCELLA 01,EOL VENTOS DE SANTA MARCELLA 01
UFV SOLIDAO 2,UFV SOLIDAO 2,UFV SOLIDAO 2,EOL VENTOS DE SANTA MARCELLA 02,EOL VENTOS DE SANTA MARCELLA 02,EOL VENTOS DE SANTA MARCELLA 02,EOL VENTOS DE SANTA MARCELLA 02,EOL VENTOS DE SANTA MARCELLA 02
UFV SOLIDAO 3,UFV SOLIDAO 3,UFV SOLIDAO 3,EOL VENTOS DE SANTA MARCELLA 03,EOL VENTOS DE SANTA MARCELLA 03,EOL VENTOS DE SANTA MARCELLA 03,EOL VENTOS DE SANTA MARCELLA 03,EOL VENTOS DE SANTA MARCELLA 03
UFV SOLIDAO 4,UFV SOLIDAO 4,UFV SOLIDAO 4,EOL VENTOS DE SANTA MARCELLA 04,EOL VENTOS DE SANTA MARCELLA 04,EOL VENTOS DE SANTA MARCELLA 04,EOL VENTOS DE SANTA MARCELLA 04,EOL VENTOS DE SANTA MARCELLA 04
UFV SOLIDAO 5,UFV SOLIDAO 5,UFV SOLIDAO 5,EOL VENTOS DE SANTA MARCELLA 05,EOL VENTOS DE SANTA MARCELLA 05,EOL VENTOS DE SANTA MARCELLA 05,EOL VENTOS DE SANTA MARCELLA 05,EOL VENTOS DE SANTA MARCELLA 05
UFV SOLIDAO 6,UFV SOLIDAO 6,UFV SOLIDAO 6,EOL VENTOS DE SANTA MARCELLA 06,EOL VENTOS DE SANTA MARCELLA 06,EOL VENTOS DE SANTA MARCELLA 06,EOL VENTOS DE SANTA MARCELLA 06,EOL VENTOS DE SANTA MARCELLA 06
UFV SOLIDAO 7,UFV SOLIDAO 7,UFV SOLIDAO 7,EOL VENTOS DE SANTO ANTAO 01,EOL VENTOS DE SANTO ANTAO 01,EOL VENTOS DE SANTO ANTAO 01,EOL VENTOS DE SANTO ANTAO 01,EOL VENTOS DE SANTO ANTAO 01
UFV SOLIDAO 8,UFV SOLIDAO 8,UFV SOLIDAO 8,EOL VENTOS DE SANTO ANTAO 02,EOL VENTOS DE SANTO ANTAO 02,EOL VENTOS DE SANTO ANTAO 02,EOL VENTOS DE SANTO ANTAO 02,EOL VENTOS DE SANTO ANTAO 02
UFV SOLIDAO 9,UFV SOLIDAO 9,UFV SOLIDAO 9,EOL VENTOS DE SANTO ANTAO 03,EOL VENTOS DE SANTO ANTAO 03,EOL VENTOS DE SANTO ANTAO 03,EOL VENTOS DE SANTO ANTAO 03,EOL VENTOS DE SANTO ANTAO 03
UFV SOLIDAO 10,UFV SOLIDAO 10,UFV SOLIDAO 10,EOL VENTOS DE SANTO ANTAO 04,EOL VENTOS DE SANTO ANTAO 04,EOL VENTOS DE SANTO ANTAO 04,EOL VENTOS DE SANTO ANTAO 04,EOL VENTOS DE SANTO ANTAO 04
UFV SOLIDAO 11,UFV SOLIDAO 11,UFV SOLIDAO 11,EOL VENTOS DE SANTO ANTONIO 04,EOL VENTOS DE SANTO ANTONIO 04,EOL VENTOS DE SANTO ANTONIO 04,EOL VENTOS DE SANTO ANTONIO 04,EOL VENTOS DE SANTO ANTONIO 04
UFV SOLIDAO 12,UFV SOLIDAO 12,UFV SOLIDAO 12,EOL VENTOS DE SANTO ANTONIO 05,EOL VENTOS DE SANTO ANTONIO 05,EOL VENTOS DE SANTO ANTONIO 05,EOL VENTOS DE SANTO ANTONIO 05,EOL VENTOS DE SANTO ANTONIO 05
UFV ZEBU I,UFV ZEBU I,UFV ZEBU I,EOL VENTOS DE SANTO ANTONIO 06,EOL VENTOS DE SANTO ANTONIO 06,EOL VENTOS DE SANTO ANTONIO 06,EOL VENTOS DE SANTO ANTONIO 06,EOL VENTOS DE SANTO ANTONIO 06
UFV ZEBU II,UFV ZEBU II,UFV ZEBU II,EOL VENTOS DE SANTO ANTONIO 07,EOL VENTOS DE SANTO ANTONIO 07,EOL VENTOS DE SANTO ANTONIO 07,EOL VENTOS DE SANTO ANTONIO 07,EOL VENTOS DE SANTO ANTONIO 07
UFV ZEBU III,UFV ZEBU III,UFV ZEBU III,EOL VENTOS DE SANTO ANTONIO 08,EOL VENTOS DE SANTO ANTONIO 08,EOL VENTOS DE SANTO ANTONIO 08,EOL VENTOS DE SANTO ANTONIO 08,EOL VENTOS DE SANTO ANTONIO 08
UFV ZEBU IV,UFV ZEBU IV,UFV ZEBU IV,EOL VENTOS DE SAO RICARDO 05,EOL VENTOS DE SAO RICARDO 05,EOL VENTOS DE SAO RICARDO 05,EOL VENTOS DE SAO RICARDO 05,EOL VENTOS DE SAO RICARDO 05
UFV ZEBU V,UFV ZEBU V,UFV ZEBU V,EOL VENTOS DE SAO RICARDO 06,EOL VENTOS DE SAO RICARDO 06,EOL VENTOS DE SAO RICARDO 06,EOL VENTOS DE SAO RICARDO 06,EOL VENTOS DE SAO RICARDO 06
UFV ZEBU VI,UFV ZEBU VI,UFV ZEBU VI,EOL VENTOS DE SAO RICARDO 07,EOL VENTOS DE SAO RICARDO 07,EOL VENTOS DE SAO RICARDO 07,EOL VENTOS DE SAO RICARDO 07,EOL VENTOS DE SAO RICARDO 07
UFV ZEBU VII,UFV ZEBU VII,UFV ZEBU VII,EOL VENTOS DE SAO RICARDO 08,EOL VENTOS DE SAO RICARDO 08,EOL VENTOS DE SAO RICARDO 08,EOL VENTOS DE SAO RICARDO 08,EOL VENTOS DE SAO RICARDO 08
