USINA,SUBSISTEMA,CEG,2023,2024,2025,2026,2027,2028,2029,2030,2031,MUST,BUS_2023,BUS_2030
EOL ABIL,NE,031402-1,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,23.11,6225,59354
EOL ACACIA,NE,031418-8,10.456,10.787,10.559,10.907,11.406,11.465,11.885,11.671,11.688,15.8,6221,59349
EOL ACARI (RIACHAO I),NE,030870-6,10.042,9.038,9.035,9.251,10.241,10.293,10.669,10.539,10.554,28.72,6131,57475
EOL ACAUA,NE,031433-1,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,5.87,6225,59373
EOL ACAUA I,NE,033597-5,10.986,10.064,10.232,10.463,10.917,10.981,11.361,11.238,11.254,24.44,5071,364
EOL ACAUA II,NE,033598-3,10.986,10.064,10.232,10.463,10.917,10.981,11.361,11.238,11.254,20.37,5071,364
EOL ACAUA III,NE,033864-8,10.986,10.064,10.232,10.463,10.917,10.981,11.361,11.238,11.254,16.3,5071,364
EOL AFONSO BEZERRA I,NE,035158-0,10.878,9.942,10.1,10.325,11.542,11.618,12.008,11.89,11.908,28.83,5461,56772
EOL AFONSO BEZERRA II,NE,035159-8,10.878,9.942,10.1,10.325,11.542,11.618,12.008,11.89,11.908,28.83,5461,56773
EOL AFONSO BEZERRA III,NE,035160-1,10.878,9.942,10.1,10.325,11.542,11.618,12.008,11.89,11.908,28.83,5461,56774
EOL AFONSO BEZERRA IV,NE,035161-0,10.878,9.942,10.1,10.325,11.542,11.618,12.008,11.89,11.908,16.48,5461,56775
EOL ALBATROZ,,029085-8,-,-,-,-,-,-,-,-,-,4.8,-,57851
EOL ALBUQUERQUE (RIACHAO II),NE,030871-4,10.042,9.038,9.035,9.251,10.241,10.293,10.669,10.539,10.554,26.44,6131,57476
EOL ALEGRIA I(NEW ENERGY),NE,028444-0,10.878,9.942,10.1,10.325,11.438,11.511,11.896,11.777,11.795,49.2,5461,56453
EOL ALEGRIA II(NEW ENERGY),NE,028443-2,10.878,9.942,10.1,10.325,11.438,11.511,11.896,11.777,11.795,96.65,5461,56454
EOL ALTO DOS VENTOS II A,NE,034536-9,-,-,-,-,10.923,10.989,11.404,11.281,11.298,22.4,-,56768
EOL ALTO DOS VENTOS II B,NE,034537-7,-,-,-,-,10.923,10.989,11.404,11.281,11.298,28.8,-,56769
EOL ALVORADA,NE,030320-8,10.554,10.856,10.635,10.984,11.481,11.541,11.963,11.752,11.769,8.0,6171,59335
EOL AMESCLA,NE,032090-0,10.165,10.561,10.326,10.674,11.391,11.45,11.87,11.654,11.671,13.16,6220,59464
EOL AMETISTA,NE,030779-3,10.554,10.856,10.635,10.984,11.481,11.541,11.963,11.752,11.769,28.06,6171,59318
EOL AMPARO,,029069-6,-,-,-,-,-,-,-,-,-,22.5,2732,50311
EOL ANEMOI (RIACHAO IV),NE,030874-9,10.042,9.038,9.035,9.251,10.241,10.293,10.669,10.539,10.554,28.96,6131,57477
